store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;7097021549000148BIANCO;;Habilitado;Not Visible Individually;112348;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;48;BIANCO;1123484;SLOT C;SI;SEASONAL;151;70970215490001;F;F;13/01/15;/media/import/fotosweb/versace/151/versace-134_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;/media/import/fotosweb/versace/151/versace-134_2.jpg;;SLOT 105;F;IT;4;442.15;;;;1.00;1;05/01/15;04/02/15;1;;;-756121804
admin;base;0;simple;Default;;;7097021549000150BIANCO;;Habilitado;Not Visible Individually;112348;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;50;BIANCO;1123483;SLOT C;SI;SEASONAL;151;70970215490001;F;F;13/01/15;/media/import/fotosweb/versace/151/versace-134_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;/media/import/fotosweb/versace/151/versace-134_2.jpg;;SLOT 105;F;IT;4;442.15;;;;2.00;1;05/01/15;04/02/15;1;;;-762210517
admin;base;0;simple;Default;;;7097021549000152BIANCO;;Habilitado;Not Visible Individually;112348;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;52;BIANCO;1123482;SLOT C;SI;SEASONAL;151;70970215490001;F;F;13/01/15;/media/import/fotosweb/versace/151/versace-134_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;/media/import/fotosweb/versace/151/versace-134_2.jpg;;SLOT 105;F;IT;4;442.15;;;;1.00;1;05/01/15;04/02/15;1;;;-756128472
admin;base;0;simple;Default;;;7097021549000154BIANCO;;Habilitado;Not Visible Individually;112348;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;54;BIANCO;1123481;SLOT C;SI;SEASONAL;151;70970215490001;F;F;13/01/15;/media/import/fotosweb/versace/151/versace-134_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;/media/import/fotosweb/versace/151/versace-134_2.jpg;;SLOT 105;F;IT;4;442.15;;;;1.00;1;05/01/15;04/02/15;1;;;-756128979
admin;base;1;configurable;Default;talla,color;2,1,5;70970215490001;7097021549000148BIANCO,7097021549000150BIANCO,7097021549000152BIANCO,7097021549000154BIANCO;Habilitado;Catálogo, Búsqueda;;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;;;;SLOT C;SI;SEASONAL;151;70970215490001;;;;/media/import/fotosweb/versace/151/versace-134_2.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;/media/import/fotosweb/versace/151/versace-134_2.jpg;;SLOT 105;;IT;;442.15;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,5;70970215490001;7097021549000148BIANCO,7097021549000150BIANCO,7097021549000152BIANCO,7097021549000154BIANCO;Habilitado;Catálogo, Búsqueda;;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;;;;SLOT C;SI;SEASONAL;151;70970215490001;;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;/media/import/fotosweb/versace/151/versace-134_2.jpg;;SLOT 105;;IT;;442.15;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,5;70970215490001;7097021549000148BIANCO,7097021549000150BIANCO,7097021549000152BIANCO,7097021549000154BIANCO;Habilitado;Catálogo, Búsqueda;;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;;;;SLOT C;SI;SEASONAL;151;70970215490001;;;;/media/import/fotosweb/versace/151/versace-134_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-134_1.jpg;/media/import/fotosweb/versace/151/versace-134_2.jpg;;SLOT 105;;IT;;442.15;;;;;1;;;1;;;
admin;base;0;simple;Default;;;7097021549000832NERO;;Habilitado;Not Visible Individually;112349;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;32;NERO;;SLOT C;SI;SEASONAL;151;70970215490008;F;F;13/01/15;/media/import/fotosweb/versace/151/versace-135_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-135_1.jpg;/media/import/fotosweb/versace/151/versace-135_2.jpg;;SLOT 105;F;IT;4;442.15;;;;.00;1;;;1;;;276835567
admin;base;0;simple;Default;;;7097021549000848NERO;;Habilitado;Not Visible Individually;112349;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;48;NERO;1123495;SLOT C;SI;SEASONAL;151;70970215490008;F;F;13/01/15;/media/import/fotosweb/versace/151/versace-135_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-135_1.jpg;/media/import/fotosweb/versace/151/versace-135_2.jpg;;SLOT 105;F;IT;4;442.15;;;;2.00;1;05/01/15;04/02/15;1;;;-1991608651
admin;base;0;simple;Default;;;7097021549000850NERO;;Habilitado;Not Visible Individually;112349;PANTALONES FLUIDO JOGGING;PANTALONES FLUIDO JOGGING;;;IVA AL 21%;2;1;5;;PV15C;VERSACE;50;NERO;1123494;SLOT C;SI;SEASONAL;151;70970215490008;F;F;13/01/15;/media/import/fotosweb/versace/151/versace-135_0.jpg;;;FLUID JOGGING PANTS;;;/media/import/fotosweb/versace/151/versace-135_1.jpg;/media/import/fotosweb/versace/151/versace-135_2.jpg;;SLOT 105;F;IT;4;442.15;;;;2.00;1;05/01/15;04/02/15;1;;;-1857392972
