store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;D3810001057R44219SCORPIO;;Habilitado;Not Visible Individually;108567;CHAQUETON MIX PROCRI;CHAQUETON MIX PROCRI;;-1;IVA AL 21%;1;1;4;;OI14C;DUVETICA;44;219SCORPIO;1085672;FARFETCH;SI;SEASONAL;142;D3810001057R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/duvetica02_0.jpg;;;PROCRI MIXED COAT;76% POLYAMIDE 24% FLEECE WOOL;;/media/import/fotosweb/duvetica/142/duvetica02_1.jpg;/media/import/fotosweb/duvetica/142/duvetica02_2.jpg;;SLOT 95 & SLOT 80;F;IT;4;492.56;09/01/15;31/12/50;246.28;.00;1;05/08/14;04/09/14;1;;;1875213825
admin;base;0;simple;Default;;;D3810001057R44230TEAK;;Habilitado;Not Visible Individually;108567;CHAQUETON MIX PROCRI;CHAQUETON MIX PROCRI;;-1;IVA AL 21%;1;1;4;;OI14C;DUVETICA;44;230TEAK;10856718;FARFETCH;SI;SEASONAL;142;D3810001057R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/duvetica02_0.jpg;;;PROCRI MIXED COAT;76% POLYAMIDE 24% FLEECE WOOL;;/media/import/fotosweb/duvetica/142/duvetica02_1.jpg;/media/import/fotosweb/duvetica/142/duvetica02_2.jpg;;SLOT 95 & SLOT 80;F;IT;4;492.56;09/01/15;31/12/50;246.28;.00;1;26/09/14;26/10/14;1;;;-1859161404
admin;base;0;simple;Default;;;D3810001057R46219SCORPIO;;Habilitado;Not Visible Individually;108567;CHAQUETON MIX PROCRI;CHAQUETON MIX PROCRI;;-1;IVA AL 21%;1;1;4;;OI14C;DUVETICA;46;219SCORPIO;1085671;FARFETCH;SI;SEASONAL;142;D3810001057R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/duvetica02_0.jpg;;;PROCRI MIXED COAT;76% POLYAMIDE 24% FLEECE WOOL;;/media/import/fotosweb/duvetica/142/duvetica02_1.jpg;/media/import/fotosweb/duvetica/142/duvetica02_2.jpg;;SLOT 95 & SLOT 80;F;IT;4;492.56;09/01/15;31/12/50;246.28;.00;1;05/08/14;04/09/14;1;;;1875344386
admin;base;0;simple;Default;;;U2251001035R48428HENNE;;Habilitado;Not Visible Individually;108568;CAZADORA DIONISIO;CAZADORA DIONISIO;;-1;IVA AL 21%;2;1;6;;OI14C;DUVETICA;48;428HENNE;10856836;FARFETCH;SI;SEASONAL;142;U2251001035R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/cazadoradionisioturq.jpg;;;DIONISIO JACKET;100% POLYAMIDE - IN 90% DOWN 10% GOOSE DOWN;;/media/import/fotosweb/duvetica/142/cazadoradionisioturq1.jpg;/media/import/fotosweb/duvetica/142/cazadoradionisioturq2.jpg;;SLOT 64;F;IT;4;313.22;09/01/15;31/12/50;157.02;.00;1;27/06/14;27/07/14;1;;;1521283393
admin;base;0;simple;Default;;;U2251001035R48735POLINES;;Habilitado;Not Visible Individually;108568;CAZADORA DIONISIO;CAZADORA DIONISIO;;-1;IVA AL 21%;2;1;6;;OI14C;DUVETICA;48;735POLINES;10856820;FARFETCH;SI;SEASONAL;142;U2251001035R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/cazadoradionisioturq.jpg;;;DIONISIO JACKET;100% POLYAMIDE - IN 90% DOWN 10% GOOSE DOWN;;/media/import/fotosweb/duvetica/142/cazadoradionisioturq1.jpg;/media/import/fotosweb/duvetica/142/cazadoradionisioturq2.jpg;;SLOT 64;F;IT;4;313.22;09/01/15;31/12/50;157.02;.00;1;27/06/14;27/07/14;1;;;1064257043
admin;base;0;simple;Default;;;U2251001035R48754LAPISBL;;Habilitado;Not Visible Individually;108568;CAZADORA DIONISIO;CAZADORA DIONISIO;;-1;IVA AL 21%;2;1;6;;OI14C;DUVETICA;48;754LAPISBL;1085684;FARFETCH;SI;SEASONAL;142;U2251001035R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/cazadoradionisioturq.jpg;;;DIONISIO JACKET;100% POLYAMIDE - IN 90% DOWN 10% GOOSE DOWN;;/media/import/fotosweb/duvetica/142/cazadoradionisioturq1.jpg;/media/import/fotosweb/duvetica/142/cazadoradionisioturq2.jpg;;SLOT 64;F;IT;4;313.22;09/01/15;31/12/50;157.02;.00;1;27/06/14;27/07/14;1;;;490653480
admin;base;0;simple;Default;;;U2251001035R50428HENNE;;Habilitado;Not Visible Individually;108568;CAZADORA DIONISIO;CAZADORA DIONISIO;;-1;IVA AL 21%;2;1;6;;OI14C;DUVETICA;50;428HENNE;10856835;FARFETCH;SI;SEASONAL;142;U2251001035R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/cazadoradionisioturq.jpg;;;DIONISIO JACKET;100% POLYAMIDE - IN 90% DOWN 10% GOOSE DOWN;;/media/import/fotosweb/duvetica/142/cazadoradionisioturq1.jpg;/media/import/fotosweb/duvetica/142/cazadoradionisioturq2.jpg;;SLOT 64;F;IT;4;313.22;09/01/15;31/12/50;157.02;.00;1;27/06/14;27/07/14;1;;;1521283394
admin;base;0;simple;Default;;;U2251001035R50735POLINES;;Habilitado;Not Visible Individually;108568;CAZADORA DIONISIO;CAZADORA DIONISIO;;-1;IVA AL 21%;2;1;6;;OI14C;DUVETICA;50;735POLINES;10856819;FARFETCH;SI;SEASONAL;142;U2251001035R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/cazadoradionisioturq.jpg;;;DIONISIO JACKET;100% POLYAMIDE - IN 90% DOWN 10% GOOSE DOWN;;/media/import/fotosweb/duvetica/142/cazadoradionisioturq1.jpg;/media/import/fotosweb/duvetica/142/cazadoradionisioturq2.jpg;;SLOT 64;F;IT;4;313.22;09/01/15;31/12/50;157.02;.00;1;27/06/14;27/07/14;1;;;1064787498
admin;base;0;simple;Default;;;U2251001035R50754LAPISBL;;Habilitado;Not Visible Individually;108568;CAZADORA DIONISIO;CAZADORA DIONISIO;;-1;IVA AL 21%;2;1;6;;OI14C;DUVETICA;50;754LAPISBL;1085683;FARFETCH;SI;SEASONAL;142;U2251001035R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/cazadoradionisioturq.jpg;;;DIONISIO JACKET;100% POLYAMIDE - IN 90% DOWN 10% GOOSE DOWN;;/media/import/fotosweb/duvetica/142/cazadoradionisioturq1.jpg;/media/import/fotosweb/duvetica/142/cazadoradionisioturq2.jpg;;SLOT 64;F;IT;4;313.22;09/01/15;31/12/50;157.02;.00;1;27/06/14;27/07/14;1;;;489086767
admin;base;0;simple;Default;;;U2251001035R52428HENNE;;Habilitado;Not Visible Individually;108568;CAZADORA DIONISIO;CAZADORA DIONISIO;;-1;IVA AL 21%;2;1;6;;OI14C;DUVETICA;52;428HENNE;10856834;FARFETCH;SI;SEASONAL;142;U2251001035R;F;F;21/01/15;/media/import/fotosweb/duvetica/142/cazadoradionisioturq.jpg;;;DIONISIO JACKET;100% POLYAMIDE - IN 90% DOWN 10% GOOSE DOWN;;/media/import/fotosweb/duvetica/142/cazadoradionisioturq1.jpg;/media/import/fotosweb/duvetica/142/cazadoradionisioturq2.jpg;;SLOT 64;F;IT;4;313.22;09/01/15;31/12/50;157.02;.00;1;27/06/14;27/07/14;1;;;1521283395
