store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;PRUEBA240NERO3;;Habilitado;Not Visible Individually;111295;PRUEBA2;PRUEBA2;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;40;NERO3;1112954;SLOT B;SI;SEASONAL;151;PRUEBA2;F;F;13/01/15;/media/import/fotosweb/duvetica/151/duvetica-002_0.jpg;;;ELENADUE LEATHER JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;SLOT 104;F;IT;4;627.27;;;;2.00;1;02/01/15;01/02/15;1;;;-2141526174
admin;base;0;simple;Default;;;PRUEBA242NERO3;;Habilitado;Not Visible Individually;111295;PRUEBA2;PRUEBA2;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;42;NERO3;1112953;SLOT B;SI;SEASONAL;151;PRUEBA2;F;F;13/01/15;/media/import/fotosweb/duvetica/151/duvetica-002_0.jpg;;;ELENADUE LEATHER JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;SLOT 104;F;IT;4;627.27;;;;1.00;1;02/01/15;01/02/15;1;;;-1608182427
admin;base;0;simple;Default;;;PRUEBA244NERO3;;Habilitado;Not Visible Individually;111295;PRUEBA2;PRUEBA2;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;44;NERO3;1112952;SLOT B;SI;SEASONAL;151;PRUEBA2;F;F;13/01/15;/media/import/fotosweb/duvetica/151/duvetica-002_0.jpg;;;ELENADUE LEATHER JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;SLOT 104;F;IT;4;627.27;;;;2.00;1;02/01/15;01/02/15;1;;;-1067785372
admin;base;0;simple;Default;;;PRUEBA246NERO3;;Habilitado;Not Visible Individually;111295;PRUEBA2;PRUEBA2;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;46;NERO3;1112951;SLOT B;SI;SEASONAL;151;PRUEBA2;F;F;13/01/15;/media/import/fotosweb/duvetica/151/duvetica-002_0.jpg;;;ELENADUE LEATHER JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;SLOT 104;F;IT;4;627.27;;;;1.00;1;02/01/15;01/02/15;1;;;-534441625
admin;base;1;configurable;Default;talla,color;1,1,4;PRUEBA2;PRUEBA240NERO3,PRUEBA242NERO3,PRUEBA244NERO3,PRUEBA246NERO3;Habilitado;Catálogo, Búsqueda;;PRUEBA2;PRUEBA2;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;;;;SLOT B;SI;SEASONAL;151;PRUEBA2;;;;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;;ELENADUE LEATHER JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;SLOT 104;;IT;;627.27;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,4;PRUEBA2;PRUEBA240NERO3,PRUEBA242NERO3,PRUEBA244NERO3,PRUEBA246NERO3;Habilitado;Catálogo, Búsqueda;;PRUEBA2;PRUEBA2;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;;;;SLOT B;SI;SEASONAL;151;PRUEBA2;;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;;;ELENADUE LEATHER JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;SLOT 104;;IT;;627.27;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,4;PRUEBA2;PRUEBA240NERO3,PRUEBA242NERO3,PRUEBA244NERO3,PRUEBA246NERO3;Habilitado;Catálogo, Búsqueda;;PRUEBA2;PRUEBA2;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;;;;SLOT B;SI;SEASONAL;151;PRUEBA2;;;;/media/import/fotosweb/duvetica/151/duvetica-002_0.jpg;;;ELENADUE LEATHER JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-002_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-002_2.jpg;;SLOT 104;;IT;;627.27;;;;;1;;;1;;;
admin;base;0;simple;Default;;;PRUEBA338LUNA;;Habilitado;Not Visible Individually;111296;PRUEBA3;PRUEBA3;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;38;LUNA;1112965;SLOT B;SI;SEASONAL;151;PRUEBA3;F;F;13/01/15;/media/import/fotosweb/duvetica/151/duvetica-003_0.jpg;;;MELIA-ERRE REVERSIBLE JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-003_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-003_2.jpg;;SLOT 104;F;IT;4;352.89;;;;1.00;1;02/01/15;01/02/15;1;;;-264565648
admin;base;0;simple;Default;;;PRUEBA340LUNA;;Habilitado;Not Visible Individually;111296;PRUEBA3;PRUEBA3;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;40;LUNA;1112964;SLOT B;SI;SEASONAL;151;PRUEBA3;F;F;13/01/15;/media/import/fotosweb/duvetica/151/duvetica-003_0.jpg;;;MELIA-ERRE REVERSIBLE JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-003_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-003_2.jpg;;SLOT 104;F;IT;4;352.89;;;;.00;1;02/01/15;01/02/15;1;;;-2012969871
admin;base;0;simple;Default;;;PRUEBA342LUNA;;Habilitado;Not Visible Individually;111296;PRUEBA3;PRUEBA3;;;IVA AL 21%;1;1;4;;PV15C;DUVETICA;42;LUNA;1112963;SLOT B;SI;SEASONAL;151;PRUEBA3;F;F;13/01/15;/media/import/fotosweb/duvetica/151/duvetica-003_0.jpg;;;MELIA-ERRE REVERSIBLE JACKET;;;/media/import/fotosweb/duvetica/151/duvetica-003_1.jpg;/media/import/fotosweb/duvetica/151/duvetica-003_2.jpg;;SLOT 104;F;IT;4;352.89;;;;.00;1;02/01/15;01/02/15;1;;;-1979414922
