store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;S37WS0234SX886541961WHITE;;Habilitado;Not Visible Individually;111436;BOTINES SUELA FUTURE;BOTINES SUELA FUTURE;;;IVA AL 21%;2;3;2;;PV15P;MAISON MARTIN MARGIELA;41;961WHITE;1114364;OUT FARFETCH;SI;SEASONAL;151;S37WS0234SX8865;F;F;27/01/15;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_0.jpg;;;FUTURE SOLE HI TOP SNEAKERS;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;F;IT;4;514.88;;;;1.00;1;19/01/15;18/02/15;1;;;967427009
admin;base;0;simple;Default;;;S37WS0234SX886542961WHITE;;Habilitado;Not Visible Individually;111436;BOTINES SUELA FUTURE;BOTINES SUELA FUTURE;;;IVA AL 21%;2;3;2;;PV15P;MAISON MARTIN MARGIELA;42;961WHITE;1114363;OUT FARFETCH;SI;SEASONAL;151;S37WS0234SX8865;F;F;27/01/15;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_0.jpg;;;FUTURE SOLE HI TOP SNEAKERS;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;F;IT;4;514.88;;;;2.00;1;19/01/15;18/02/15;1;;;970339270
admin;base;0;simple;Default;;;S37WS0234SX886543961WHITE;;Habilitado;Not Visible Individually;111436;BOTINES SUELA FUTURE;BOTINES SUELA FUTURE;;;IVA AL 21%;2;3;2;;PV15P;MAISON MARTIN MARGIELA;43;961WHITE;1114362;OUT FARFETCH;SI;SEASONAL;151;S37WS0234SX8865;F;F;27/01/15;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_0.jpg;;;FUTURE SOLE HI TOP SNEAKERS;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;F;IT;4;514.88;;;;2.00;1;19/01/15;18/02/15;1;;;970339271
admin;base;0;simple;Default;;;S37WS0234SX886544961WHITE;;Habilitado;Not Visible Individually;111436;BOTINES SUELA FUTURE;BOTINES SUELA FUTURE;;;IVA AL 21%;2;3;2;;PV15P;MAISON MARTIN MARGIELA;44;961WHITE;;OUT FARFETCH;SI;SEASONAL;151;S37WS0234SX8865;F;F;27/01/15;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_0.jpg;;;FUTURE SOLE HI TOP SNEAKERS;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;F;IT;4;514.88;;;;.00;1;;;1;;;-634780566
admin;base;1;configurable;Default;talla,color;2,3,2;S37WS0234SX8865;S37WS0234SX886541961WHITE,S37WS0234SX886542961WHITE,S37WS0234SX886543961WHITE,S37WS0234SX886544961WHITE;Habilitado;Catálogo, Búsqueda;;BOTINES SUELA FUTURE;BOTINES SUELA FUTURE;;;IVA AL 21%;2;3;2;;PV15P;MAISON MARTIN MARGIELA;;;;OUT FARFETCH;SI;SEASONAL;151;S37WS0234SX8865;;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;FUTURE SOLE HI TOP SNEAKERS;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;;IT;;514.88;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,3,2;S37WS0234SX8865;S37WS0234SX886541961WHITE,S37WS0234SX886542961WHITE,S37WS0234SX886543961WHITE,S37WS0234SX886544961WHITE;Habilitado;Catálogo, Búsqueda;;BOTINES SUELA FUTURE;BOTINES SUELA FUTURE;;;IVA AL 21%;2;3;2;;PV15P;MAISON MARTIN MARGIELA;;;;OUT FARFETCH;SI;SEASONAL;151;S37WS0234SX8865;;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;;;FUTURE SOLE HI TOP SNEAKERS;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;;IT;;514.88;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,3,2;S37WS0234SX8865;S37WS0234SX886541961WHITE,S37WS0234SX886542961WHITE,S37WS0234SX886543961WHITE,S37WS0234SX886544961WHITE;Habilitado;Catálogo, Búsqueda;;BOTINES SUELA FUTURE;BOTINES SUELA FUTURE;;;IVA AL 21%;2;3;2;;PV15P;MAISON MARTIN MARGIELA;;;;OUT FARFETCH;SI;SEASONAL;151;S37WS0234SX8865;;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_0.jpg;;;FUTURE SOLE HI TOP SNEAKERS;;;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_1.jpg;/media/import/fotosweb/martin_margiela/151/martin_margiela-002_2.jpg;;;;IT;;514.88;;;;;1;;;1;;;
admin;base;0;simple;Default;;;3150P7899942NOIR;;Habilitado;Not Visible Individually;112341;BERMUDAS ELASTICA NYLON;BERMUDAS ELASTICA NYLON;;-1;IVA AL 21%;2;1;5;;PV15C;CARVEN;42;NOIR;1123412;SLOT D;SI;SEASONAL;151;3150P78999;F;F;19/01/15;/media/import/fotosweb/carven/151/carven-008_0.jpg;;;NYLON STRETCH SHORTS;;;/media/import/fotosweb/carven/151/carven-008_1.jpg;/media/import/fotosweb/carven/151/carven-008_2.jpg;;SLOT 106;F;IT;4;303.31;;;;1.00;1;05/01/15;04/02/15;1;;;-680059672
admin;base;1;configurable;Default;talla,color;2,1,5;3150P78999;3150P7899942NOIR;Habilitado;Catálogo, Búsqueda;;BERMUDAS ELASTICA NYLON;BERMUDAS ELASTICA NYLON;;;IVA AL 21%;2;1;5;;PV15C;CARVEN;;;;SLOT D;SI;SEASONAL;151;3150P78999;;;;/media/import/fotosweb/carven/151/carven-008_2.jpg;;;NYLON STRETCH SHORTS;;;/media/import/fotosweb/carven/151/carven-008_1.jpg;/media/import/fotosweb/carven/151/carven-008_2.jpg;;SLOT 106;;IT;;303.31;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,5;3150P78999;3150P7899942NOIR;Habilitado;Catálogo, Búsqueda;;BERMUDAS ELASTICA NYLON;BERMUDAS ELASTICA NYLON;;;IVA AL 21%;2;1;5;;PV15C;CARVEN;;;;SLOT D;SI;SEASONAL;151;3150P78999;;;;/media/import/fotosweb/carven/151/carven-008_1.jpg;;;NYLON STRETCH SHORTS;;;/media/import/fotosweb/carven/151/carven-008_1.jpg;/media/import/fotosweb/carven/151/carven-008_2.jpg;;SLOT 106;;IT;;303.31;;;;;1;;;1;;;
