store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;VK8020013UNICAUNICO;;Habilitado;Not Visible Individually;107283;RELOJ DV ONE SKELETON CERAMIC;RELOJ DV ONE SKELETON CERAMIC;;-1;IVA AL 21%;4;2;2;;ANUAL;VERSACE;UNICA;UNICO;1072831;FARFETCH;SI;PERMANENT;1000;VK8020013;F;F;27/01/15;/media/import/fotosweb/versace/1000/reloj_dvone.jpg;;;WATCH VERSACE DV ONE SKELETON CERAMIC;;Movimiento: automatic<br/>Funciones: calendar, chronograph, tachometer<br/>Material de la caja: totanio/ceramica<br/>Finitura de la caja: bottom view, rose gold ip<br/>Material correa: cerámico, totanio<br/>Finitura correa: chiusura butterfly<br/>Color esfera: negro<br/>Finitura esfera: blue details, lancette luminose, logo, red<br/> details, rose gold finishing<br/> Medir Caja 43.5 mm<br/>Resistencia al agua 5 atm;;;;SLOT 98;F;OS;4;3702.48;30/12/99;30/12/99;.00;1.00;1;11/12/13;10/01/14;1;;;1706162018
admin;base;1;configurable;Default;talla,color;4,2,2;VK8020013;VK8020013UNICAUNICO;Habilitado;Catálogo, Búsqueda;;RELOJ DV ONE SKELETON CERAMIC;RELOJ DV ONE SKELETON CERAMIC;;;IVA AL 21%;4;2;2;;ANUAL;VERSACE;;;;FARFETCH;SI;PERMANENT;1000;VK8020013;;;;;;;WATCH VERSACE DV ONE SKELETON CERAMIC;;Movimiento: automatic<br/>Funciones: calendar, chronograph, tachometer<br/>Material de la caja: totanio/ceramica<br/>Finitura de la caja: bottom view, rose gold ip<br/>Material correa: cerámico, totanio<br/>Finitura correa: chiusura butterfly<br/>Color esfera: negro<br/>Finitura esfera: blue details, lancette luminose, logo, red<br/> details, rose gold finishing<br/> Medir Caja 43.5 mm<br/>Resistencia al agua 5 atm;;;;SLOT 98;;OS;;3702.48;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,2,2;VK8020013;VK8020013UNICAUNICO;Habilitado;Catálogo, Búsqueda;;RELOJ DV ONE SKELETON CERAMIC;RELOJ DV ONE SKELETON CERAMIC;;;IVA AL 21%;4;2;2;;ANUAL;VERSACE;;;;FARFETCH;SI;PERMANENT;1000;VK8020013;;;;;;;WATCH VERSACE DV ONE SKELETON CERAMIC;;Movimiento: automatic<br/>Funciones: calendar, chronograph, tachometer<br/>Material de la caja: totanio/ceramica<br/>Finitura de la caja: bottom view, rose gold ip<br/>Material correa: cerámico, totanio<br/>Finitura correa: chiusura butterfly<br/>Color esfera: negro<br/>Finitura esfera: blue details, lancette luminose, logo, red<br/> details, rose gold finishing<br/> Medir Caja 43.5 mm<br/>Resistencia al agua 5 atm;;;;SLOT 98;;OS;;3702.48;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,2,2;VK8020013;VK8020013UNICAUNICO;Habilitado;Catálogo, Búsqueda;;RELOJ DV ONE SKELETON CERAMIC;RELOJ DV ONE SKELETON CERAMIC;;;IVA AL 21%;4;2;2;;ANUAL;VERSACE;;;;FARFETCH;SI;PERMANENT;1000;VK8020013;;;;/media/import/fotosweb/versace/1000/reloj_dvone.jpg;;;WATCH VERSACE DV ONE SKELETON CERAMIC;;Movimiento: automatic<br/>Funciones: calendar, chronograph, tachometer<br/>Material de la caja: totanio/ceramica<br/>Finitura de la caja: bottom view, rose gold ip<br/>Material correa: cerámico, totanio<br/>Finitura correa: chiusura butterfly<br/>Color esfera: negro<br/>Finitura esfera: blue details, lancette luminose, logo, red<br/> details, rose gold finishing<br/> Medir Caja 43.5 mm<br/>Resistencia al agua 5 atm;;;;SLOT 98;;OS;;3702.48;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;0;simple;Default;;;VK7060013UNICAUNICO;;Habilitado;Not Visible Individually;107297;RELOJ VANITAS BLANCA DIAMENTES;RELOJ VANITAS BLANCA DIAMENTES;;-1;IVA AL 21%;4;2;1;;ANUAL;VERSACE;UNICA;UNICO;1072971;FARFETCH;SI;PERMANENT;1000;VK7060013;F;F;27/01/15;/media/import/fotosweb/versace/1000/reloj_vanitaswht.jpg;;;VANITAS WHITE DIAMONDS WATCH;;Movimiento: quartz analogMaterial de la caja: acero Finitura de la caja: enamelled, engraving, rose gold ip Material correa: piel Color correa: blanco Finitura correa: butterfly clasp, quilted, studs Color esfera: blanco, oro rosa Finitura esfera: anti-reflective coated sapphire crystal glass, diamonds, glazed, logo Medir Caja 40 mmResistencia al agua 3 atm;;;;SLOT 98;F;OS;4;1570.25;30/12/99;30/12/99;.00;2.00;1;05/12/13;04/01/14;1;;;1079726645
admin;base;1;configurable;Default;talla,color;4,2,1;VK7060013;VK7060013UNICAUNICO;Habilitado;Catálogo, Búsqueda;;RELOJ VANITAS BLANCA DIAMENTES;RELOJ VANITAS BLANCA DIAMENTES;;;IVA AL 21%;4;2;1;;ANUAL;VERSACE;;;;FARFETCH;SI;PERMANENT;1000;VK7060013;;;;;;;VANITAS WHITE DIAMONDS WATCH;;Movimiento: quartz analogMaterial de la caja: acero Finitura de la caja: enamelled, engraving, rose gold ip Material correa: piel Color correa: blanco Finitura correa: butterfly clasp, quilted, studs Color esfera: blanco, oro rosa Finitura esfera: anti-reflective coated sapphire crystal glass, diamonds, glazed, logo Medir Caja 40 mmResistencia al agua 3 atm;;;;SLOT 98;;OS;;1570.25;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,2,1;VK7060013;VK7060013UNICAUNICO;Habilitado;Catálogo, Búsqueda;;RELOJ VANITAS BLANCA DIAMENTES;RELOJ VANITAS BLANCA DIAMENTES;;;IVA AL 21%;4;2;1;;ANUAL;VERSACE;;;;FARFETCH;SI;PERMANENT;1000;VK7060013;;;;;;;VANITAS WHITE DIAMONDS WATCH;;Movimiento: quartz analogMaterial de la caja: acero Finitura de la caja: enamelled, engraving, rose gold ip Material correa: piel Color correa: blanco Finitura correa: butterfly clasp, quilted, studs Color esfera: blanco, oro rosa Finitura esfera: anti-reflective coated sapphire crystal glass, diamonds, glazed, logo Medir Caja 40 mmResistencia al agua 3 atm;;;;SLOT 98;;OS;;1570.25;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,2,1;VK7060013;VK7060013UNICAUNICO;Habilitado;Catálogo, Búsqueda;;RELOJ VANITAS BLANCA DIAMENTES;RELOJ VANITAS BLANCA DIAMENTES;;;IVA AL 21%;4;2;1;;ANUAL;VERSACE;;;;FARFETCH;SI;PERMANENT;1000;VK7060013;;;;/media/import/fotosweb/versace/1000/reloj_vanitaswht.jpg;;;VANITAS WHITE DIAMONDS WATCH;;Movimiento: quartz analogMaterial de la caja: acero Finitura de la caja: enamelled, engraving, rose gold ip Material correa: piel Color correa: blanco Finitura correa: butterfly clasp, quilted, studs Color esfera: blanco, oro rosa Finitura esfera: anti-reflective coated sapphire crystal glass, diamonds, glazed, logo Medir Caja 40 mmResistencia al agua 3 atm;;;;SLOT 98;;OS;;1570.25;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;0;simple;Default;;;VK7070013UNICAUNICO;;Habilitado;Not Visible Individually;107302;RELOJ VANITAS NEGRA DIAMENTES;RELOJ VANITAS NEGRA DIAMENTES;;-1;IVA AL 21%;4;2;1;;ANUAL;VERSACE;UNICA;UNICO;1073021;FARFETCH;SI;PERMANENT;1000;VK7070013;F;F;27/01/15;/media/import/fotosweb/versace/1000/reloj_vanitasblk.jpg;;;VANITAS BLACK DIAMONDS WATCH;;Movimiento: quartz analogMaterial de la caja: acero Finitura de la caja: enamelled, engraving, rose gold ip Material correa: piel Color correa: negro Finitura correa: butterfly clasp, quilted, studs Color esfera: negro, oro rosa Finitura esfera: anti-reflective coated sapphire crystal glass, diamonds, glazed, logo Medir Caja 40 mmResistencia al agua 3 atm;;;;SLOT 98;F;OS;4;1570.25;30/12/99;30/12/99;.00;2.00;1;05/12/13;04/01/14;1;;;1140716652
admin;base;1;configurable;Default;talla,color;4,2,1;VK7070013;VK7070013UNICAUNICO;Habilitado;Catálogo, Búsqueda;;RELOJ VANITAS NEGRA DIAMENTES;RELOJ VANITAS NEGRA DIAMENTES;;;IVA AL 21%;4;2;1;;ANUAL;VERSACE;;;;FARFETCH;SI;PERMANENT;1000;VK7070013;;;;;;;VANITAS BLACK DIAMONDS WATCH;;Movimiento: quartz analogMaterial de la caja: acero Finitura de la caja: enamelled, engraving, rose gold ip Material correa: piel Color correa: negro Finitura correa: butterfly clasp, quilted, studs Color esfera: negro, oro rosa Finitura esfera: anti-reflective coated sapphire crystal glass, diamonds, glazed, logo Medir Caja 40 mmResistencia al agua 3 atm;;;;SLOT 98;;OS;;1570.25;30/12/99;30/12/99;.00;;1;;;1;;;
