store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;B350859.5WHITE;;Habilitado;Not Visible Individually;107676;TECH RUNNER BLANCO OWENS;TECH RUNNER BLANCO OWENS;;;IVA AL 21%;2;3;1;;OI14C;ADIDAS BY RICK OWENS;9.5;WHITE;1076761;;;;142;B35085;;F;01/01/99;/media/import/fotosweb/adidas/142/adidas15_0.jpg;;;WHITE TECH RUNNER OWENS SNEAKERS;UPP 100%LEATHER - RUBBER SOLE;;/media/import/fotosweb/adidas/142/adidas15_1.jpg;/media/import/fotosweb/adidas/142/adidas15_2.jpg;;;F;UK;4;374.38;09/01/15;31/12/50;187.60;.00;1;26/09/14;26/10/14;1;;;-675288369
admin;base;1;configurable;Default;talla,color;2,3,1;B35085;B350859.5WHITE;Habilitado;Catálogo, Búsqueda;;TECH RUNNER BLANCO OWENS;TECH RUNNER BLANCO OWENS;;;IVA AL 21%;2;3;1;;OI14C;ADIDAS BY RICK OWENS;;;;;;;142;B35085;;;;/media/import/fotosweb/adidas/142/adidas15_2.jpg;;;WHITE TECH RUNNER OWENS SNEAKERS;UPP 100%LEATHER - RUBBER SOLE;;/media/import/fotosweb/adidas/142/adidas15_1.jpg;/media/import/fotosweb/adidas/142/adidas15_2.jpg;;;;UK;;374.38;09/01/15;31/12/50;187.60;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,3,1;B35085;B350859.5WHITE;Habilitado;Catálogo, Búsqueda;;TECH RUNNER BLANCO OWENS;TECH RUNNER BLANCO OWENS;;;IVA AL 21%;2;3;1;;OI14C;ADIDAS BY RICK OWENS;;;;;;;142;B35085;;;;/media/import/fotosweb/adidas/142/adidas15_1.jpg;;;WHITE TECH RUNNER OWENS SNEAKERS;UPP 100%LEATHER - RUBBER SOLE;;/media/import/fotosweb/adidas/142/adidas15_1.jpg;/media/import/fotosweb/adidas/142/adidas15_2.jpg;;;;UK;;374.38;09/01/15;31/12/50;187.60;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,3,1;B35085;B350859.5WHITE;Habilitado;Catálogo, Búsqueda;;TECH RUNNER BLANCO OWENS;TECH RUNNER BLANCO OWENS;;;IVA AL 21%;2;3;1;;OI14C;ADIDAS BY RICK OWENS;;;;;;;142;B35085;;;;/media/import/fotosweb/adidas/142/adidas15_0.jpg;;;WHITE TECH RUNNER OWENS SNEAKERS;UPP 100%LEATHER - RUBBER SOLE;;/media/import/fotosweb/adidas/142/adidas15_1.jpg;/media/import/fotosweb/adidas/142/adidas15_2.jpg;;;;UK;;374.38;09/01/15;31/12/50;187.60;;1;;;1;;;
admin;base;0;simple;Default;;;HOMGCAPHIGH36BLACK;;Habilitado;Not Visible Individually;108045;SNEAKERS MEGAPLATAFORMA HOMG HIGH;SNEAKERS MEGAPLATAFORMA HOMG HIGH;;;IVA AL 21%;1;3;1;;PV14C;JEFFREY CAMPBELL;36;BLACK;1080456;;;;141;HOMGCAPHIGH;;F;01/01/99;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg.jpg;;;HOMG HIGH PLATFORM SNEAKERS;100% TEXTIL - RUBBER SOLE;;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg1.jpg;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg2.jpg;;;F;STANDARD;4;72.73;20/06/14;31/12/50;36.36;1.00;1;10/03/14;09/04/14;1;72.73;36.36;212223970
admin;base;0;simple;Default;;;HOMGCAPHIGH37BLACK;;Habilitado;Not Visible Individually;108045;SNEAKERS MEGAPLATAFORMA HOMG HIGH;SNEAKERS MEGAPLATAFORMA HOMG HIGH;;;IVA AL 21%;1;3;1;;PV14C;JEFFREY CAMPBELL;37;BLACK;1080455;;;;141;HOMGCAPHIGH;;F;01/01/99;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg.jpg;;;HOMG HIGH PLATFORM SNEAKERS;100% TEXTIL - RUBBER SOLE;;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg1.jpg;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg2.jpg;;;F;STANDARD;4;72.73;20/06/14;31/12/50;36.36;.00;1;10/03/14;09/04/14;1;72.73;36.36;479835873
admin;base;0;simple;Default;;;HOMGCAPHIGH38BLACK;;Habilitado;Not Visible Individually;108045;SNEAKERS MEGAPLATAFORMA HOMG HIGH;SNEAKERS MEGAPLATAFORMA HOMG HIGH;;;IVA AL 21%;1;3;1;;PV14C;JEFFREY CAMPBELL;38;BLACK;1080454;;;;141;HOMGCAPHIGH;;F;01/01/99;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg.jpg;;;HOMG HIGH PLATFORM SNEAKERS;100% TEXTIL - RUBBER SOLE;;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg1.jpg;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg2.jpg;;;F;STANDARD;4;72.73;20/06/14;31/12/50;36.36;3.00;1;10/03/14;09/04/14;1;72.73;36.36;-321277472
admin;base;0;simple;Default;;;HOMGCAPHIGH39BLACK;;Habilitado;Not Visible Individually;108045;SNEAKERS MEGAPLATAFORMA HOMG HIGH;SNEAKERS MEGAPLATAFORMA HOMG HIGH;;;IVA AL 21%;1;3;1;;PV14C;JEFFREY CAMPBELL;39;BLACK;1080453;;;;141;HOMGCAPHIGH;;F;01/01/99;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg.jpg;;;HOMG HIGH PLATFORM SNEAKERS;100% TEXTIL - RUBBER SOLE;;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg1.jpg;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg2.jpg;;;F;STANDARD;4;72.73;20/06/14;31/12/50;36.36;.00;1;10/03/14;09/04/14;1;72.73;36.36;-57034521
admin;base;0;simple;Default;;;HOMGCAPHIGH40BLACK;;Habilitado;Not Visible Individually;108045;SNEAKERS MEGAPLATAFORMA HOMG HIGH;SNEAKERS MEGAPLATAFORMA HOMG HIGH;;;IVA AL 21%;1;3;1;;PV14C;JEFFREY CAMPBELL;40;BLACK;1080452;;;;141;HOMGCAPHIGH;;F;01/01/99;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg.jpg;;;HOMG HIGH PLATFORM SNEAKERS;100% TEXTIL - RUBBER SOLE;;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg1.jpg;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg2.jpg;;;F;STANDARD;4;72.73;20/06/14;31/12/50;36.36;.00;1;10/03/14;09/04/14;1;72.73;36.36;1822015969
admin;base;0;simple;Default;;;HOMGCAPHIGH41BLACK;;Habilitado;Not Visible Individually;108045;SNEAKERS MEGAPLATAFORMA HOMG HIGH;SNEAKERS MEGAPLATAFORMA HOMG HIGH;;;IVA AL 21%;1;3;1;;PV14C;JEFFREY CAMPBELL;41;BLACK;1080451;;;;141;HOMGCAPHIGH;;F;01/01/99;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg.jpg;;;HOMG HIGH PLATFORM SNEAKERS;100% TEXTIL - RUBBER SOLE;;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg1.jpg;/media/import/fotosweb/jeffrey_campbell/141/sneakersmegaplathomg2.jpg;;;F;STANDARD;4;72.73;20/06/14;31/12/50;36.36;.00;1;10/03/14;09/04/14;1;72.73;36.36;2090451170
