store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM;repetidos
admin;base;1;configurable;Default;talla,color;2,3,1;V55221;V5522110SEAGLASS/H,V5522110.5SEAGLASS/H,V5522111SEAGLASS/H,V552217SEAGLASS/H,V552217.5SEAGLASS/H,V552218SEAGLASS/H,V552218.5SEAGLASS/H,V552219SEAGLASS/H,V552219.5SEAGLASS/H;Habilitado;Catálogo, Búsqueda;;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;;;;;;;141;V55221;;;;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;;US;;66.12;20/06/14;31/12/50;39.67;;1;;;1;66.12;19.83;;1
admin;base;1;configurable;Default;talla,color;2,3,1;V60519;V6051910STEEL/BLUE,V6051910.5STEEL/BLUE,V6051911STEEL/BLUE,V605197STEEL/BLUE,V605197.5STEEL/BLUE,V605198STEEL/BLUE,V605198.5STEEL/BLUE,V605199STEEL/BLUE,V605199.5STEEL/BLUE;Habilitado;Catálogo, Búsqueda;;SNEAKER PUMP RUNNING DUAL;SNEAKER PUMP RUNNING DUAL;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;;;;;;;141;V60519;;;;/media/import/fotosweb/reebok/141/sneaker_pump2.jpg;;;DUAL RUNNING PUMP SNEAKERS;TEXTILE - OTHER MATERIAL;;/media/import/fotosweb/reebok/141/sneaker_pump1.jpg;/media/import/fotosweb/reebok/141/sneaker_pump2.jpg;;SLOT 53;;US;;99.17;20/06/14;31/12/50;59.50;;1;;;1;99.17;29.75;;1
admin;base;1;configurable;Default;talla,color;2,3,1;V60515;V6051510RED/BLUE,V6051510.5RED/BLUE,V6051511RED/BLUE,V605157RED/BLUE,V605157.5RED/BLUE,V605158RED/BLUE,V605158.5RED/BLUE,V605159RED/BLUE,V605159.5RED/BLUE;Habilitado;Catálogo, Búsqueda;;SNEAKER PUMP RUNNING DUAL;SNEAKER PUMP RUNNING DUAL;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;;;;;;;141;V60515;;;;/media/import/fotosweb/reebok/141/sneakerpumprunningdual2.jpg;;;DUAL RUNNING PUMP SNEAKERS;SU: 100% RUBBER O:100% TEX;;/media/import/fotosweb/reebok/141/sneakerpumprunningdual1.jpg;/media/import/fotosweb/reebok/141/sneakerpumprunningdual2.jpg;;SLOT 53;;US;;99.17;20/06/14;31/12/50;59.50;;1;;;1;99.17;29.75;;1
admin;base;1;configurable;Default;talla,color;2,3,1;V59362;V5936210NEON/BLACK,V5936210.5NEON/BLACK,V593626.5NEON/BLACK,V593627NEON/BLACK,V593627.5NEON/BLACK,V593628NEON/BLACK,V593628.5NEON/BLACK,V593629NEON/BLACK,V593629.5NEON/BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKER NPC LUX HARING;SNEAKER NPC LUX HARING;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;;;;;;;141;V59362;;;;/media/import/fotosweb/reebok/141/sneaker_npc2.jpg;;;NPC LUX HARING SNEAKERS;;;/media/import/fotosweb/reebok/141/sneaker_npc1.jpg;/media/import/fotosweb/reebok/141/sneaker_npc2.jpg;;SLOT 56;;US;;90.91;20/06/14;31/12/50;54.55;;1;;;1;90.91;27.27;;1
admin;base;1;configurable;Default;talla,color;2,3,1;V59366;V5936610NEON/BLACK,V5936610.5NEON/BLACK,V593666.5NEON/BLACK,V593667NEON/BLACK,V593667.5NEON/BLACK,V593668NEON/BLACK,V593668.5NEON/BLACK,V593669NEON/BLACK,V593669.5NEON/BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKER WORKOUT MID HARING;SNEAKER WORKOUT MID HARING;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;;;;;;;141;V59366;;;;/media/import/fotosweb/reebok/141/sneaker_workout2.jpg;;;WORKOUT MID HARING SNEAKERS;;;/media/import/fotosweb/reebok/141/sneaker_workout1.jpg;/media/import/fotosweb/reebok/141/sneaker_workout2.jpg;;SLOT 56;;US;;99.17;20/06/14;31/12/50;59.50;;1;;;1;99.17;29.75;;1
admin;base;1;configurable;Default;talla,color;2,3,1;V59361;V5936110NEON/BLACK,V5936110.5NEON/BLACK,V593616.5NEON/BLACK,V593617NEON/BLACK,V593617.5NEON/BLACK,V593618NEON/BLACK,V593618.5NEON/BLACK,V593619NEON/BLACK,V593619.5NEON/BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKER CL LUX HARING;SNEAKER CL LUX HARING;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;;;;;;;141;V59361;;;;/media/import/fotosweb/reebok/141/sneaker_cllux2.jpg;;;LUX HARING CL SNEAKERS;;;/media/import/fotosweb/reebok/141/sneaker_cllux1.jpg;/media/import/fotosweb/reebok/141/sneaker_cllux2.jpg;;SLOT 56;;US;;123.97;20/06/14;31/12/50;74.38;;1;;;1;123.97;37.19;;1
admin;base;1;configurable;Default;talla,color;1,3,1;V59363;V593635NEON/BLACK,V593635.5NEON/BLACK,V593636NEON/BLACK,V593636.5NEON/BLACK,V593637NEON/BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKER PRINCESS KH;SNEAKER PRINCESS KH;;;IVA AL 21%;1;3;1;;PV14C;REEBOK;;;;;;;141;V59363;;;;/media/import/fotosweb/reebok/141/sneaker_princess2.jpg;;;PRINCESS KH SNEAKERS;;;/media/import/fotosweb/reebok/141/sneaker_princess1.jpg;/media/import/fotosweb/reebok/141/sneaker_princess2.jpg;;SLOT 56;;US;;66.12;20/06/14;31/12/50;33.06;;1;;;1;66.12;19.83;;1
admin;base;1;configurable;Default;talla,color;1,1,4;130V48;130V4836352PINK,130V4838352PINK,130V4840352PINK,130V4842352PINK;Habilitado;Catálogo, Búsqueda;;CHAQUETA GOFRADA JAQUARD;CHAQUETA GOFRADA JAQUARD;;;IVA AL 21%;1;1;4;;PV14P;CARVEN;;;;;;;141;130V48;;;;/media/import/fotosweb/carven/141/chaqueta_gofrada2.jpg;;;JACQUARD RETRO JACKET;63% COTTON 19% POLYAMIDE 18% WOOL;Chaqueta Carven de manga larga en tejido jacquard en algodón, poliamida y lana. Bolsillos laterales.;/media/import/fotosweb/carven/141/chaqueta_gofrada1.jpg;/media/import/fotosweb/carven/141/chaqueta_gofrada2.jpg;Carven long sleeve jacket in jacquard fabric in cotton, polyamide and wool. Side pockets.;SLOT 40;;FR;;433.06;20/06/14;31/12/50;216.53;;1;;;1;433.06;130.58;;1
admin;base;1;configurable;Default;talla,color;1,1,7;140J40A;140J40A36351POWDER,140J40A38351POWDER;Habilitado;Catálogo, Búsqueda;;FALDA TWEED COLOR;FALDA TWEED COLOR;;;IVA AL 21%;1;1;7;;PV14P;CARVEN;;;;;;;141;140J40A;;;;/media/import/fotosweb/carven/141/falda_tweed2.jpg;;;A-LINE TWEED COLOR SKIRT;52% COTTON 38% POLYESTER 10% POLYAMIDE;Falda Carven corta en tejido tweed en algodón, poliamida y poliéster.;/media/import/fotosweb/carven/141/falda_tweed1.jpg;/media/import/fotosweb/carven/141/falda_tweed2.jpg;Carven miniskirt in jacquard fabric in cotton, polyamide and polyester.;SLOT 40;;FR;;192.56;20/06/14;31/12/50;96.69;;1;;;1;192.56;57.85;;1
admin;base;1;configurable;Default;talla,color;1,1,4;140V32;140V3238351POWDER,140V3240351POWDER,140V3242351POWDER;Habilitado;Catálogo, Búsqueda;;CHAQUETA TWEED COLOR;CHAQUETA TWEED COLOR;;;IVA AL 21%;1;1;4;;PV14P;CARVEN;;;;;;;141;140V32;;;;/media/import/fotosweb/carven/141/chaquetatweed_color2.jpg;;;COLOUR TWEED JACKET;52% COTTON 38% POLYESTER 10% POLYAMIDE;Chaqueta Carven de manga larga en tejido de buclé en algodón, poliéster y poliamida. Bolsillos laterales.;/media/import/fotosweb/carven/141/chaquetatweed_color1.jpg;/media/import/fotosweb/carven/141/chaquetatweed_color2.jpg;Carven long sleeve jacket in tweed fabric in cotton, polyester and polyamide. Side pockets.;SLOT 42;;FR;;394.21;20/06/14;31/12/50;197.52;;1;;;1;394.21;119.01;;1
