store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;4,1,1;KYT50;KYT50UNICAUNICO;Habilitado;Catálogo, Búsqueda;;SERIE 3 KYOTO 50 ML;SERIE 3 KYOTO 50 ML;;;IVA AL 21%;4;1;1;;ANUAL;CDG PARFUM;;;;;;;1000;KYT50;;;;/media/import/fotosweb/cdg/1000/;;;SERIE 3 KYOTO 50 ML;;'Kyoto is a spiritual journey to the serene temples of the city known as Heart of Japan. Dry and calm, the cedar note in Kyoto is evident, swirling with the earthy scents of spicy, smoky vetiver and the juniper-meets-evergreen aroma of cypress. Serene and earthbound, Kyoto''s quiet power is never harsh. it''s a meditative scent, bringing to mind relaxing in one of Kyoto''s legendary rotenburo (outdoor hot spring baths) nestled among the legendary cypress trees.';/media/import/fotosweb/cdg/1000/;/media/import/fotosweb/cdg/1000/;'Kyoto is a spiritual journey to the serene temples of the city known as Heart of Japan. Dry and calm, the cedar note in Kyoto is evident, swirling with the earthy scents of spicy, smoky vetiver and the juniper-meets-evergreen aroma of cypress. Serene and earthbound, Kyoto''s quiet power is never harsh. it''s a meditative scent, bringing to mind relaxing in one of Kyoto''s legendary rotenburo (outdoor hot spring baths) nestled among the legendary cypress trees.';;;OS;;59.50;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,6;BAS2011A000;BAS2011A000UNICAUNIOC,BAS2011A000UNICAUNIOC;Habilitado;Catálogo, Búsqueda;;PENDIENTES VERSACE;PENDIENTES VERSACE;;;IVA AL 21%;4;1;6;;ANUAL;VERSACE;;;;;;;1000;BAS2011A000;;;;;;;VERSACE EARRINGS;;;/media/import/fotosweb/versace/1000/versace_joyas01_1.jpg;;;;;OS;;1889.26;07/08/13;31/12/50;1611.57;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;CDG 100ML;CDG 100MLUNICAUNICO;Habilitado;Catálogo, Búsqueda;;CDG 2 100ML;CDG 2 100ML;;;IVA AL 21%;4;1;1;;ANUAL;CDG PARFUM;;;;;;;1000;CDG 100ML;;;;/media/import/fotosweb/cdg/1000/;;;CDG 2 100ML;;El Comme des Garçons 2, combina perfectamente el aroma a Magnolias y ámbar con una base de olor a madera y especias muy original y delicioso;/media/import/fotosweb/cdg/1000/;/media/import/fotosweb/cdg/1000/;Comme des Garçons 2 plays with complements and contrasts... with reflection and opacity... with mirrors and brilliance... with light and shadow... with earth and the energy of the sun. Ink, Incense, Amber, Labdanum, Patchouli, Chinese, Cedarwood, New Aldehydes, Cumin, Angelica Root, Vetiver, Cade Oil, Absolute Maté, Magnolia, Absolute Folia;;;OS;;80.99;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,6;DAX4011A000;DAX4011A000UNICAUNICO,DAX4011A000UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR VERSACE;COLLAR VERSACE;;;IVA AL 21%;4;1;6;;ANUAL;VERSACE;;;;;;;1000;DAX4011A000;;;;;;;VERSACE NECKLACE;;;;;;SLOT 21;;OS;;8657.85;07/08/13;31/12/50;4328.93;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;6091170;6091170UNICAUNICO;Habilitado;Catálogo, Búsqueda;;CDG 2 50 ML;CDG 2 50 ML;;;IVA AL 21%;4;1;1;;ANUAL;CDG PARFUM;;;;;;;1000;6091170;;;;/media/import/fotosweb/cdg/1000/;;;CDG 2 50 ML;;El Comme des Garçons 2, combina perfectamente el aroma a Magnolias y ámbar con una base de olor a madera y especias muy original y delicioso;/media/import/fotosweb/cdg/1000/;/media/import/fotosweb/cdg/1000/;Comme des Garçons 2 plays with complements and contrasts. with reflection and opacity... with mirrors and brilliance. with light and shadow... with earth and the energy of the sun. Ink, Incense, Amber, Labdanum, Patchouli, Chinese, Cedarwood, New Aldehydes, Cumin, Angelica Root, Vetiver, Cade Oil, absolute Maté, Magnolia, Absolute Folia;;;OS;;62.81;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,6;GRIM03;GRIM03UNICAUNICO;Habilitado;Catálogo, Búsqueda;;ANILLO CUARZO ROSA;ANILLO CUARZO ROSA;;;IVA AL 21%;4;1;6;;ANUAL;GRIMOLDI;;;;;;;1000;GRIM03;;;;;;;GRIMOLDI RING;;;/media/import/fotosweb/grimoldi/1000/grimoldi03_1.jpg;;;;;OS;;5206.61;01/01/05;31/12/50;2603.31;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,6;FANTASIA;FANTASIAUNICAUNICO;Habilitado;Catálogo, Búsqueda;;PENDIENTES FANTASIA;PENDIENTES FANTASIA;;;IVA AL 21%;4;1;6;;ANUAL;CAROLE BERREBI;;;;;;;1000;FANTASIA;;;;;;;CAROLE BERREBI EARRING;;;;;;;;OS;;7396.69;01/01/05;31/12/50;3698.35;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;I19021;I19021UNICAUNICO;Habilitado;Catálogo, Búsqueda;;CRYSTAL NOIR 90ML.;CRYSTAL NOIR 90ML.;;;IVA AL 21%;4;1;1;;ANUAL;VERSACE;;;;;;;1000;I19021;;;;;;;CRYSTAL NOIR 90ML.;;;;;;;;OS;;81.82;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;I89020;I89020UNICAUNICO;Habilitado;Catálogo, Búsqueda;;VERSACE EAU FRAICHE EDT 100ML;VERSACE EAU FRAICHE EDT 100ML;;;IVA AL 21%;4;1;1;;ANUAL;VERSACE;;;;;;;1000;I89020;;;;;;;VERSACE EAU FRAICHE EDT 100ML;;;;;;;;OS;;62.81;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;I18010;I18010UNICAUNICO;Habilitado;Catálogo, Búsqueda;;VERSACE BRIGHT CRYSTAL EDT 50ML;VERSACE BRIGHT CRYSTAL EDT 50ML;;;IVA AL 21%;4;1;1;;ANUAL;VERSACE;;;;;;;1000;I18010;;;;;;;VERSACE BRIGHT CRYSTAL EDT 50ML;;;;;;;;OS;;53.72;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,5,6;5739NJ;5739NJUNICAIT MING;Habilitado;Catálogo, Búsqueda;;PENDANT ELEPHANT;PENDANT ELEPHANT;;;IVA AL 21%;1;5;6;;ANUAL;KENNETH JAY LANE;;;;;;;1000;5739NJ;;;;;;;ELEPHANT PENDANT;;;/media/import/fotosweb/kenneth_jay_lane/1000/kenneth_jay_lane016_1.jpg;;;;;OS;;111.57;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,5,7;6330RCT;6330RCTUNICAGLD/COR/TU;Habilitado;Catálogo, Búsqueda;;RING SQUARE CTR;RING SQUARE CTR;;;IVA AL 21%;1;5;7;;ANUAL;KENNETH JAY LANE;;;;;;;1000;6330RCT;;;;;;;SQUARE  RING;;;/media/import/fotosweb/kenneth_jay_lane/1000/kenneth_jay_lane017_1.jpg;;;;;OS;;77.69;30/12/99;30/12/99;.00;;1;;;1;;;
