store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM;repetidos
admin;base;1;configurable;Default;talla,color;1,3,1;001TRIM CANVAS;001TRIM CANVAS38BLK/WHT,001TRIM CANVAS39BLK/WHT,001TRIM CANVAS40BLK/WHT,001TRIM CANVAS41BLK/WHT;Habilitado;Catálogo, Búsqueda;;SNEAKERS CANVAS NAPPA MIX;SNEAKERS CANVAS NAPPA MIX;;;IVA AL 21%;1;3;1;;OI14P;PIERRE HARDY;;;;;;;142;001TRIM CANVAS;;;;/media/import/fotosweb/pierre_hardy/142/pierre_hardy21_2.jpg;;;CANVAS NAPPA MIX SNEAKERS;50% CANVAS 50% NAPPA CALF;;/media/import/fotosweb/pierre_hardy/142/pierre_hardy21_1.jpg;/media/import/fotosweb/pierre_hardy/142/pierre_hardy21_2.jpg;;SLOT 96;;STANDARD;;347.11;30/12/99;30/12/99;.00;;1;;;1;347.11;104.13;;1
admin;base;1;configurable;Default;talla,color;7,2,1;002230504777;002230504777S981GREY;Habilitado;Catálogo, Búsqueda;;GORRO POLAR BANDERA;GORRO POLAR BANDERA;;;IVA AL 21%;7;2;1;;OI14C;MONCLER JR;;;;;;;142;002230504777;;;;/media/import/fotosweb/moncler/142/moncler174_2.jpg;;;POLAR FLAG CAP;100% POLYESTER 100% COTTON - CAP 100% POLYAMIDE;;/media/import/fotosweb/moncler/142/moncler174_1.jpg;/media/import/fotosweb/moncler/142/moncler174_2.jpg;;;;STANDARD;;99.17;09/01/15;31/12/50;49.59;;1;;;1;99.17;29.75;;1
admin;base;1;configurable;Default;talla,color;7,4,1;004160507230;00416050723016034WHITE,00416050723016742NAVY,00416050723017034WHITE,00416050723017742NAVY,00416050723018034WHITE,00416050723018742NAVY,00416050723019034WHITE,00416050723019742NAVY;Habilitado;Catálogo, Búsqueda;;SNEAKERS BANDERA;SNEAKERS BANDERA;;;IVA AL 21%;7;4;1;;OI14C;MONCLER BABY;;;;;;;142;004160507230;;;;/media/import/fotosweb/moncler/142/moncler121_2.jpg;;;FLAG SNEAKERS;100% LEATHER - 100% LEATHER SOLE;;/media/import/fotosweb/moncler/142/moncler121_1.jpg;/media/import/fotosweb/moncler/142/moncler121_2.jpg;;;;STANDARD;;99.17;09/01/15;31/12/50;49.59;;1;;;1;99.17;29.75;;1
admin;base;1;configurable;Default;talla,color;1,2,6;005460003996;005460003996M034WHITE,005460003996M999BLACK,005460003996S034WHITE,005460003996S999BLACK;Habilitado;Catálogo, Búsqueda;;GUANTES LOGO BASICO;GUANTES LOGO BASICO;;;IVA AL 21%;1;2;6;;OI14P;MONCLER;;;;;;;142;005460003996;;;;;;;BASIC LOGOED GLOVES;40% WOOL 25% POLYAMIDE 25% VISCOSE 10% CASHMERE;;;;;SLOT 73;;STANDARD;;86.78;09/01/15;31/12/50;43.80;;1;;;1;86.78;26.45;;1
admin;base;1;configurable;Default;talla,color;1,2,2;08FELT CRYSTAL;08FELT CRYSTALUNICACREAM;Deshabilitado;Catálogo, Búsqueda;;SOMBRERO CRISTALES FIELTRO;SOMBRERO CRISTALES FIELTRO;;;IVA AL 21%;1;2;2;;OI14C;PIERS ATKINSON;;;;;;;142;08FELT CRYSTAL;;;;/media/import/fotosweb/piers_atkinson/142/sombrero_cristalesfieltro2.jpg;;;CRYSTALS FELT HAT;70% ACRYLIC 25% POLYESTER 5% WIRE;;/media/import/fotosweb/piers_atkinson/142/sombrero_cristalesfieltro1.jpg;/media/import/fotosweb/piers_atkinson/142/sombrero_cristalesfieltro2.jpg;;SLOT 76;;OS;;627.27;09/01/15;31/12/50;314.05;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;2,3,1;10022;1002239BLACK,1002240BLACK,1002241BLACK,1002242BLACK,1002243BLACK,1002244BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKERS HOLOGRAMA VELCRO;SNEAKERS HOLOGRAMA VELCRO;;;IVA AL 21%;2;3;1;;OI14C;JOSHUA SANDERS;;;;;;;142;10022;;;;/media/import/fotosweb/joshua_sanders/142/jsanders03_2.jpg;;;VELCRO HOLOGRAM SNEAKERS;100% CALF LEATHER - 100% RUBBER SOLE;;/media/import/fotosweb/joshua_sanders/142/jsanders02_1.jpg;/media/import/fotosweb/joshua_sanders/142/jsanders03_2.jpg;;SLOT 73;;IT;;264.46;09/01/15;31/12/50;132.23;;1;;;1;264.46;79.34;;1
admin;base;1;configurable;Default;talla,color;2,3,1;10024;1002439SILVER,1002440SILVER,1002441SILVER,1002442SILVER,1002443SILVER,1002444SILVER;Habilitado;Catálogo, Búsqueda;;SLIP ON PLATA METALIZADO;SLIP ON PLATA METALIZADO;;;IVA AL 21%;2;3;1;;OI14C;JOSHUA SANDERS;;;;;;;142;10024;;;;/media/import/fotosweb/joshua_sanders/142/jsanders15_2.jpg;;;SILVER METALLIC SLIP ON;100% CALF LEATHER - 100% RUBBER SOLE;;/media/import/fotosweb/joshua_sanders/142/jsanders14_1.jpg;/media/import/fotosweb/joshua_sanders/142/jsanders15_2.jpg;;SLOT 73;;IT;;209.92;09/01/15;31/12/50;104.96;;1;;;1;209.92;63.64;;1
admin;base;1;configurable;Default;talla,color;2,1,6;101008;1010082XLBLACK,1010082XLGREY,101008LBLACK,101008LGREY,101008MBLACK,101008MGREY,101008SBLACK,101008SGREY,101008XLBLACK,101008XLGREY;Habilitado;Catálogo, Búsqueda;;CAZADORA BASICA PIEL;CAZADORA BASICA PIEL;;;IVA AL 21%;2;1;6;;OI14C;BUNNY JACKET;;;;;;;142;101008;;;;/media/import/fotosweb/bunny_jacket/142/cazadorabasicapielblk2.jpg;;;BASIC LEATHER JACKET;100% LEATHER;;/media/import/fotosweb/bunny_jacket/142/cazadorabasicapielblk1.jpg;/media/import/fotosweb/bunny_jacket/142/cazadorabasicapielblk2.jpg;;;;STANDARD;;629.75;09/01/15;31/12/50;314.88;;1;;;1;629.75;189.26;;1
admin;base;1;configurable;Default;talla,color;2,1,6;101010;1010102XLBLACK,101010LBLACK,101010LORANGE,101010LRED,101010MBLACK,101010MORANGE,101010MRED,101010XLBLACK,101010XLORANGE,101010XLRED;Habilitado;Catálogo, Búsqueda;;CAZADORA REVERSIBLE PIEL;CAZADORA REVERSIBLE PIEL;;;IVA AL 21%;2;1;6;;OI14C;BUNNY JACKET;;;;;;;142;101010;;;;/media/import/fotosweb/bunny_jacket/142/cazadorareversiblepielblk2.jpg;;;REVERSIBLE LEATHER JACKET;100% LEATHER;;/media/import/fotosweb/bunny_jacket/142/cazadorareversiblepielblk1.jpg;/media/import/fotosweb/bunny_jacket/142/cazadorareversiblepielblk2.jpg;;;;STANDARD;;721.49;09/01/15;31/12/50;361.16;;1;;;1;721.49;216.53;;1
admin;base;1;configurable;Default;talla,color;2,3,1;108**;108**39SILVER/WHT,108**40SILVER/WHT,108**41SILVER/WHT,108**42SILVER/WHT,108**43SILVER/WHT,108**44SILVER/WHT;Habilitado;Catálogo, Búsqueda;;SNEAKERS FUTURO;SNEAKERS FUTURO;;;IVA AL 21%;2;3;1;;OI14C;PIERRE HARDY;;;;;;;142;108**;;;;/media/import/fotosweb/pierre_hardy/142/pierre_hardy02_2.jpg;;;FUTURE SNEAKERS;;;/media/import/fotosweb/pierre_hardy/142/pierre_hardy02_1.jpg;/media/import/fotosweb/pierre_hardy/142/pierre_hardy02_2.jpg;;SLOT 78;;IT;;404.13;09/01/15;31/12/50;202.48;;1;;;1;404.13;121.49;;1
