store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA39CM092-orderbyrequest;4S9RA39CM09236BLANC,4S9RA39CM09238BLANC;Habilitado;Catálogo, Búsqueda;;VESTIDO ORIGAMI BABY;VESTIDO ORIGAMI BABY;;;IVA AL 21%;1;1;6;;PV14C;Invisible;;;;;;;;4S9RA39CM092;;;;/media/import/fotosweb/alaia/141/vestidoorigamibabywht2.jpg;;;BABY ORIGAMI DRESS;65% VISCOSE 25% SILK 5% POLYAMIDE 5% POLYESTER;;/media/import/fotosweb/alaia/141/vestidoorigamibabywht1.jpg;/media/import/fotosweb/alaia/141/vestidoorigamibabywht2.jpg;;;;FR;;3083.47;20/06/14;31/12/50;1542.15;;1;;;1;3083.47;925.62;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA39CM092-orderbyrequest;4S9RA39CM09236BLANC,4S9RA39CM09238BLANC;Habilitado;Catálogo, Búsqueda;;VESTIDO ORIGAMI BABY;VESTIDO ORIGAMI BABY;;;IVA AL 21%;1;1;6;;PV14C;Invisible;;;;;;;;4S9RA39CM092;;;;/media/import/fotosweb/alaia/141/vestidoorigamibabywht1.jpg;;;BABY ORIGAMI DRESS;65% VISCOSE 25% SILK 5% POLYAMIDE 5% POLYESTER;;/media/import/fotosweb/alaia/141/vestidoorigamibabywht1.jpg;/media/import/fotosweb/alaia/141/vestidoorigamibabywht2.jpg;;;;FR;;3083.47;20/06/14;31/12/50;1542.15;;1;;;1;3083.47;925.62;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA39CM092-orderbyrequest;4S9RA39CM09236BLANC,4S9RA39CM09238BLANC;Habilitado;Catálogo, Búsqueda;;VESTIDO ORIGAMI BABY;VESTIDO ORIGAMI BABY;;;IVA AL 21%;1;1;6;;PV14C;Invisible;;;;;;;;4S9RA39CM092;;;;/media/import/fotosweb/alaia/141/vestidoorigamibabywht.jpg;;;BABY ORIGAMI DRESS;65% VISCOSE 25% SILK 5% POLYAMIDE 5% POLYESTER;;/media/import/fotosweb/alaia/141/vestidoorigamibabywht1.jpg;/media/import/fotosweb/alaia/141/vestidoorigamibabywht2.jpg;;;;FR;;3083.47;20/06/14;31/12/50;1542.15;;1;;;1;3083.47;925.62;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA39CM092-orderbyrequest2;4S9RA39CM09236NOIR,4S9RA39CM09238NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO ORIGAMI BABY;VESTIDO ORIGAMI BABY;;;IVA AL 21%;1;1;6;;PV14C;Invisible;;;;;;;;4S9RA39CM092;;;;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk2.jpg;;;BABY ORIGAMI DRESS;65% VISCOSE 25% SILK 5% POLYAMIDE 5% POLYESTER;;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk1.jpg;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk2.jpg;;;;FR;;3083.47;20/06/14;31/12/50;1542.15;;1;;;1;3083.47;925.62;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA39CM092-orderbyrequest2;4S9RA39CM09236NOIR,4S9RA39CM09238NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO ORIGAMI BABY;VESTIDO ORIGAMI BABY;;;IVA AL 21%;1;1;6;;PV14C;Invisible;;;;;;;;4S9RA39CM092;;;;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk1.jpg;;;BABY ORIGAMI DRESS;65% VISCOSE 25% SILK 5% POLYAMIDE 5% POLYESTER;;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk1.jpg;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk2.jpg;;;;FR;;3083.47;20/06/14;31/12/50;1542.15;;1;;;1;3083.47;925.62;
admin;base;1;configurable;Default;talla,color;1,1,6;4S9RA39CM092-orderbyrequest2;4S9RA39CM09236NOIR,4S9RA39CM09238NOIR;Habilitado;Catálogo, Búsqueda;;VESTIDO ORIGAMI BABY;VESTIDO ORIGAMI BABY;;;IVA AL 21%;1;1;6;;PV14C;Invisible;;;;;;;;4S9RA39CM092;;;;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk.jpg;;;BABY ORIGAMI DRESS;65% VISCOSE 25% SILK 5% POLYAMIDE 5% POLYESTER;;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk1.jpg;/media/import/fotosweb/alaia/141/vestidoorigamibabyblk2.jpg;;;;FR;;3083.47;20/06/14;31/12/50;1542.15;;1;;;1;3083.47;925.62;
admin;base;1;configurable;Default;talla,color;1,1,7;4W9JA65CM122-orderbyrequest;4W9JA65CM12238C999NOIR,4W9JA65CM12240C999NOIR;Habilitado;Catálogo, Búsqueda;;FALDA FESTON ZIG ZAG;FALDA FESTON ZIG ZAG;;;IVA AL 21%;1;1;7;;OI14C;Invisible;;;;;;;;4W9JA65CM122;;;;/media/import/fotosweb/alaia/142/alaia01_2.jpg;;;ZIGZAG GARLAND SKIRT;100% SILK;;/media/import/fotosweb/alaia/142/alaia01_1.jpg;/media/import/fotosweb/alaia/142/alaia01_2.jpg;;;;IT;;1494.21;09/01/15;31/12/50;747.11;;1;;;1;1494.21;448.76;
admin;base;1;configurable;Default;talla,color;1,1,7;4W9JA65CM122-orderbyrequest;4W9JA65CM12238C999NOIR,4W9JA65CM12240C999NOIR;Habilitado;Catálogo, Búsqueda;;FALDA FESTON ZIG ZAG;FALDA FESTON ZIG ZAG;;;IVA AL 21%;1;1;7;;OI14C;Invisible;;;;;;;;4W9JA65CM122;;;;/media/import/fotosweb/alaia/142/alaia01_1.jpg;;;ZIGZAG GARLAND SKIRT;100% SILK;;/media/import/fotosweb/alaia/142/alaia01_1.jpg;/media/import/fotosweb/alaia/142/alaia01_2.jpg;;;;IT;;1494.21;09/01/15;31/12/50;747.11;;1;;;1;1494.21;448.76;
admin;base;1;configurable;Default;talla,color;1,1,7;4W9JA65CM122-orderbyrequest;4W9JA65CM12238C999NOIR,4W9JA65CM12240C999NOIR;Habilitado;Catálogo, Búsqueda;;FALDA FESTON ZIG ZAG;FALDA FESTON ZIG ZAG;;;IVA AL 21%;1;1;7;;OI14C;Invisible;;;;;;;;4W9JA65CM122;;;;/media/import/fotosweb/alaia/142/alaia01_0.jpg;;;ZIGZAG GARLAND SKIRT;100% SILK;;/media/import/fotosweb/alaia/142/alaia01_1.jpg;/media/import/fotosweb/alaia/142/alaia01_2.jpg;;;;IT;;1494.21;09/01/15;31/12/50;747.11;;1;;;1;1494.21;448.76;
admin;base;1;configurable;Default;talla,color;1,1,7;4W9JA65CM122-orderbyrequest2;4W9JA65CM12240C370GRENAT;Habilitado;Catálogo, Búsqueda;;FALDA FESTON ZIG ZAG;FALDA FESTON ZIG ZAG;;;IVA AL 21%;1;1;7;;OI14C;Invisible;;;;;;;;4W9JA65CM122;;;;/media/import/fotosweb/alaia/142/alaia014_2.jpg;;;ZIGZAG GARLAND SKIRT;100% SILK;;/media/import/fotosweb/alaia/142/alaia014_1.jpg;/media/import/fotosweb/alaia/142/alaia014_2.jpg;;;;IT;;1494.21;09/01/15;31/12/50;747.11;;1;;;1;1494.21;448.76;
