store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM;repetidos
admin;base;1;configurable;Default;talla,color;1,5,4;A91998401606;A91998401606UNICAGOLD;Habilitado;Catálogo, Búsqueda;;BEAR CLIP-ON EARRINGS;BEAR CLIP-ON EARRINGS;;;IVA AL 21%;1;5;4;;OI15R;MOSCHINO;;;;;;;152;A91998401606;;;;;;;BEAR CLIP-ON EARRINGS;100% Metal (Other);;/media/import/fotosweb/moschino/152/moschino-152-006_1.jpg;;;SLOT ASOCIADO 80;;OS;;86.78;30/12/99;30/12/99;.00;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;1,1,3;A090291001555;A09029100155538BLACK,A09029100155540BLACK,A09029100155542BLACK;Habilitado;Catálogo, Búsqueda;;BEAR-MOTIF CROPPED JUMPER;BEAR-MOTIF CROPPED JUMPER;;;IVA AL 21%;1;1;3;;OI15R;MOSCHINO;;;;;;;152;A090291001555;;;;/media/import/fotosweb/moschino/152/moschino-152-013_2.jpg;;;BEAR-MOTIF CROPPED JUMPER;100% Wool;;/media/import/fotosweb/moschino/152/moschino-152-013_1.jpg;/media/import/fotosweb/moschino/152/moschino-152-013_2.jpg;;SLOT ASOCIADO 80;;IT;;297.52;30/12/99;30/12/99;.00;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;1,1,7;A018091001555;A01809100155538BLACK,A01809100155540BLACK;Habilitado;Catálogo, Búsqueda;;BEAR-MOTIF SHORT SKIRT;BEAR-MOTIF SHORT SKIRT;;;IVA AL 21%;1;1;7;;OI15R;MOSCHINO;;;;;;;152;A018091001555;;;;/media/import/fotosweb/moschino/152/moschino-152-007_2.jpg;;;BEAR-MOTIF SHORT SKIRT;100% Wool;;/media/import/fotosweb/moschino/152/moschino-152-007_1.jpg;/media/import/fotosweb/moschino/152/moschino-152-007_2.jpg;;SLOT ASOCIADO 80;;OS;;227.27;30/12/99;30/12/99;.00;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;1,1,6;A048191001555;A04819100155538BLACK,A04819100155540BLACK;Habilitado;Catálogo, Búsqueda;;BEAR-MOTIF KNITTED WOOL DRESS;BEAR-MOTIF KNITTED WOOL DRESS;;;IVA AL 21%;1;1;6;;OI15R;MOSCHINO;;;;;;;152;A048191001555;;;;/media/import/fotosweb/moschino/152/moschino-152-012_2.jpg;;;BEAR-MOTIF KNITTED WOOL DRESS;100% Wool;;/media/import/fotosweb/moschino/152/moschino-152-012_1.jpg;/media/import/fotosweb/moschino/152/moschino-152-012_2.jpg;;;;OS;;364.46;;;;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;1,1,3;A090191001555;A090191001555SBLACK,A090191001555XSBLACK;Habilitado;Catálogo, Búsqueda;;BEAR-MOTIF WOOL JUMPER;BEAR-MOTIF WOOL JUMPER;;;IVA AL 21%;1;1;3;;OI15R;MOSCHINO;;;;;;;152;A090191001555;;;;/media/import/fotosweb/moschino/152/moschino-152-008_2.jpg;;;BEAR-MOTIF WOOL JUMPER;100% Wool;;/media/import/fotosweb/moschino/152/moschino-152-008_1.jpg;/media/import/fotosweb/moschino/152/moschino-152-008_2.jpg;;SLOT ASOCIADO 80;;STANDARD;;388.43;30/12/99;30/12/99;.00;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;1,1,3;A090391001130;A090391001130MMULTI,A090391001130SMULTI,A090391001130XSMULTI;Habilitado;Catálogo, Búsqueda;;LOGO-MOTIF WOOL JUMPER;LOGO-MOTIF WOOL JUMPER;;;IVA AL 21%;1;1;3;;OI15R;MOSCHINO;;;;;;;152;A090391001130;;;;/media/import/fotosweb/moschino/152/moschino-152-009_2.jpg;;;LOGO-MOTIF WOOL JUMPER;100% Wool;;/media/import/fotosweb/moschino/152/moschino-152-009_1.jpg;/media/import/fotosweb/moschino/152/moschino-152-009_2.jpg;;SLOT ASOCIADO 80;;STANDARD;;347.11;30/12/99;30/12/99;.00;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;1,1,2;A070191401002;A070191401002LWHITE,A070191401002MWHITE,A070191401002SWHITE,A070191401002XSWHITE;Habilitado;Catálogo, Búsqueda;;BEAR PRINT JERSEY TSHIRT;BEAR PRINT JERSEY TSHIRT;;;IVA AL 21%;1;1;2;;OI15R;MOSCHINO;;;;;;;152;A070191401002;;;;/media/import/fotosweb/moschino/152/moschino-152-010_2.jpg;;;BEAR PRINT JERSEY TSHIRT;100% Cotton;;/media/import/fotosweb/moschino/152/moschino-152-010_1.jpg;/media/import/fotosweb/moschino/152/moschino-152-010_2.jpg;;SLOT ASOCIADO 80;;STANDARD;;128.10;30/12/99;30/12/99;.00;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;1,1,6;A040191401888;A040191401888MMULTI,A040191401888SMULTI,A040191401888XSMULTI;Habilitado;Catálogo, Búsqueda;;PERFUME PRINT JERSEY DRESS;PERFUME PRINT JERSEY DRESS;;;IVA AL 21%;1;1;6;;OI15R;MOSCHINO;;;;;;;152;A040191401888;;;;/media/import/fotosweb/moschino/152/moschino-152-011_2.jpg;;;PERFUME PRINT JERSEY DRESS;100% Cotton;;/media/import/fotosweb/moschino/152/moschino-152-011_1.jpg;/media/import/fotosweb/moschino/152/moschino-152-011_2.jpg;;;;STANDARD;;272.73;;;;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;2,3,1;SU5438VBQG41O;SU5438VBQG41O44BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKER BARROCO;SNEAKER BARROCO;;;IVA AL 21%;2;3;1;;PV15C;VERSACE;;;;;;;151;SU5438VBQG41O;;;;;;;BAROQUE SNEAKERS;100% Leather;;;;;;;IT;;628.10;15/06/15;31/12/50;439.67;;1;;;1;;;;1
admin;base;1;configurable;Default;talla,color;4,3,1;VE2159B 125213;VE2159B 125213UNICAGLD/HAVANA;Habilitado;Catálogo, Búsqueda;;GAFAS VERSACE BROWN GRADIENT;GAFAS VERSACE BROWN GRADIENT;;;IVA AL 21%;4;3;1;;ANUAL;VERSACE;;;;;;;1000;VE2159B 125213;;;;/media/import/fotosweb/versace/151/versace-411_2.jpg;;;VERSACE BROWN GRADIENT SUNGLASSES;;;/media/import/fotosweb/versace/151/versace-411_1.jpg;/media/import/fotosweb/versace/151/versace-411_2.jpg;;;;STANDARD;;206.61;30/12/99;30/12/99;.00;;1;;;1;;;;1
