store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;375306BPT0N4300UNICAULTRAMARIN;;Habilitado;Not Visible Individually;111181;BOLSO PADLOCK SMALL ZIP BLUE;BOLSO PADLOCK SMALL ZIP BLUE;;;IVA AL 21%;1;4;1;;PV15P;ALEXANDER MCQUEEN;UNICA;ULTRAMARIN;1111811;;;;151;375306BPT0N4300;;F;01/01/99;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_0.jpg;;;PADLOCK ZIP SMALL BAG;100% Calf Leather;Alto: 	23	cm<br/>Ancho: 	30	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_1.jpg;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_2.jpg;Height: 	23	cm<br/>Width: 	30	cm<br/>Depth: 	16	cm;;F;OS;4;799.17;30/12/99;30/12/99;.00;2.00;1;20/05/15;19/06/15;1;;;1428295903
admin;base;1;configurable;Default;talla,color;1,4,1;375306BPT0N4300;375306BPT0N4300UNICAULTRAMARIN;Habilitado;Catálogo, Búsqueda;;BOLSO PADLOCK SMALL ZIP BLUE;BOLSO PADLOCK SMALL ZIP BLUE;;;IVA AL 21%;1;4;1;;PV15P;ALEXANDER MCQUEEN;;;;;;;151;375306BPT0N4300;;;;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_2.jpg;;;PADLOCK ZIP SMALL BAG;100% Calf Leather;Alto: 	23	cm<br/>Ancho: 	30	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_1.jpg;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_2.jpg;Height: 	23	cm<br/>Width: 	30	cm<br/>Depth: 	16	cm;;;OS;;799.17;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;375306BPT0N4300;375306BPT0N4300UNICAULTRAMARIN;Habilitado;Catálogo, Búsqueda;;BOLSO PADLOCK SMALL ZIP BLUE;BOLSO PADLOCK SMALL ZIP BLUE;;;IVA AL 21%;1;4;1;;PV15P;ALEXANDER MCQUEEN;;;;;;;151;375306BPT0N4300;;;;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_1.jpg;;;PADLOCK ZIP SMALL BAG;100% Calf Leather;Alto: 	23	cm<br/>Ancho: 	30	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_1.jpg;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_2.jpg;Height: 	23	cm<br/>Width: 	30	cm<br/>Depth: 	16	cm;;;OS;;799.17;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;375306BPT0N4300;375306BPT0N4300UNICAULTRAMARIN;Habilitado;Catálogo, Búsqueda;;BOLSO PADLOCK SMALL ZIP BLUE;BOLSO PADLOCK SMALL ZIP BLUE;;;IVA AL 21%;1;4;1;;PV15P;ALEXANDER MCQUEEN;;;;;;;151;375306BPT0N4300;;;;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_0.jpg;;;PADLOCK ZIP SMALL BAG;100% Calf Leather;Alto: 	23	cm<br/>Ancho: 	30	cm<br/>Fondo: 	16	cm;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_1.jpg;/media/import/fotosweb/a_mcqueen/151/a_mcqueen-039_2.jpg;Height: 	23	cm<br/>Width: 	30	cm<br/>Depth: 	16	cm;;;OS;;799.17;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;0;simple;Default;;;3XA04374140100240WHITE;;Habilitado;Not Visible Individually;111332;VESTIDO PRINT BARBIE;VESTIDO PRINT BARBIE;;-1;IVA AL 21%;1;1;6;;PV15P;MOSCHINO;40;WHITE;1113322;;;;151;3XA043741401002;;F;01/01/99;/media/import/fotosweb/moschino/151/moschino008_0.jpg;;;BARBIE PRINT DRESS;100% Cotton;;/media/import/fotosweb/moschino/151/moschino008_1.jpg;/media/import/fotosweb/moschino/151/moschino008_2.jpg;;SLOT ASOCIADO 55;F;IT;4;227.27;15/06/15;31/12/50;136.36;.00;1;26/09/14;26/10/14;1;;;2050240112
admin;base;1;configurable;Default;talla,color;1,1,6;3XA043741401002;3XA04374140100240WHITE;Habilitado;Catálogo, Búsqueda;;VESTIDO PRINT BARBIE;VESTIDO PRINT BARBIE;;;IVA AL 21%;1;1;6;;PV15P;MOSCHINO;;;;;;;151;3XA043741401002;;;;/media/import/fotosweb/moschino/151/moschino008_2.jpg;;;BARBIE PRINT DRESS;100% Cotton;;/media/import/fotosweb/moschino/151/moschino008_1.jpg;/media/import/fotosweb/moschino/151/moschino008_2.jpg;;SLOT ASOCIADO 55;;IT;;227.27;15/06/15;31/12/50;136.36;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,6;3XA043741401002;3XA04374140100240WHITE;Habilitado;Catálogo, Búsqueda;;VESTIDO PRINT BARBIE;VESTIDO PRINT BARBIE;;;IVA AL 21%;1;1;6;;PV15P;MOSCHINO;;;;;;;151;3XA043741401002;;;;/media/import/fotosweb/moschino/151/moschino008_1.jpg;;;BARBIE PRINT DRESS;100% Cotton;;/media/import/fotosweb/moschino/151/moschino008_1.jpg;/media/import/fotosweb/moschino/151/moschino008_2.jpg;;SLOT ASOCIADO 55;;IT;;227.27;15/06/15;31/12/50;136.36;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,6;3XA043741401002;3XA04374140100240WHITE;Habilitado;Catálogo, Búsqueda;;VESTIDO PRINT BARBIE;VESTIDO PRINT BARBIE;;;IVA AL 21%;1;1;6;;PV15P;MOSCHINO;;;;;;;151;3XA043741401002;;;;/media/import/fotosweb/moschino/151/moschino008_0.jpg;;;BARBIE PRINT DRESS;100% Cotton;;/media/import/fotosweb/moschino/151/moschino008_1.jpg;/media/import/fotosweb/moschino/151/moschino008_2.jpg;;SLOT ASOCIADO 55;;IT;;227.27;15/06/15;31/12/50;136.36;;1;;;1;;;
admin;base;0;simple;Default;;;BB05046671001UNICABLACK;;Habilitado;Not Visible Individually;112115;BOLSO NIGHTINGALE ZIP;BOLSO NIGHTINGALE ZIP;;-1;IVA AL 21%;1;4;1;;PV15P;GIVENCHY;UNICA;BLACK;1121151;;;;151;BB05046671001;;F;01/01/99;/media/import/fotosweb/givenchy/151/givenchy-065_0.jpg;;;NIGHTINGALE ZIP BAG;100% Calf Leather;Alto: 32 cm<br/>Ancho: 42 cm<br/>Fondo: 18 cm;/media/import/fotosweb/givenchy/151/givenchy-065_1.jpg;/media/import/fotosweb/givenchy/151/givenchy-065_2.jpg;Height: 32 cm<br/>Width: 42 cm<br/>Depth: 18 cm  ;SLOT ASOCIADO 77;F;OS;4;1561.98;15/06/15;31/12/50;937.19;.00;1;13/02/15;15/03/15;1;;;-510465729
admin;base;1;configurable;Default;talla,color;1,4,1;BB05046671001;BB05046671001UNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO NIGHTINGALE ZIP;BOLSO NIGHTINGALE ZIP;;;IVA AL 21%;1;4;1;;PV15P;GIVENCHY;;;;;;;151;BB05046671001;;;;/media/import/fotosweb/givenchy/151/givenchy-065_2.jpg;;;NIGHTINGALE ZIP BAG;100% Calf Leather;Alto: 32 cm<br/>Ancho: 42 cm<br/>Fondo: 18 cm;/media/import/fotosweb/givenchy/151/givenchy-065_1.jpg;/media/import/fotosweb/givenchy/151/givenchy-065_2.jpg;Height: 32 cm<br/>Width: 42 cm<br/>Depth: 18 cm  ;SLOT ASOCIADO 77;;OS;;1561.98;15/06/15;31/12/50;937.19;;1;;;1;;;
