store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;1,4,1;BG026LEBLACK;BG026LEBLACKUNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO MINI TOTE;BOLSO MINI TOTE;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;;152;BG026LEBLACK;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-003_2.jpg;;;MINI TOTE BAG;100% Calf Leather;Alto: 	27	cm<br/>Ancho: 	32	cm<br/>Fondo: 	8	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-003_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-003_2.jpg;Height: 	27	cm<br/>Width: 	32	cm<br/>Depth: 	8	cm<br/><br/>Mini Albion Leather Tote WYWH<br/>· Top handles and adjustable, detachable shoulder strap<br/>· Open top<br/>· Internal slip pocket<br/>· Signature gold-tone hardware, “Wish You Were Here” charm<br/>· Comes with dust bag<br/>· Made in Hungary;SLOT 136;;OS;;644.63;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG151PLEMULTI;BG151PLEMULTIUNICAMULTI;Habilitado;Catálogo, Búsqueda;;BOLSO SQUARE TURISTA MONTAÑAS;BOLSO SQUARE TURISTA MONTAÑAS;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;;152;BG151PLEMULTI;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-008_2.jpg;;;TOURIST IN MOUNTAIN SQUARE BAG;100% Calf Leather;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-008_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-008_2.jpg;;;;OS;;630.58;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG151CLEFUCHSIA;BG151CLEFUCHSIAUNICAFUCHSIARED;Habilitado;Catálogo, Búsqueda;;BOLSO TOTE SQUARE BICOLOR;BOLSO TOTE SQUARE BICOLOR;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;;152;BG151CLEFUCHSIA;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-009_2.jpg;;;TWO TONE SQUARE TOTE BAG;100% Calf Leather;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-009_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-009_2.jpg;;SLOT 136;;OS;;569.42;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG047PLEMULTI;BG047PLEMULTIUNICAMULTI;Habilitado;Catálogo, Búsqueda;;BOLSO TOTE TURISTAS MONTAÑAS;BOLSO TOTE TURISTAS MONTAÑAS;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;;152;BG047PLEMULTI;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-010_2.jpg;;;TOURIST IN MOUNTAIN TOTE BAG;100% Calf Leather;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-010_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-010_2.jpg;;SLOT 136;;OS;;927.27;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG070LEFRENCHNA;BG070LEFRENCHNAUNICAFRENCHNAVY;Habilitado;Catálogo, Búsqueda;;BOLSO TOTE BOX;BOLSO TOTE BOX;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;;152;BG070LEFRENCHNA;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-004_2.jpg;;;BOX TOTE BAG;100% Calf Leather;Alto: 	19	cm<br/>Ancho: 	15	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-004_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-004_2.jpg;Height: 	19	cm<br/>Width: 	15	cm<br/>Depth: 	9	cm<br/><br/>Box Albion Tote<br/>· Saddle leather in French Navy<br/>· Top handles and adjustable, detachable shoulder strap<br/>· Zip top<br/>· Internal slip pocket<br/>· Signature gold-tone hardware and “Wish You Were Here” charm<br/>· Comes with dust bag<br/>· Made in Spain;SLOT 136;;OS;;447.11;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG070LEBOXBLACK;BG070LEBOXBLACKUNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO TOTE BOX;BOLSO TOTE BOX;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;;152;BG070LEBOXBLACK;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-005_2.jpg;;;BOX TOTE BAG;100% Calf Leather;Alto: 	19	cm<br/>Ancho: 	15	cm<br/>Fondo: 	9	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-005_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-005_2.jpg;Height: 	19	cm<br/>Width: 	15	cm<br/>Depth: 	9	cm<br/><br/>Box Albion Tote<br/>· Saddle leather in Black<br/>· Top handles and adjustable, detachable shoulder strap<br/>· Zip top<br/>· Internal slip pocket<br/>· Signature gold-tone hardware and “Wish You Were Here” charm<br/>· Comes with dust bag<br/>· Made in Spain;SLOT 136;;OS;;447.11;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,3,2;AJ720BURGUNDYWH;AJ720BURGUNDYWH37BURGUNDYWH,AJ720BURGUNDYWH39BURGUNDYWH,AJ720BURGUNDYWH38BURGUNDYWH,AJ720BURGUNDYWH40BURGUNDYWH;Habilitado;Catálogo, Búsqueda;;BOTINES TEX MEX BICOLOR;BOTINES TEX MEX BICOLOR;;;IVA AL 21%;1;3;2;;OI15P;TOGA PULLA;;;;;;;152;AJ720BURGUNDYWH;;;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-001_2.jpg;;;TWO TONE TEX MEX ANKLE BOOTS;100% Leather;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-001_1.jpg;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-001_2.jpg;;SLOT 140;;IT;;371.90;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,3,2;AJ720BLACKWHITE;AJ720BLACKWHITE37BLACKWHITE,AJ720BLACKWHITE40BLACKWHITE,AJ720BLACKWHITE36BLACKWHITE,AJ720BLACKWHITE38BLACKWHITE,AJ720BLACKWHITE39BLACKWHITE;Habilitado;Catálogo, Búsqueda;;BOTINES TEX MEX OPTICAL;BOTINES TEX MEX OPTICAL;;;IVA AL 21%;1;3;2;;OI15P;TOGA PULLA;;;;;;;152;AJ720BLACKWHITE;;;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-002_2.jpg;;;OPTICAL TEX MEX ANKLE BOOTS;100% Leather;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-002_1.jpg;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-002_2.jpg;;SLOT 140;;IT;;371.90;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,3,1;AJ724WHITE;AJ724WHITE37WHITE,AJ724WHITE39WHITE,AJ724WHITE38WHITE,AJ724WHITE40WHITE;Habilitado;Catálogo, Búsqueda;;SNEAKERS HEBILLAS TEXMEX;SNEAKERS HEBILLAS TEXMEX;;;IVA AL 21%;1;3;1;;OI15P;TOGA PULLA;;;;;;;152;AJ724WHITE;;;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-003_2.jpg;;;TEX MEX BUCKLES SNEAKERS;100% Leather;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-003_1.jpg;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-003_2.jpg;;SLOT 140;;IT;;285.12;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,3,1;AJ724BURGUNDY;AJ724BURGUNDY38BURGUNDY,AJ724BURGUNDY39BURGUNDY,AJ724BURGUNDY40BURGUNDY,AJ724BURGUNDY37BURGUNDY;Habilitado;Catálogo, Búsqueda;;SNEAKERS HEBILLAS TEXMEX;SNEAKERS HEBILLAS TEXMEX;;;IVA AL 21%;1;3;1;;OI15P;TOGA PULLA;;;;;;;152;AJ724BURGUNDY;;;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-004_2.jpg;;;TEX MEX BUCKLES SNEAKERS;100% Leather;;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-004_1.jpg;/media/import/fotosweb/toga_pulla/152/toga_pulla_152-004_2.jpg;;SLOT 140;;IT;;285.12;;;;;1;;;1;;;
