store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;SX2006UNICAUNICO;;Habilitado;Not Visible Individually;108634;COLLAR ROBOT STAR;COLLAR ROBOT STAR;;;IVA AL 21%;1;5;5;;ANUAL;77TH;UNICA;UNICO;1086341;;;;1000;SX2006;;T;01/01/99;/media/import/fotosweb/77th/1000/77th01_0.jpg;;;THE ROBOT STAR NECKLACE;;;;;;;F;STANDARD;4;207.44;24/07/15;30/12/50;104.13;3.00;1;03/09/14;03/10/14;1;207.44;104.13;-66121143
admin;base;0;simple;Default;;;SX2007UNICAUNICO;;Habilitado;Not Visible Individually;108635;COLLAR KITCHEN ROBOT;COLLAR KITCHEN ROBOT;;;IVA AL 21%;1;5;5;;ANUAL;77TH;UNICA;UNICO;1086351;;;;1000;SX2007;;T;01/01/99;/media/import/fotosweb/77th/1000/77th02_0.jpg;;;THE KITCHEN ROBOT NECKLACE;;;/media/import/fotosweb/77th/1000/77th02_1.jpg;;;;F;STANDARD;4;207.44;24/07/15;30/12/50;104.13;3.00;1;03/09/14;03/10/14;1;207.44;104.13;-857254440
admin;base;0;simple;Default;;;SX2012UNICAUNICO;;Habilitado;Not Visible Individually;108636;COLLAR TWIGGY FACE;COLLAR TWIGGY FACE;;;IVA AL 21%;1;5;5;;ANUAL;77TH;UNICA;UNICO;1086361;;;;1000;SX2012;;T;01/01/99;/media/import/fotosweb/77th/1000/77th03_0.jpg;;;THE TWIGGY FACE NECKLACE;100% Metal (Other);;;;;;F;OS;4;145.45;24/07/15;30/12/50;72.73;3.00;1;03/09/14;03/10/14;1;145.45;72.73;-632894795
admin;base;0;simple;Default;;;SX2015UNICAUNICO;;Habilitado;Not Visible Individually;108638;COLLAR HAPPY MEAL;COLLAR HAPPY MEAL;;;IVA AL 21%;1;5;5;;ANUAL;77TH;UNICA;UNICO;1086381;;;;1000;SX2015;;T;01/01/99;/media/import/fotosweb/77th/1000/77th05_0.jpg;;;HAPPY MEAL NECKLACE;;;;;;;F;STANDARD;4;280.99;24/07/15;30/12/50;140.50;1.00;1;03/09/14;03/10/14;1;280.99;140.50;-1249542401
admin;base;0;simple;Default;;;SX3007UNICAUNICO;;Habilitado;Not Visible Individually;108640;PENDIENTES ROBOT STAR ;PENDIENTES ROBOT STAR ;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086401;;;;1000;SX3007;;T;01/01/99;/media/import/fotosweb/77th/1000/77th06_0.jpg;;;THE ROBOT STAR EARRINGS;;;;;;;F;STANDARD;4;165.29;24/07/15;30/12/50;82.64;4.00;1;03/09/14;03/10/14;1;165.29;82.64;-341760033
admin;base;0;simple;Default;;;SX3014 REDUNICAUNICO;;Habilitado;Not Visible Individually;108642;PENDIENTES MADAME FLOWER;PENDIENTES MADAME FLOWER;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086421;;;;1000;SX3014 RED;;T;01/01/99;/media/import/fotosweb/77th/1000/77th07_0.jpg;;;THE MADAME FLOWER EARRING;;;;;;;F;STANDARD;4;109.09;24/07/15;30/12/50;54.55;2.00;1;03/09/14;03/10/14;1;109.09;54.55;-439322255
admin;base;0;simple;Default;;;SX3016UNICAUNICO;;Habilitado;Not Visible Individually;108643;PENDIENTES TWIGGY EYES;PENDIENTES TWIGGY EYES;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086431;;;;1000;SX3016;;T;01/01/99;/media/import/fotosweb/77th/1000/77th08_0.jpg;;;THE TWIGGY EYES EARRINGS;;;;;;;F;STANDARD;4;102.48;24/07/15;30/12/50;51.24;5.00;1;03/09/14;03/10/14;1;102.48;51.24;-1023440709
admin;base;0;simple;Default;;;SX3020UNICAUNICO;;Habilitado;Not Visible Individually;108645;PENDIENTES 77TH COLA;PENDIENTES 77TH COLA;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086451;;;;1000;SX3020;;T;01/01/99;/media/import/fotosweb/77th/1000/77th09_0.jpg;;;THE 77TH COLA EARRINGS;;;;;;;F;STANDARD;4;73.55;24/07/15;30/12/50;37.19;3.00;1;03/09/14;03/10/14;1;73.55;37.19;-611377774
admin;base;0;simple;Default;;;SX3025UNICAUNICO;;Habilitado;Not Visible Individually;108648;PENDIENTES MARTINI;PENDIENTES MARTINI;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086481;;;;1000;SX3025;;T;01/01/99;/media/import/fotosweb/77th/1000/77th11_0.jpg;;;THE MARTINI EARRINGS;;;;;;;F;STANDARD;4;136.36;24/07/15;30/12/50;68.60;3.00;1;03/09/14;03/10/14;1;136.36;68.60;2376635
admin;base;0;simple;Default;;;SX3026UNICAUNICO;;Habilitado;Not Visible Individually;108646;PENDIENTES ROCKET;PENDIENTES ROCKET;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086461;;;;1000;SX3026;;T;01/01/99;/media/import/fotosweb/77th/1000/77th10_0.jpg;;;THE ROCKET EARRINGS;;;;;;;F;STANDARD;4;100.83;24/07/15;30/12/50;50.41;2.00;1;03/09/14;03/10/14;1;100.83;50.41;-1129985504
admin;base;0;simple;Default;;;SX3028 GREENUNICAUNICO;;Habilitado;Not Visible Individually;108651;PENDIENTES LOVE NEON;PENDIENTES LOVE NEON;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086511;;;;1000;SX3028 GREEN;;T;01/01/99;/media/import/fotosweb/77th/1000/77th13_0.jpg;;;;;;;;;;F;STANDARD;4;123.14;24/07/15;30/12/50;61.98;1.00;1;03/09/14;03/10/14;1;123.14;61.98;705685139
admin;base;0;simple;Default;;;SX3028 PINKUNICAUNICO;;Habilitado;Not Visible Individually;108650;PENDIENTES LOVE NEON;PENDIENTES LOVE NEON;;;IVA AL 21%;1;5;4;;ANUAL;77TH;UNICA;UNICO;1086501;;;;1000;SX3028 PINK;;T;01/01/99;/media/import/fotosweb/77th/1000/77th12_0.jpg;;;THE LOVE NEON EARRINGS;;;;;;;F;STANDARD;4;123.14;24/07/15;30/12/50;61.98;2.00;1;03/09/14;03/10/14;1;123.14;61.98;1373902352
admin;base;0;simple;Default;;;GAM94056V3916NAVY;;Habilitado;Not Visible Individually;108025;CAZADORA PAÑO MARINO;CAZADORA PAÑO MARINO;;-1;IVA AL 21%;2;1;6;;OI14C;ADD;56;V3916NAVY;1080251;;;;142;GAM940;;T;01/01/99;/media/import/fotosweb/add/142/add07_0.jpg;;;MARINE FELT JACKET;;;/media/import/fotosweb/add/142/add07_1.jpg;/media/import/fotosweb/add/142/add07_2.jpg;;;F;IT;4;409.09;09/01/15;31/12/50;204.96;1.00;1;11/08/14;10/09/14;1;409.09;204.96;1033949712
admin;base;0;simple;Default;;;ASM038SBUNICABLACK;;Habilitado;Not Visible Individually;104757;GORRA CHOMP 3.0;GORRA CHOMP 3.0;;;IVA AL 21%;1;2;2;;OI13C;ADEEN;UNICA;BLACK;1047571;;;;132;ASM038SB;;T;01/01/99;/media/import/fotosweb/adeen/141/gorra_chompgrey.jpg;;;CHOMP 3.0 CAP;;;/media/import/fotosweb/adeen/141/gorra_chompgrey1.jpg;;;;F;OS;4;161.16;27/11/14;30/12/50;80.99;1.00;1;08/08/13;07/09/13;1;161.16;80.99;1797193146
admin;base;0;simple;Default;;;B26270BLACK10BLACK;;Habilitado;Not Visible Individually;112731;SNEAKERS LLAMAS LED ;SNEAKERS LLAMAS LED ;;;IVA AL 21%;2;3;1;;PV15C;ADIDAS BY JEREMY SCOTT;10;BLACK;11273130;;;;151;B26270BLACK;;T;01/01/99;/media/import/fotosweb/adidas/151/adidas-055_0.jpg;;;LED FLAMES SNEAKERS ;50% Leather, 50% Acrylic;;/media/import/fotosweb/adidas/151/adidas-055_1.jpg;/media/import/fotosweb/adidas/151/adidas-055_2.jpg;;;F;UK;4;206.61;30/12/99;30/12/99;.00;1.00;1;04/06/15;04/07/15;1;206.61;61.98;1566789653
admin;base;0;simple;Default;;;B26270BLACK11BLACK;;Habilitado;Not Visible Individually;112731;SNEAKERS LLAMAS LED ;SNEAKERS LLAMAS LED ;;;IVA AL 21%;2;3;1;;PV15C;ADIDAS BY JEREMY SCOTT;11;BLACK;11273129;;;;151;B26270BLACK;;T;01/01/99;/media/import/fotosweb/adidas/151/adidas-055_0.jpg;;;LED FLAMES SNEAKERS ;50% Leather, 50% Acrylic;;/media/import/fotosweb/adidas/151/adidas-055_1.jpg;/media/import/fotosweb/adidas/151/adidas-055_2.jpg;;;F;UK;4;206.61;30/12/99;30/12/99;.00;1.00;1;04/06/15;04/07/15;1;206.61;61.98;1298354444
admin;base;0;simple;Default;;;B26270BLACK12BLACK;;Habilitado;Not Visible Individually;112731;SNEAKERS LLAMAS LED ;SNEAKERS LLAMAS LED ;;;IVA AL 21%;2;3;1;;PV15C;ADIDAS BY JEREMY SCOTT;12;BLACK;11273128;;;;151;B26270BLACK;;T;01/01/99;/media/import/fotosweb/adidas/151/adidas-055_0.jpg;;;LED FLAMES SNEAKERS ;50% Leather, 50% Acrylic;;/media/import/fotosweb/adidas/151/adidas-055_1.jpg;/media/import/fotosweb/adidas/151/adidas-055_2.jpg;;;F;UK;4;206.61;30/12/99;30/12/99;.00;1.00;1;04/06/15;04/07/15;1;206.61;61.98;2103661069
admin;base;0;simple;Default;;;B26270BLACK5BLACK;;Habilitado;Not Visible Individually;112731;SNEAKERS LLAMAS LED ;SNEAKERS LLAMAS LED ;;;IVA AL 21%;2;3;1;;PV15C;ADIDAS BY JEREMY SCOTT;5;BLACK;11273127;;;;151;B26270BLACK;;T;01/01/99;/media/import/fotosweb/adidas/151/adidas-055_0.jpg;;;LED FLAMES SNEAKERS ;50% Leather, 50% Acrylic;;/media/import/fotosweb/adidas/151/adidas-055_1.jpg;/media/import/fotosweb/adidas/151/adidas-055_2.jpg;;;F;UK;4;206.61;30/12/99;30/12/99;.00;1.00;1;04/06/15;04/07/15;1;206.61;61.98;1565181884
admin;base;0;simple;Default;;;M35684MULTI36MULTI;;Habilitado;Not Visible Individually;112745;VESTIDO LOLA DOBLE;VESTIDO LOLA DOBLE;;-1;IVA AL 21%;1;1;6;;PV15P;ADIDAS BY MARY KATRANTZOU;36;MULTI;1127452;;;;151;M35684MULTI;;T;01/01/99;/media/import/fotosweb/adidas/151/adidas-014_0.jpg;;;LOLA DOUBLE DRESS;100% Polyester;;/media/import/fotosweb/adidas/151/adidas-014_1.jpg;/media/import/fotosweb/adidas/151/adidas-014_2.jpg;;SLOT 114;F;IT;4;341.32;30/12/99;30/12/99;.00;1.00;1;08/01/15;07/02/15;1;341.32;102.48;-2035945372
