store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;1,1,7;SK04 AW14;SK04 AW1410BURGUNDY,SK04 AW1412BURGUNDY,SK04 AW148BURGUNDY;Habilitado;Catálogo, Búsqueda;;FALDA FLUIDA OLIVIA;FALDA FLUIDA OLIVIA;;;IVA AL 21%;1;1;7;;OI14P;PETER PILOTTO;;;;;;SEASONAL;142;SK04 AW14;;;;/media/import/fotosweb/peter_pilotto/142/peter_pilotto3_2.jpg;;;FLUID OLIVIA SKIRT;97% VISCOSE 3% ELASTANE;;/media/import/fotosweb/peter_pilotto/142/peter_pilotto3_1.jpg;/media/import/fotosweb/peter_pilotto/142/peter_pilotto3_2.jpg;;SLOT 78;;UK;;470.25;09/01/15;31/12/50;235.54;;1;;;1;470.25;94.21;
admin;base;1;configurable;Default;talla,color;1,1,7;SK05 AW14;SK05 AW1410CAMO PINK,SK05 AW146CAMO PINK,SK05 AW148CAMO PINK;Habilitado;Catálogo, Búsqueda;;FALDA CAMOPINK VUELO;FALDA CAMOPINK VUELO;;;IVA AL 21%;1;1;7;;OI14P;PETER PILOTTO;;;;;;SEASONAL;142;SK05 AW14;;;;/media/import/fotosweb/peter_pilotto/142/peter_pilotto5_2.jpg;;;CAMOPINK FLAIR DRESS;84% Silk, 16% Polyamide;;/media/import/fotosweb/peter_pilotto/142/peter_pilotto5_1.jpg;/media/import/fotosweb/peter_pilotto/142/peter_pilotto5_2.jpg;;SLOT ASOCIADO 36;;UK;;704.13;09/01/15;31/12/50;211.57;;1;;;1;704.13;141.32;
admin;base;1;configurable;Default;talla,color;1,1,7;SK17BLACK;SK17BLACK38BLACK,SK17BLACK40BLACK,SK17BLACK42BLACK,SK17BLACK44BLACK;Habilitado;Catálogo, Búsqueda;;FALDA EVASE APLICACIONES NAPA;FALDA EVASE APLICACIONES NAPA;;;IVA AL 21%;1;1;7;;PV15C;STEFANO DE LELLIS;;;;;;SEASONAL;151;SK17BLACK;;;;/media/import/fotosweb/stefano_de_lellis/151/stefano_de_lellis-002_2.jpg;;;EMBROIDERED NAPA  ROUND SKIRT;100% Leather;;/media/import/fotosweb/stefano_de_lellis/151/stefano_de_lellis-002_1.jpg;/media/import/fotosweb/stefano_de_lellis/151/stefano_de_lellis-002_2.jpg;;;;IT;;1101.65;15/06/15;31/12/50;661.16;;1;;;1;1101.65;330.58;
admin;base;1;configurable;Default;talla,color;1,1,7;SK18BLACK;SK18BLACK38BLACK,SK18BLACK40BLACK,SK18BLACK42BLACK,SK18BLACK44BLACK;Habilitado;Catálogo, Búsqueda;;FALDA CORTA APLICACIONES NAPA;FALDA CORTA APLICACIONES NAPA;;;IVA AL 21%;1;1;7;;PV15C;STEFANO DE LELLIS;;;;;;SEASONAL;151;SK18BLACK;;;;/media/import/fotosweb/stefano_de_lellis/151/stefano_de_lellis-001_2.jpg;;;EMBROIDERED NAPA SHORT SKIRT;100% Leather;;/media/import/fotosweb/stefano_de_lellis/151/stefano_de_lellis-001_1.jpg;/media/import/fotosweb/stefano_de_lellis/151/stefano_de_lellis-001_2.jpg;;;;IT;;643.80;15/06/15;31/12/50;386.78;;1;;;1;643.80;193.39;
admin;base;1;configurable;Default;talla,color;1,1,7;SK18BLACK0;SK18BLACK040BLACK,SK18BLACK042BLACK,SK18BLACK044BLACK,SK18BLACK046BLACK;Habilitado;Catálogo, Búsqueda;;FALDA BORDADOS VUELO CREPE;FALDA BORDADOS VUELO CREPE;;;IVA AL 21%;1;1;7;;OI15P;STEFANO DE LELLIS;;;;;;SEASONAL;152;SK18BLACK0;;;;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-005_2.jpg;;;EMBROIDERED FULL CREPE SKIRT;100% Wool;;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-005_1.jpg;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-005_2.jpg;;;;IT;;423.97;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,7;SK27WHITE;SK27WHITE40WHITE,SK27WHITE42WHITE,SK27WHITE44WHITE,SK27WHITE46WHITE;Habilitado;Catálogo, Búsqueda;;FALDA CORTA CREPE BORDADOS;FALDA CORTA CREPE BORDADOS;;;IVA AL 21%;1;1;7;;OI15P;STEFANO DE LELLIS;;;;;;SEASONAL;152;SK27WHITE;;;;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-008_2.jpg;;;EMBROIDERED SHORT CREPE SKIRT;100% Wool;;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-008_1.jpg;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-008_2.jpg;;;;IT;;382.64;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,7;SK41PBLACK;SK41PBLACK40BLACK,SK41PBLACK42BLACK,SK41PBLACK44BLACK;Habilitado;Catálogo, Búsqueda;;FALDA PIEL BORDADOS;FALDA PIEL BORDADOS;;;IVA AL 21%;1;1;7;;OI15P;STEFANO DE LELLIS;;;;;;SEASONAL;152;SK41PBLACK;;;;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-007_2.jpg;;;EMBROIDERED LEATHER SKIRT;100% Leather;;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-007_1.jpg;/media/import/fotosweb/stefano_de_lellis/152/stefano_de_lellis_152-007_2.jpg;;;;IT;;444.63;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,3,2;SKATE04;SKATE04UNICAUNICO;Habilitado;Catálogo, Búsqueda;;GAFAS WOODYS;GAFAS WOODYS;;;IVA AL 21%;4;3;2;;ANUAL;WOODYS;;;;;;PERMANENT;1000;SKATE04;;;;/media/import/fotosweb/woodys/1000/woodys_152-001_2.jpg;;;WOODYS SUNGLASSES;;;/media/import/fotosweb/woodys/1000/woodys_152-001_1.jpg;/media/import/fotosweb/woodys/1000/woodys_152-001_2.jpg;;;;OS;;112.40;30/12/99;30/12/99;.00;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,3,1;SKBD2BKIPAA1510;SKBD2BKIPAA151037BLACK,SKBD2BKIPAA151038BLACK,SKBD2BKIPAA151039BLACK,SKBD2BKIPAA151040BLACK,SKBD2BKIPAA151041BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKERS RUNNING PIEDRAS;SNEAKERS RUNNING PIEDRAS;;;IVA AL 21%;1;3;1;;OI15P;LANVIN;;;;;;SEASONAL;152;SKBD2BKIPAA1510;;;;/media/import/fotosweb/lanvin/152/lanvin_152-061_2.jpg;;;GEMS RUNNING SNEAKERS;40% Lamb Skin, 30% Goat Skin, 30% Sheep Skin/Shearling;;/media/import/fotosweb/lanvin/152/lanvin_152-061_1.jpg;/media/import/fotosweb/lanvin/152/lanvin_152-061_2.jpg;;SLOT 31258;;IT;;574.38;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,3,1;SKBD3BKAMAA1565;SKBD3BKAMAA156537NATBLACK,SKBD3BKAMAA156538NATBLACK,SKBD3BKAMAA156539NATBLACK;Habilitado;Catálogo, Búsqueda;;SNEAKERS LEOPARDO  ;SNEAKERS LEOPARDO  ;;;IVA AL 21%;1;3;1;;OI15P;LANVIN;;;;;;SEASONAL;152;SKBD3BKAMAA1565;;;;/media/import/fotosweb/lanvin/152/lanvin_152-060_2.jpg;;;LEOPARD SNEAKERS;50% Goat Skin, 50% Bos Taurus;;/media/import/fotosweb/lanvin/152/lanvin_152-060_1.jpg;/media/import/fotosweb/lanvin/152/lanvin_152-060_2.jpg;;SLOT 31258;;IT;;537.19;;;;;1;;;1;;;
