store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;4,1,6;JOSEPHINE FUME;JOSEPHINE FUMEUNICA.;Habilitado;Catálogo, Búsqueda;;BRAZALETE CAROLE BERREBI;BRAZALETE CAROLE BERREBI;;;IVA AL 21%;4;1;6;;ANUAL;CAROLE BERREBI;;;;;;PERMANENT;1000;JOSEPHINE FUME;;;;;;;CAROLE BERREBI BRACELET;;;/media/import/fotosweb/carole_berrebi/1000/caroleberrebi01_1.jpg;;;;;OS;;3140.50;01/01/05;31/12/50;1570.25;;1;;;1;3140.50;1570.25;
admin;base;1;configurable;Default;talla,color;4,1,6;TZARINE;TZARINEUNICA.;Habilitado;Catálogo, Búsqueda;;ANILLO CAROLE BERREBI;ANILLO CAROLE BERREBI;;;IVA AL 21%;4;1;6;;ANUAL;CAROLE BERREBI;;;;;;PERMANENT;1000;TZARINE;;;;/media/import/fotosweb/carole_berrebi/1000/caroleberrebi02_2.jpg;;;CAROLE BERREBI RING;;;/media/import/fotosweb/carole_berrebi/1000/caroleberrebi02_1.jpg;/media/import/fotosweb/carole_berrebi/1000/caroleberrebi02_2.jpg;;;;OS;;4793.39;14/05/09;31/12/50;2396.69;;1;;;1;4793.39;2396.69;
admin;base;1;configurable;Default;talla,color;4,1,1;AVGN50;AVGN50UNICAUNICO,AVGN50UNICAUNICO;Habilitado;Catálogo, Búsqueda;;SERIE 3  AVIGNON 50ml;SERIE 3  AVIGNON 50ml;;;IVA AL 21%;4;1;1;;ANUAL;CDG PARFUM;;;;;;PERMANENT;1000;AVGN50;;;;/media/import/fotosweb/cdg/1000/;;;SERIE 3 AVIGNON 50ml;;Powerful and intense, Avignon evokes the medieval city in the south of France which surpassed Rome as the Catholic Church's power center in the 14th century. It's the scent of gothic cathedrals and Papal palaces, of tapestries imbued with centuries of incense. Of cold marble steps, holy relics and dark confessions. The recognizable smells of frankincense and myrrh open the high mass of Avignon, giving way to the almost eye-smarting, gloriously smoky and resinous heart. A dry vanilla and soft Roman chamomile dull the edges of this reverent fragrance. Beautiful, dark and mysterious, Avignon takes its place among the most talked about and admired of CdG's entire line.;/media/import/fotosweb/cdg/1000/;/media/import/fotosweb/cdg/1000/;Powerful and intense, Avignon evokes the medieval city in the south of France which surpassed Rome as the Catholic Church's power center in the 14th century. It's the scent of gothic cathedrals and Papal palaces, of tapestries imbued with centuries of incense. Of cold marble steps, holy relics and dark confessions. The recognizable smells of frankincense and myrrh open the high mass of Avignon, giving way to the almost eye-smarting, gloriously smoky and resinous heart. A dry vanilla and soft Roman chamomile dull the edges of this reverent fragrance. Beautiful, dark and mysterious, Avignon takes its place among the most talked about and admired of CdG's entire line.;;;OS;;59.50;30/12/99;30/12/99;.00;;1;;;1;59.50;.00;
admin;base;1;configurable;Default;talla,color;2,3,1;10022;1002243BLACK,1002244BLACK;Habilitado;Catálogo, Búsqueda;;SNEAKERS HOLOGRAMA VELCRO;SNEAKERS HOLOGRAMA VELCRO;;;IVA AL 21%;2;3;1;;OI14C;JOSHUA SANDERS;;;;;;SEASONAL;142;10022;;;;/media/import/fotosweb/joshua_sanders/142/jsanders03_2.jpg;;;VELCRO HOLOGRAM SNEAKERS;100% CALF LEATHER - 100% RUBBER SOLE;;/media/import/fotosweb/joshua_sanders/142/jsanders02_1.jpg;/media/import/fotosweb/joshua_sanders/142/jsanders03_2.jpg;;SLOT 73;;IT;;264.46;09/01/15;31/12/50;132.23;;1;;;1;264.46;52.89;
admin;base;1;configurable;Default;talla,color;2,3,1;10024;1002439SILVER,1002440SILVER,1002441SILVER,1002442SILVER,1002443SILVER,1002444SILVER;Habilitado;Catálogo, Búsqueda;;SLIP ON PLATA METALIZADO;SLIP ON PLATA METALIZADO;;;IVA AL 21%;2;3;1;;OI14C;JOSHUA SANDERS;;;;;;SEASONAL;142;10024;;;;/media/import/fotosweb/joshua_sanders/142/jsanders15_2.jpg;;;SILVER METALLIC SLIP ON;100% Calf Leather;;/media/import/fotosweb/joshua_sanders/142/jsanders14_1.jpg;/media/import/fotosweb/joshua_sanders/142/jsanders15_2.jpg;;SLOT 73;;IT;;209.92;09/01/15;31/12/50;104.96;;1;;;1;209.92;42.15;
admin;base;1;configurable;Default;talla,color;1,1,6;CARLINA;CARLINA36PEARL,CARLINA38PEARL,CARLINA40PEARL;Habilitado;Catálogo, Búsqueda;;VESTIDO GATO CARLINA;VESTIDO GATO CARLINA;;;IVA AL 21%;1;1;6;;OI14P;MARIA LUCIA HOHAN;;;;;;SEASONAL;142;CARLINA;;;;/media/import/fotosweb/maria_lucia_hohan/142/vestido_gatocarlina2.jpg;;;CARLINA CAT DRESS;100% SILK TULLE;;/media/import/fotosweb/maria_lucia_hohan/142/vestido_gatocarlina1.jpg;/media/import/fotosweb/maria_lucia_hohan/142/vestido_gatocarlina2.jpg;;SLOT 92;;IT;;889.26;09/01/15;31/12/50;444.63;;1;;;1;889.26;178.51;
admin;base;1;configurable;Default;talla,color;1,1,6;ROSA*;ROSA*38OYSTER;Habilitado;Catálogo, Búsqueda;;VESTIDO MANGAS ROSA;VESTIDO MANGAS ROSA;;;IVA AL 21%;1;1;6;;OI14P;MARIA LUCIA HOHAN;;;;;;SEASONAL;142;ROSA*;;;;/media/import/fotosweb/maria_lucia_hohan/142/vestido_mangasrosa2.jpg;;;LONG SLEEVE ROSE DRESS;100% Silk;;/media/import/fotosweb/maria_lucia_hohan/142/vestido_mangasrosa1.jpg;/media/import/fotosweb/maria_lucia_hohan/142/vestido_mangasrosa2.jpg;;NO FOTO X TALLA;;IT;;909.92;09/01/15;31/12/50;455.37;;1;;;1;909.92;182.64;
admin;base;1;configurable;Default;talla,color;2,1,5;5099;509946MULTI,509948MULTI,509950MULTI,509952MULTI;Habilitado;Catálogo, Búsqueda;;PANTALON JOEL;PANTALON JOEL;;;IVA AL 21%;2;1;5;;OI13P;METRADAMO;;;;;;SEASONAL;132;5099;;;;/media/import/fotosweb/metradamo/132/metradamo-132-001_2.jpg;;;JOEL TROUSERS;71% Wool, 17% Cotton, 11% Polyamide, 1% Viscose;;/media/import/fotosweb/metradamo/132/metradamo-132-001_1.jpg;/media/import/fotosweb/metradamo/132/metradamo-132-001_2.jpg;;;;IT;;208.26;04/11/13;31/12/50;146.28;;1;;;1;208.26;42.15;
admin;base;1;configurable;Default;talla,color;4,3,;VE2146B 100187;VE2146B 100187UNICAUNICO;Habilitado;Catálogo, Búsqueda;;GAFAS VERSACE;GAFAS VERSACE;;;IVA AL 21%;4;3;;;ANUAL;VERSACE;;;;;;PERMANENT;1000;VE2146B 100187;;;;;;;VERSACE SUNGLASSES;;;/media/import/fotosweb/gafas/1000/ve2146b100187_1.jpg;;;SLOT 39;;OS;;196.69;30/12/99;30/12/99;.00;;1;;;1;196.69;.00;
admin;base;1;configurable;Default;talla,color;4,3,;VE4239 505811;VE4239 505811UNICAUNICO;Habilitado;Catálogo, Búsqueda;;GAFAS VERSACE;GAFAS VERSACE;;;IVA AL 21%;4;3;;;ANUAL;VERSACE;;;;;;PERMANENT;1000;VE4239 505811;;;;/media/import/fotosweb/versace/1000/versace_sunglases18_2.jpg;;;VERSACE SUNGLASSES;;;/media/import/fotosweb/versace/1000/versace_sunglases18_1.jpg;/media/import/fotosweb/versace/1000/versace_sunglases18_2.jpg;;SLOT 37;;OS;;145.45;30/12/99;30/12/99;.00;;1;;;1;145.45;.00;
