"store";"website";"has_options";"type";"attribute_set";"config_attributes";"category_ids";"sku";"associated";"status";"visibility";"codarticulo";"name";"description";"short_description";"codalternativo";"tax_class_id";"departamento";"seccion";"familia";"subfamilia";"temporada";"manufacturer";"talla";"color";"codbarras";"norma";"tacon";"composicion";"tipo";"refproveedor";"descatalogado";"visibleweb";"fechamodificado";"rutaimagen";"direccioninternet";"documentoasociado";"campo_uno";"campo_dos";"campo_tres";"campo_cuatro";"campo_cinco";"campo_seis";"campo_siete";"campo_ocho";"campo_nueve";"idtarifav";"price";"special_from_date";"special_to_date";"special_price";"qty";"is_in_stock";"news_from_date";"news_to_date";"weight";"stock_price";"special_stockprice";"CHECKSUM"
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,6";"S07426MULTI";"S07426MULTI32MULTI,S07426MULTI36MULTI,S07426MULTI40MULTI,S07426MULTI44MULTI";"Habilitado";"Catálogo, Búsqueda";;"VESTIDO LARGO TIKISPORT ";"VESTIDO LARGO TIKISPORT ";;;"IVA AL 21%";"1";"1";"6";;"PV15C";"ADIDAS BY MARY KATRANTZOU";;;;;;"SEASONAL";"151";"S07426MULTI";;;;"/media/import/fotosweb/adidas/152/adidas_152-015_2.jpg";;;"LONG TIKISPORT DRESS";"100% Organic Cotton";;"/media/import/fotosweb/adidas/152/adidas_152-015_1.jpg";"/media/import/fotosweb/adidas/152/adidas_152-015_2.jpg";;;;"IT";;"158.68";"30/12/99";"30/12/99";".00";;"1";;;"1";"158.68";"47.93";
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,6";"S07430MULTI";"S07430MULTI32MULTI,S07430MULTI36MULTI,S07430MULTI40MULTI,S07430MULTI44MULTI";"Habilitado";"Catálogo, Búsqueda";;"VESTIDO TWILL SALTADORAS";"VESTIDO TWILL SALTADORAS";;;"IVA AL 21%";"1";"1";"6";;"PV15C";"ADIDAS BY MARY KATRANTZOU";;;;;;"SEASONAL";"151";"S07430MULTI";;;;"/media/import/fotosweb/adidas/152/adidas_152-016_2.jpg";;;"DIVERS TWILL DRESS";"100% Organic Cotton";;"/media/import/fotosweb/adidas/152/adidas_152-016_1.jpg";"/media/import/fotosweb/adidas/152/adidas_152-016_2.jpg";;;;"IT";;"242.98";"05/08/15";"31/12/50";"72.73";;"1";;;"1";"242.98";"72.73";
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,6";"S07434MULTI";"S07434MULTI36MULTI,S07434MULTI40MULTI,S07434MULTI44MULTI";"Habilitado";"Catálogo, Búsqueda";;"VESTIDO PLISADO TIKISPORT";"VESTIDO PLISADO TIKISPORT";;;"IVA AL 21%";"1";"1";"6";;"PV15C";"ADIDAS BY MARY KATRANTZOU";;;;;;"SEASONAL";"151";"S07434MULTI";;;;"/media/import/fotosweb/adidas/152/adidas_152-017_2.jpg";;;"TIKISPORT PLEATS DRESS";"100% Organic Cotton";;"/media/import/fotosweb/adidas/152/adidas_152-017_1.jpg";"/media/import/fotosweb/adidas/152/adidas_152-017_2.jpg";;;;"IT";;"318.18";"05/08/15";"31/12/50";"95.87";;"1";;;"1";"318.18";"95.87";
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,4";"AA1336MULTI";"AA1336MULTI32MULTI,AA1336MULTI36MULTI,AA1336MULTI40MULTI";"Habilitado";"Catálogo, Búsqueda";;"CAZADORA TROPICAL";"CAZADORA TROPICAL";;;"IVA AL 21%";"1";"1";"4";;"PV15C";"ADIDAS BY MARY KATRANTZOU";;;;;;"SEASONAL";"151";"AA1336MULTI";;;;"/media/import/fotosweb/adidas/152/adidas_152-018_2.jpg";;;"TROPICAL JACKET";"100% Polyester";;"/media/import/fotosweb/adidas/152/adidas_152-018_1.jpg";"/media/import/fotosweb/adidas/152/adidas_152-018_2.jpg";;;;"IT";;"166.94";"05/08/15";"31/12/50";"50.41";;"1";;;"1";"166.94";"50.41";
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,5";"AA6387MULTI";"AA6387MULTI32MULTI,AA6387MULTI36MULTI,AA6387MULTI40MULTI";"Habilitado";"Catálogo, Búsqueda";;"SHORTS MONOGRAMA SALTADORAS";"SHORTS MONOGRAMA SALTADORAS";;;"IVA AL 21%";"1";"1";"5";;"PV15C";"ADIDAS BY MARY KATRANTZOU";;;;;;"SEASONAL";"151";"AA6387MULTI";;;;"/media/import/fotosweb/adidas/152/adidas_152-019_2.jpg";;;"MONOGRAM DIVER SHORTS";"100% Polyester";;"/media/import/fotosweb/adidas/152/adidas_152-019_1.jpg";"/media/import/fotosweb/adidas/152/adidas_152-019_2.jpg";;;;"IT";;"99.17";"30/12/99";"30/12/99";".00";;"1";;;"1";"99.17";"29.75";
"admin";"base";"1";"configurable";"Default";"talla,color";"1,3,5";"AF5338WHITE";"AF5338WHITE4WT/AQUA,AF5338WHITE5WT/AQUA,AF5338WHITE6WT/AQUA,AF5338WHITE7WT/AQUA";"Habilitado";"Catálogo, Búsqueda";;"CHANCLAS PLATAFORMAS GLITTER";"CHANCLAS PLATAFORMAS GLITTER";;;"IVA AL 21%";"1";"3";"5";;"PV15C";"ADIDAS BY MARY KATRANTZOU";;;;;;"SEASONAL";"151";"AF5338WHITE";;;;"/media/import/fotosweb/adidas/152/adidas_152-009_2.jpg";;;"GLITTER PLATFORMS FLIP FLOP";"100% Acrylic";;"/media/import/fotosweb/adidas/152/adidas_152-009_1.jpg";"/media/import/fotosweb/adidas/152/adidas_152-009_2.jpg";;;;"UK";;"61.98";"05/08/15";"31/12/50";"19.01";;"1";;;"1";"61.98";"19.01";
"admin";"base";"1";"configurable";"Default";"talla,color";"1,3,1";"AF5275BLACK";"AF5275BLACK4BLACK,AF5275BLACK4.5BLACK,AF5275BLACK5BLACK,AF5275BLACK5.5BLACK,AF5275BLACK6BLACK,AF5275BLACK6.5BLACK,AF5275BLACK7BLACK,AF5275BLACK7.5BLACK,AF5275BLACK8BLACK,AF5275BLACK8.5BLACK";"Habilitado";"Catálogo, Búsqueda";;"SNEAKERS ZX FLUX TROPICAL MARY";"SNEAKERS ZX FLUX TROPICAL MARY";;;"IVA AL 21%";"1";"3";"1";;"PV15C";"ADIDAS BY MARY KATRANTZOU";;;;;;"SEASONAL";"151";"AF5275BLACK";;;;"/media/import/fotosweb/adidas/152/adidas_152-010_2.jpg";;;"ZX FLUX TROPICAL MARY SNEAKERS";"100% Acrylic";;"/media/import/fotosweb/adidas/152/adidas_152-010_1.jpg";"/media/import/fotosweb/adidas/152/adidas_152-010_2.jpg";;;;;;"140.50";"05/08/15";"31/12/50";"42.15";;"1";;;"1";"140.50";"42.15";
"admin";"base";"1";"configurable";"Default";"talla,color";"1,1,2";"B85640SEAGLA";"B85640SEAGLALSEAGLA,B85640SEAGLAMSEAGLA,B85640SEAGLASSEAGLA,B85640SEAGLAXSSEAGLA";"Habilitado";"Catálogo, Búsqueda";;"T-SHIRT REPTIL MELODY EHSANI";"T-SHIRT REPTIL MELODY EHSANI";;;"IVA AL 21%";"1";"1";"2";;"PV15C";"REEBOK BY MELODY EHSANI";;;;;;"SEASONAL";"151";"B85640SEAGLA";;;;"/media/import/fotosweb/reebok/151/reebok-004_2.jpg";;;"MELODY EHSANI REPTIL T-SHIRT";"100% Cotton";;"/media/import/fotosweb/reebok/151/reebok-004_1.jpg";"/media/import/fotosweb/reebok/151/reebok-004_2.jpg";;;;;;"54.55";"15/06/15";"31/12/50";"27.27";;"1";;;"1";"54.55";"16.53";
"admin";"base";"1";"configurable";"Default";"talla,color";"4,1,6";"DAX4011A000SILV";"DAX4011A000SILVUNICASILVER";"Habilitado";"Catálogo, Búsqueda";;"COLLAR VERSACE";"COLLAR VERSACE";;;"IVA AL 21%";"4";"1";"6";;"ANUAL";"VERSACE";;;;;;"SEASONAL";"1000";"DAX4011A000SILV";;;;;;;"VERSACE NECKLACE";;;;;;;;;;"8657.85";"07/08/13";"31/12/50";"4328.93";;"1";;;"1";"8657.85";"4328.93";
"admin";"base";"1";"configurable";"Default";"talla,color";"4,1,6";"DAX4011A000GOLD";"DAX4011A000GOLDUNICAGOLD";"Habilitado";"Catálogo, Búsqueda";;"COLLAR VERSACE";"COLLAR VERSACE";;;"IVA AL 21%";"4";"1";"6";;"ANUAL";"VERSACE";;;;;;"SEASONAL";"1000";"DAX4011A000GOLD";;;;;;;"VERSACE NECKLACE";;;;;;;;;;"8657.85";"07/08/13";"31/12/50";"4328.93";;"1";;;"1";"8657.85";"4328.93";
