store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;228-UNICAUNICO;;Habilitado;Not Visible Individually;107835;COLLAR CHAQUETA TORERO;COLLAR CHAQUETA TORERO;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;UNICA;UNICO;1078351;;;SEASONAL;1000;228-;;F;01/01/99;/media/import/fotosweb/cisco_romero/1000/cisco_romero13_0.jpg;;;BULLFIGHTER JACKET NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero13_1.jpg;;;;F;OS;4;38.02;30/12/99;30/12/99;.00;.00;1;04/04/14;04/05/14;1;38.02;.00;-1556964990
admin;base;1;configurable;Default;talla,color;4,1,6;228-;228-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR CHAQUETA TORERO;COLLAR CHAQUETA TORERO;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;228-;;;;;;;BULLFIGHTER JACKET NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero13_1.jpg;;;;;OS;;38.02;30/12/99;30/12/99;.00;;1;;;1;38.02;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;228-;228-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR CHAQUETA TORERO;COLLAR CHAQUETA TORERO;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;228-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero13_1.jpg;;;BULLFIGHTER JACKET NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero13_1.jpg;;;;;OS;;38.02;30/12/99;30/12/99;.00;;1;;;1;38.02;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;228-;228-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR CHAQUETA TORERO;COLLAR CHAQUETA TORERO;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;228-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero13_0.jpg;;;BULLFIGHTER JACKET NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero13_1.jpg;;;;;OS;;38.02;30/12/99;30/12/99;.00;;1;;;1;38.02;.00;
admin;base;0;simple;Default;;;229-UNICAUNICO;;Habilitado;Not Visible Individually;107836;COLLAR FLAMENQUITA;COLLAR FLAMENQUITA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;UNICA;UNICO;1078361;;;SEASONAL;1000;229-;;F;01/01/99;/media/import/fotosweb/cisco_romero/1000/cisco_romero11_0.jpg;;;FLAMENQUITA NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero11_1.jpg;;;;F;OS;4;36.36;30/12/99;30/12/99;.00;.00;1;04/04/14;04/05/14;1;36.36;.00;1641270377
admin;base;1;configurable;Default;talla,color;4,1,6;229-;229-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR FLAMENQUITA;COLLAR FLAMENQUITA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;229-;;;;;;;FLAMENQUITA NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero11_1.jpg;;;;;OS;;36.36;30/12/99;30/12/99;.00;;1;;;1;36.36;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;229-;229-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR FLAMENQUITA;COLLAR FLAMENQUITA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;229-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero11_1.jpg;;;FLAMENQUITA NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero11_1.jpg;;;;;OS;;36.36;30/12/99;30/12/99;.00;;1;;;1;36.36;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;229-;229-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR FLAMENQUITA;COLLAR FLAMENQUITA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;229-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero11_0.jpg;;;FLAMENQUITA NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero11_1.jpg;;;;;OS;;36.36;30/12/99;30/12/99;.00;;1;;;1;36.36;.00;
admin;base;0;simple;Default;;;230-UNICAUNICO;;Habilitado;Not Visible Individually;107837;COLLAR BAILERINES;COLLAR BAILERINES;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;UNICA;UNICO;1078371;;;SEASONAL;1000;230-;;F;01/01/99;/media/import/fotosweb/cisco_romero/1000/cisco_romero10_0.jpg;;;BAILERINES NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero10_1.jpg;;;;F;OS;4;52.07;30/12/99;30/12/99;.00;1.00;1;04/04/14;04/05/14;1;52.07;.00;1446443420
admin;base;1;configurable;Default;talla,color;4,1,6;230-;230-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR BAILERINES;COLLAR BAILERINES;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;230-;;;;;;;BAILERINES NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero10_1.jpg;;;;;OS;;52.07;30/12/99;30/12/99;.00;;1;;;1;52.07;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;230-;230-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR BAILERINES;COLLAR BAILERINES;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;230-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero10_1.jpg;;;BAILERINES NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero10_1.jpg;;;;;OS;;52.07;30/12/99;30/12/99;.00;;1;;;1;52.07;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;230-;230-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR BAILERINES;COLLAR BAILERINES;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;230-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero10_0.jpg;;;BAILERINES NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero10_1.jpg;;;;;OS;;52.07;30/12/99;30/12/99;.00;;1;;;1;52.07;.00;
admin;base;0;simple;Default;;;231-UNICAUNICO;;Habilitado;Not Visible Individually;107838;COLLAR CASTAÑUELA;COLLAR CASTAÑUELA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;UNICA;UNICO;1078381;;;SEASONAL;1000;231-;;F;01/01/99;/media/import/fotosweb/cisco_romero/1000/cisco_romero12_0.jpg;;;CASTANETS NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero12_1.jpg;;;;F;OS;4;49.59;30/12/99;30/12/99;.00;.00;1;04/04/14;04/05/14;1;49.59;.00;304841524
admin;base;1;configurable;Default;talla,color;4,1,6;231-;231-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR CASTAÑUELA;COLLAR CASTAÑUELA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;231-;;;;;;;CASTANETS NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero12_1.jpg;;;;;OS;;49.59;30/12/99;30/12/99;.00;;1;;;1;49.59;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;231-;231-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR CASTAÑUELA;COLLAR CASTAÑUELA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;231-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero12_1.jpg;;;CASTANETS NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero12_1.jpg;;;;;OS;;49.59;30/12/99;30/12/99;.00;;1;;;1;49.59;.00;
admin;base;1;configurable;Default;talla,color;4,1,6;231-;231-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR CASTAÑUELA;COLLAR CASTAÑUELA;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;231-;;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero12_0.jpg;;;CASTANETS NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero12_1.jpg;;;;;OS;;49.59;30/12/99;30/12/99;.00;;1;;;1;49.59;.00;
admin;base;0;simple;Default;;;232-UNICAUNICO;;Habilitado;Not Visible Individually;107839;COLLAR TORO/TORERO;COLLAR TORO/TORERO;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;UNICA;UNICO;1078391;;;SEASONAL;1000;232-;;F;01/01/99;/media/import/fotosweb/cisco_romero/1000/cisco_romero14_0.jpg;;;BULL/BULLFIGHTER NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero14_1.jpg;;;;F;OS;4;49.59;30/12/99;30/12/99;.00;.00;1;04/04/14;04/05/14;1;49.59;.00;920386560
admin;base;1;configurable;Default;talla,color;4,1,6;232-;232-UNICAUNICO;Habilitado;Catálogo, Búsqueda;;COLLAR TORO/TORERO;COLLAR TORO/TORERO;;;IVA AL 21%;4;1;6;;ANUAL;CISCO ROMERO;;;;;;SEASONAL;1000;232-;;;;;;;BULL/BULLFIGHTER NECKLACE;;;/media/import/fotosweb/cisco_romero/1000/cisco_romero14_1.jpg;;;;;OS;;49.59;30/12/99;30/12/99;.00;;1;;;1;49.59;.00;
