store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;1;configurable;Default;talla,color;1,4,4;5W1G051PCU03C95;5W1G051PCU03C95UNICANOIR/ARGEN;Habilitado;Catálogo, Búsqueda;;CLUTCH VIENNE;CLUTCH VIENNE;;;IVA AL 21%;1;4;4;;OI15P;ALAIA;;;;;;SEASONAL;152;5W1G051PCU03C95;;;;/media/import/fotosweb/alaia/152/alaia_152-008_2.jpg;;;VIENNE CLUTCH;100% Calf Leather;Alto: 	11,5	cm<br/>Ancho: 	16,5	cm<br/>Fondo: 	5	cm;/media/import/fotosweb/alaia/152/alaia_152-008_1.jpg;/media/import/fotosweb/alaia/152/alaia_152-008_2.jpg;Height: 	11,5	cm<br/>Width: 	16,5	cm<br/>Depth: 	5	cm;;;OS;;623.14;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,2;5W1G067PCU92C30;5W1G067PCU92C30UNICARUBIS;Habilitado;Catálogo, Búsqueda;;SHOPPING PERFORADO ARABESQUE ;SHOPPING PERFORADO ARABESQUE ;;;IVA AL 21%;1;4;2;;OI15P;ALAIA;;;;;;SEASONAL;152;5W1G067PCU92C30;;;;/media/import/fotosweb/alaia/152/alaia_152-009_2.jpg;;;ARABESQUE PERFORATED LEATHER SHOPPING BAG;100% Calf Leather;Alto: 	24	cm<br/>Ancho: 	31	cm<br/>Fondo: 	15,5	cm;/media/import/fotosweb/alaia/152/alaia_152-009_1.jpg;/media/import/fotosweb/alaia/152/alaia_152-009_2.jpg;Alto: 	24	cm<br/>Ancho: 	31	cm<br/>Fondo: 	15,5	cm;;;OS;;1697.52;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,2;5W1G067PCU92C99;5W1G067PCU92C99UNICANOIR;Habilitado;Catálogo, Búsqueda;;SHOPPING PERFORADO ARABESQUE ;SHOPPING PERFORADO ARABESQUE ;;;IVA AL 21%;1;4;2;;OI15P;ALAIA;;;;;;SEASONAL;152;5W1G067PCU92C99;;;;/media/import/fotosweb/alaia/152/alaia_152-010_2.jpg;;;ARABESQUE PERFORATED LEATHER SHOPPING BAG;100% Calf Leather;Alto: 	24	cm<br/>Ancho: 	31	cm<br/>Fondo: 	15,5	cm;/media/import/fotosweb/alaia/152/alaia_152-010_1.jpg;/media/import/fotosweb/alaia/152/alaia_152-010_2.jpg;Height: 	24	cm<br/>Width: 	31	cm<br/>Depth: 	15,5	cm;;;OS;;1697.52;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;4,1,1;D005322100PDNA;D005322100PDNAUNICAUNICO;Habilitado;Catálogo, Búsqueda;;PERFUME DORINA 100ml;PERFUME DORINA 100ml;;;IVA AL 21%;4;1;1;;ANUAL;LA DORINE;;;;;;SEASONAL;1000;D005322100PDNA;;;;;;;DORINA PERFUME 100ml;;;;;;;;OS;;297.52;30/12/99;30/12/99;.00;;1;;;1;297.52;.00;
admin;base;1;configurable;Default;talla,color;1,4,1;BG103LEFUCHSIA;BG103LEFUCHSIAUNICAFUCHSIA;Habilitado;Catálogo, Búsqueda;;BOLSO FLEETWOOD COLOR;BOLSO FLEETWOOD COLOR;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;SEASONAL;152;BG103LEFUCHSIA;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-006_2.jpg;;;COLOUR FLEETWOOD BAG;100% Calf Leather;Alto: 	22	cm<br/>Ancho: 	17	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-006_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-006_2.jpg;Height: 	22	cm<br/>Width: 	17	cm<br/>Depth: 	13	cm;SLOT 136;;OS;;591.74;13/11/15;31/12/50;414.88;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG103LEBLACK;BG103LEBLACKUNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO FLEETWOOD NEGRO;BOLSO FLEETWOOD NEGRO;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;SEASONAL;152;BG103LEBLACK;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-001_2.jpg;;;FLEETWOOD BLACK BAG;100% Calf Leather;Alto: 	22	cm<br/>Ancho: 	17	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-001_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-001_2.jpg;Height: 	22	cm<br/>Width: 	17	cm<br/>Depth: 	13	cm<br/><br/>Small Fleetwood Bucket Bag<br/>· Saddle leather in Black<br/>· Top handle and adjustable, detachable shoulder strap<br/>· Drawstring top<br/>· Internal slip pocket<br/>· Signature gold-tone hardware and “Wish You Were Here” charm<br/>· Comes with dust bag<br/>· Made in Spain;SLOT 136;;OS;;591.74;13/11/15;31/12/50;414.88;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG103LESKYBLUE;BG103LESKYBLUEUNICASKYBLUE;Habilitado;Catálogo, Búsqueda;;BOLSO FLEETWOOD COLOR;BOLSO FLEETWOOD COLOR;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;SEASONAL;152;BG103LESKYBLUE;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-007_2.jpg;;;COLOUR FLEETWOOD BAG;100% Calf Leather;Alto: 	22	cm<br/>Ancho: 	17	cm<br/>Fondo: 	13	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-007_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-007_2.jpg;Height: 	22	cm<br/>Width: 	17	cm<br/>Depth: 	13	cm;SLOT 136;;OS;;591.74;13/11/15;31/12/50;414.88;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG026ALEFRENCHN;BG026ALEFRENCHNUNICAFRENCHNAVY;Habilitado;Catálogo, Búsqueda;;BOLSO MINI TOTE WISH YOU;BOLSO MINI TOTE WISH YOU;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;SEASONAL;152;BG026ALEFRENCHN;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-002_2.jpg;;;WISH YOU MINI TOTE BAG;100% Calf Leather;Alto: 	27	cm<br/>Ancho: 	32	cm<br/>Fondo: 	8	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-002_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-002_2.jpg;Height: 	27	cm<br/>Width: 	32	cm<br/>Depth: 	8	cm<br/><br/>Mini Albion Leather Tote WYWH<br/>· Saddle leather in French Navy<br/>· Top handles and adjustable, detachable shoulder strap<br/>· Open top<br/>· Internal slip pocket<br/>· Signature gold-tone hardware, “Wish You Were Here” appliqué and charm<br/>· Comes with dust bag<br/>· Made in Hungary;SLOT 136;;OS;;688.43;13/11/15;31/12/50;482.64;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG026LEBLACK;BG026LEBLACKUNICABLACK;Habilitado;Catálogo, Búsqueda;;BOLSO MINI TOTE;BOLSO MINI TOTE;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;SEASONAL;152;BG026LEBLACK;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-003_2.jpg;;;MINI TOTE BAG;100% Calf Leather;Alto: 	27	cm<br/>Ancho: 	32	cm<br/>Fondo: 	8	cm;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-003_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-003_2.jpg;Height: 	27	cm<br/>Width: 	32	cm<br/>Depth: 	8	cm<br/><br/>Mini Albion Leather Tote WYWH<br/>· Top handles and adjustable, detachable shoulder strap<br/>· Open top<br/>· Internal slip pocket<br/>· Signature gold-tone hardware, “Wish You Were Here” charm<br/>· Comes with dust bag<br/>· Made in Hungary;SLOT 136;;OS;;644.63;13/11/15;31/12/50;451.24;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,4,1;BG151PLEMULTI;BG151PLEMULTIUNICAMULTI;Habilitado;Catálogo, Búsqueda;;BOLSO SQUARE TURISTA MONTAÑAS;BOLSO SQUARE TURISTA MONTAÑAS;;;IVA AL 21%;1;4;1;;OI15P;SOPHIE HULME;;;;;;SEASONAL;152;BG151PLEMULTI;;;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-008_2.jpg;;;TOURIST IN MOUNTAIN SQUARE BAG;100% Calf Leather;;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-008_1.jpg;/media/import/fotosweb/sophie_hulme/152/sophie_hulme_152-008_2.jpg;;;;OS;;630.58;13/11/15;31/12/50;442.15;;1;;;1;;;
