store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;AM0559X781890050BLACK;;Habilitado;Not Visible Individually;114253;CAZADORA FRONTAL PONY;CAZADORA FRONTAL PONY;;-1;IVA AL 21%;2;1;6;;OI15P;DSQUARED2;50;BLACK;1142532;;;SEASONAL;152;AM0559X7818900;;F;01/01/99;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_0.jpg;;;CHIC KIODO COAT;100% Polyester;;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_1.jpg;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_2.jpg;;SLOT ASOCIADO 87;F;IT;4;1764.46;13/11/15;31/12/50;1235.54;1.00;1;05/06/15;05/07/15;1;;;-1724516650
admin;base;1;configurable;Default;talla,color;2,1,6;AM0559X7818900;AM0559X781890050BLACK;Habilitado;Catálogo, Búsqueda;;CAZADORA FRONTAL PONY;CAZADORA FRONTAL PONY;;;IVA AL 21%;2;1;6;;OI15P;DSQUARED2;;;;;;SEASONAL;152;AM0559X7818900;;;;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_2.jpg;;;CHIC KIODO COAT;100% Polyester;;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_1.jpg;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_2.jpg;;SLOT ASOCIADO 87;;IT;;1764.46;13/11/15;31/12/50;1235.54;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,6;AM0559X7818900;AM0559X781890050BLACK;Habilitado;Catálogo, Búsqueda;;CAZADORA FRONTAL PONY;CAZADORA FRONTAL PONY;;;IVA AL 21%;2;1;6;;OI15P;DSQUARED2;;;;;;SEASONAL;152;AM0559X7818900;;;;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_1.jpg;;;CHIC KIODO COAT;100% Polyester;;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_1.jpg;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_2.jpg;;SLOT ASOCIADO 87;;IT;;1764.46;13/11/15;31/12/50;1235.54;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;2,1,6;AM0559X7818900;AM0559X781890050BLACK;Habilitado;Catálogo, Búsqueda;;CAZADORA FRONTAL PONY;CAZADORA FRONTAL PONY;;;IVA AL 21%;2;1;6;;OI15P;DSQUARED2;;;;;;SEASONAL;152;AM0559X7818900;;;;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_0.jpg;;;CHIC KIODO COAT;100% Polyester;;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_1.jpg;/media/import/fotosweb/dsquared2/152/dsquared2_152-001_2.jpg;;SLOT ASOCIADO 87;;IT;;1764.46;13/11/15;31/12/50;1235.54;;1;;;1;;;
admin;base;0;simple;Default;;;D030071035R99948NERO;;Habilitado;Not Visible Individually;115274;CAZADORA RACOON ADHARA;CAZADORA RACOON ADHARA;;;IVA AL 21%;1;1;4;;OI15C;DUVETICA;48;NERO;1152741;;;SEASONAL;152;D030071035R999;;F;01/01/99;/media/import/fotosweb/duvetica/152/duvetica_152-006_0.jpg;;;RACOON ADHARA JACKET;100% Polyamide;;/media/import/fotosweb/duvetica/152/duvetica_152-006_1.jpg;/media/import/fotosweb/duvetica/152/duvetica_152-006_2.jpg;;SLOT 137;F;IT;4;476.86;13/11/15;31/12/50;333.88;2.00;1;07/08/15;06/09/15;1;;;437427414
admin;base;1;configurable;Default;talla,color;1,1,4;D030071035R999;D030071035R99948NERO;Habilitado;Catálogo, Búsqueda;;CAZADORA RACOON ADHARA;CAZADORA RACOON ADHARA;;;IVA AL 21%;1;1;4;;OI15C;DUVETICA;;;;;;SEASONAL;152;D030071035R999;;;;/media/import/fotosweb/duvetica/152/duvetica_152-006_2.jpg;;;RACOON ADHARA JACKET;100% Polyamide;;/media/import/fotosweb/duvetica/152/duvetica_152-006_1.jpg;/media/import/fotosweb/duvetica/152/duvetica_152-006_2.jpg;;SLOT 137;;IT;;476.86;13/11/15;31/12/50;333.88;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,4;D030071035R999;D030071035R99948NERO;Habilitado;Catálogo, Búsqueda;;CAZADORA RACOON ADHARA;CAZADORA RACOON ADHARA;;;IVA AL 21%;1;1;4;;OI15C;DUVETICA;;;;;;SEASONAL;152;D030071035R999;;;;/media/import/fotosweb/duvetica/152/duvetica_152-006_1.jpg;;;RACOON ADHARA JACKET;100% Polyamide;;/media/import/fotosweb/duvetica/152/duvetica_152-006_1.jpg;/media/import/fotosweb/duvetica/152/duvetica_152-006_2.jpg;;SLOT 137;;IT;;476.86;13/11/15;31/12/50;333.88;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,4;D030071035R999;D030071035R99948NERO;Habilitado;Catálogo, Búsqueda;;CAZADORA RACOON ADHARA;CAZADORA RACOON ADHARA;;;IVA AL 21%;1;1;4;;OI15C;DUVETICA;;;;;;SEASONAL;152;D030071035R999;;;;/media/import/fotosweb/duvetica/152/duvetica_152-006_0.jpg;;;RACOON ADHARA JACKET;100% Polyamide;;/media/import/fotosweb/duvetica/152/duvetica_152-006_1.jpg;/media/import/fotosweb/duvetica/152/duvetica_152-006_2.jpg;;SLOT 137;;IT;;476.86;13/11/15;31/12/50;333.88;;1;;;1;;;
admin;base;0;simple;Default;;;RW15F7802LNSMS95BLACK;;Habilitado;Not Visible Individually;116747;BOTAS VICIOUS ELASTICA;BOTAS VICIOUS ELASTICA;;;IVA AL 21%;1;3;2;;OI15C;ADIDAS BY RICK OWENS;5;BLACK;1167475;;;SEASONAL;152;RW15F7802LNSMS9;;F;01/01/99;/media/import/fotosweb/adidas/152/adidas_152-031_0.jpg;;;VICIOUS ELASTIC BOOTS;65% Lamb Skin, 34% Cotton, 1% Spandex/Elastane;;/media/import/fotosweb/adidas/152/adidas_152-031_1.jpg;/media/import/fotosweb/adidas/152/adidas_152-031_2.jpg;;SLOT 33664;F;UK;4;735.54;13/11/15;31/12/50;441.32;.00;1;03/09/15;03/10/15;1;;;666405090
admin;base;1;configurable;Default;talla,color;1,3,2;RW15F7802LNSMS9;RW15F7802LNSMS95BLACK;Habilitado;Catálogo, Búsqueda;;BOTAS VICIOUS ELASTICA;BOTAS VICIOUS ELASTICA;;;IVA AL 21%;1;3;2;;OI15C;ADIDAS BY RICK OWENS;;;;;;SEASONAL;152;RW15F7802LNSMS9;;;;/media/import/fotosweb/adidas/152/adidas_152-031_2.jpg;;;VICIOUS ELASTIC BOOTS;65% Lamb Skin, 34% Cotton, 1% Spandex/Elastane;;/media/import/fotosweb/adidas/152/adidas_152-031_1.jpg;/media/import/fotosweb/adidas/152/adidas_152-031_2.jpg;;SLOT 33664;;UK;;735.54;13/11/15;31/12/50;441.32;;1;;;1;;;
