sku;departamento;seccion;familia
KYT50;4;1;1
BAS2011A000;4;1;6
CDG 100ML;4;1;1
DAX4011A000;4;1;6
FI01CO00000;4;5;1
FD99CO01396;4;5;1
I89020;4;1;1
I18010;4;1;1
I18020;4;1;1
102501;4;1;16
I15010;4;1;1
I15020;4;1;1
I47020;4;1;1
I11015;4;1;1
CU21SE01611;4;5;1
CCXMP050;4;1;1
CC72WP050;4;1;1
CCN1MP050;4;1;1
LU51100;4;1;1
BENDELIROUS;4;1;1
ROSSYDEPALMA;4;1;1
PUTAIN;4;1;1
RIEN;4;1;1
VIERGES;4;1;1
ONASIS BLACK;4;3;
JP6;1;5;2
HGGES;4;1;1
HGASK;4;1;1
HGMUR;4;1;1
HGCLE;4;1;1
CC1872MPPS;4;1;1
BV050PUR;4;1;1
BV050ADV;4;1;1
BV050DEL;4;1;1
BV050ALL;4;1;1
SOPNHA;4;1;1
SOPNAS;4;1;1
SOPNBU;4;1;1
4220 CHRONO WAT;4;2;1
4220 CHRONO ALL;4;2;1
603011;4;1;16
603012;4;1;16
CMPPS;4;1;1
BCLT11;1;5;1
BCLT08A;1;5;3
6589NGR;1;5;5
6589NGT;1;5;5
7156NB;1;5;5
7158NPG;1;5;5
7333NR;1;5;5
7690NGPHA;1;5;5
7764BBR;1;5;2
7764BG;1;5;2
8490NR;1;5;5
8490NT;1;5;5
8582NJ;1;5;5
8582NPG;1;5;5
U4460SMGP030;1;3;1
WR9960EK083;1;3;1
WR9960EN694;1;3;1
WR9960EG510;1;3;1
WR9960EH649;1;3;1
U4460SMWB100;2;3;1
U4460SMKG001;2;3;1
M15000MO811;2;3;1
M15000MG301;2;3;1
ML5740SOG451;2;3;1
ML5740SOE212;2;3;1
M9970DOL127;2;3;1
M9900DSA421;2;3;1
X2B002XE420B534;2;3;3
X2M049XC6060024;2;3;2
Y2O021YH0618001;2;4;5
Y2R179YM57J8819;2;2;7
X2C401XE573A620;2;3;5
X2J040XC5710006;2;3;5
X2J040XC5710029;2;3;5
X2P033XE002A792;2;3;5
X2P033XE002K151;2;3;5
X2X031XE459C245;2;3;1
X2X031XE459A840;2;3;1
Y2S122YB52E8000;2;2;1
Y2S122YB52E8683;2;2;1
Y2S122YB52E8013;2;2;1
Y2S119YL43J8686;2;2;1
Y2S119YM45J8804;2;2;1
S154008135;1;3;8
S154008134;1;3;8
S154090705;1;3;7
S151139399;1;3;6
S151139398;1;3;6
S154109134;1;3;4
S154084134;1;3;4
S154107694;1;3;7
S154076290;1;3;4
S152501961;1;4;8
S152678106;1;4;8
S152673960;1;4;4
S152674960;1;4;4
B26344WHITE;1;3;1
B26331BLACKSOLA;1;3;1
B26332BLACKCOL;1;3;1
B26342GRAPHICBL;1;3;1
B26340BLACKY3;1;3;1
B35706ORANGEBL;1;3;5
B26349GRAPHICBL;1;3;3
B26348BLACKY3;1;3;3
S89748MATTESILV;1;1;5
S89747MATTESILV;1;1;4
S89624FLOWERWH;1;1;2
S89691BLACKFLOW;1;1;6
S89753BLACKFLOW;1;1;7
S89675BLACK;1;1;5
S89629BLACK;1;1;2
S89631COREWHITE;1;1;16
S89711BLACKGREE;1;1;3
S89710WHITENAVY;1;1;3
S89667BLACKGREE;1;1;2
S89666WHITEGREE;1;1;2
BH020314B172;1;3;2
BH020204P107;1;3;2
BH020204P176;1;3;2
SI111006176;1;3;5
BB05100031001;1;4;1
BB05250770960;1;4;1
BC06250651001;1;2;7
BB05046274116;1;4;1
BB05211506116;1;4;1
BB05211651001;1;4;1
BB05310367960;1;4;2
BB05530511004;1;4;9
BC06401730960*;4;1;4
BC06401900960;4;1;4
BC06401901960;4;1;4
BE08907842116;1;3;5
BE08955185960;1;3;1
BE08957176001;1;3;2
15U2086367001;1;1;6
15U9705424001;1;1;13
15U2085367001;1;1;6
15U6052340100;1;1;1
15U3895570004;1;1;4
15U3056370004;1;1;4
15U2754434001;1;1;6
15U9748424004;1;1;13
T115TAENABLACK;1;3;3
T110TAEBUWHITE;1;3;3
SA52INSPIBLACK;1;3;5
DE50VASPIGOLD;1;3;4
SA22INSPIBLACK;1;3;5
IN02PLASMBLACK;1;3;5
IN02PLASPPLATIN;1;3;5
IN16ISISPGOLD;1;3;5
3766F0060BLACK;1;1;6
BRG4S0716WHITE;1;3;8
SND60716WHITE;1;3;6
MJ2F0700WHITE;1;3;6
BRG4E0064RED;1;3;8
BAG66E0064RED;1;4;4
BAG68E0064RED;1;4;1
BAG69F0700BLACK;1;4;1
3222E0064RED;1;1;9
3634E0064RED;1;1;4
3594E0064RED;1;1;2
3782E0064RED;1;1;6
3383E0064RED;1;1;7
3391E0064RED;1;1;7
35030520WHITE;1;1;2
35040520WHITE;1;1;1
3799C0068RED;1;1;6
3787E0068WHITE;1;1;6
32230068RED;1;1;9
3391C0068RED;1;1;7
3501C0068RED;1;1;2
TS120C0603WHIT;1;1;2
CMK08C0605WHIT;1;1;3
CMK08C0605PINK;1;1;3
PA10012G0KPH310;1;3;8
PA10191G0KPZ160;1;3;8
PA16553G0KPX290;1;3;5
PA16563G0KP5490;1;3;5
PA16591G0KPZ240;1;3;5
KNIPBDSS15;1;1;6
MDRESSS15;1;1;6
FJTSSS15COCO;1;1;2
FJTSSS15DODO;1;1;2
FJTSSS15CORALIE;1;1;2
FSWEATSS15ANTHO;1;1;3
FSWEATSS15OCTAV;1;1;3
LYNXSS15;1;1;2
SUMMSS15;1;1;5
GOUDMSS15;1;1;7
HILLSS15;1;1;7
ALCSS15LOBELIA;1;1;9
ALCSS15ANTHO;1;1;9
TIVOSS15;1;1;6
DCLSS15;1;4;4
MELTSS15;1;4;3
LA5412WORANGE;1;1;4
LA5417WTURQUO;1;1;4
LA5425WMETALIC;1;1;4
FJ501GREY;2;1;2
FJ501BLUE;2;1;2
FJ301WHITE;2;1;2
FJ301BLACK;2;1;2
FJ802LOOPBLACK;1;1;2
R36LOOPBLACK;2;1;2
FJ502BLACK;2;1;2
FJ501WHITEE;2;1;2
MS67SEXPETROL;2;1;3
MS86BLACK;2;1;3
HC71SLBLACK;2;1;4
HC71SLPETROL;2;1;4
TR140GREY;2;1;5
TR140BLUE;2;1;5
TR142SASILVERLU;2;1;5
TR142SILVER;2;1;5
TR140BLACK;2;1;5
TR143SCBLACK;2;1;5
MSHC2TBZBLACK;2;1;5
MSHC1BSBLACK;2;1;5
HC1BSLINEN;2;1;5
HC1BSPETROL;2;1;5
HC1BSWHITE;2;1;5
COT232ZBLACK;2;1;6
COT232ZSILVER;2;1;6
FJ201BLACK;2;1;2
SH504GREY;2;1;6
SH13SSBLACK;2;1;1
FJSH103WHITE;2;1;1
CNM440BLACK;2;1;3
CNM440WHITE;2;1;3
JK502TSWHITE;2;1;6
TR143MBLACK;2;1;5
JK223ABLACK;2;1;6
JK502BLACK;2;1;6
JK502SILK;2;1;6
COT501GOLD;2;1;6
COT501BLACK;2;1;6
FLKCN1WHITE;2;1;3
HC1BSBLACK;2;1;5
COT504GOLD;2;1;7
COT504BLACK;2;1;6
JK123BLACK;2;1;6
ML5C7SUN;4;3;1
ML6C5SUN;4;3;1
ML6C6SUN;4;3;1
ML6C7SUN;4;3;1
MS86LINEN;2;1;3
KM203DYBLACK;2;1;3
HCU1BLACK;2;1;5
HCU1LINEN;2;1;5
HCU1PETROL;2;1;5
HCU2BITTER;2;1;5
HCU2BLACK;2;1;5
HCU2WHITE;2;1;5
HC2BMILITARY;2;1;5
TR140SGREY;2;1;5
HC4MILITARY;2;1;5
IP6002BLUE;4;1;4
IP6002PINK;4;1;4
SW136BLACK;1;1;3
TP659GREYMARL;1;1;2
KN1401BNPINK;1;1;3
KN1423BNYELLOW;1;1;3
KN1429BNYELLOW;1;1;3
KN1457SFTPINK;1;1;5
KN1414SFTPINK;1;1;3
AJ698BLACKYELL;1;3;5
AJ665WHITE;1;3;1
AJ664WHITE;1;3;5
AJ006BLACK;1;3;2
AJ006BLUE;1;3;2
AJ006KHAKI;1;3;2
1010DH82018065X;1;4;1
1013DC33212189X;1;4;4
1001DS28018065X;1;4;1
1010DH15217235X;1;4;1
1010DH44018234X;1;4;1
1013DC25212236X;1;4;4
1001DX17132232X;1;4;1
1294DX04013236X;1;4;5
1291EC24204075X;1;4;4
1291EC20018065X;1;4;4
1343SK05018189X;4;4;5
1343SK03018189X;4;4;5
1343SK02018189X;4;4;5
1343SK06018189X;4;4;5
1343SK04018189X;4;4;5
BG02049857650;1;2;3
BG02045855004;1;2;3
BG02045855800;1;2;3
B57DENIM;1;1;4
B40DENIM;1;1;7
B57WHITE;1;1;4
B18DENIM;1;1;6
B39DENIM;1;1;7
B95DENIM;1;1;1
B96DENIM;1;1;1
B38PINK;1;1;7
B200BLUE;1;1;2
B36BLUE;1;1;7
B22BLUE;1;1;6
B24BLUE;1;1;6
B52BLUE;1;1;9
B31SILVER;1;1;7
B31GOLD;1;1;7
B94GIALLO;1;1;1
B20BLUE;1;1;6
B304SILVER;1;1;5
B304BLUE;1;1;5
B304GOLD;1;1;5
B300WHITE;1;1;5
B200BISBLUE;1;1;2
FILIPPAMINIBROW;1;4;1
FILIPPABLUE;1;4;1
CAROLINEMULTI;1;4;1
CAROLINEBLACK;1;4;1
CAROLINEYELLOW;1;4;1
CAROLINEFUCSIA;1;4;1
FILIPPAMINIWHIT;1;4;1
WFM61BLUE;1;1;4
AATERESTRIPES;1;1;3
WJ01CREDWHIT;1;1;4
WD12BREDWHIT;1;1;6
WD27APINKREDBL;1;1;6
WD24BPINKREDBL;1;1;6
WG08EPINKREDBL;1;1;7
WD17CNAVY;1;1;6
WG08BNAVY;1;1;7
WG08BWHITE;1;1;7
WD41CNAVY;1;1;6
WD19CNAVY;1;1;6
CAP-FAB-002 BLK;1;2;2
15045BLACK;1;1;4
15018PINKBLACK;1;1;1
15027PINKBLACK;1;1;2
