sku;departamento;seccion;familia
KYT50;4;6;2
CDG 100ML;4;6;2
I89020;4;6;2
I18010;4;6;2
I18020;4;6;1
I15010;4;6;1
I15020;4;6;1
I47020;4;6;2
I11015;4;6;2
CCXMP050;4;6;2
CC72WP050;4;6;1
CCN1MP050;4;6;2
LU51100;4;6;2
BENDELIROUS;4;6;2
ROSSYDEPALMA;4;6;2
PUTAIN;4;6;2
RIEN;4;6;2
VIERGES;4;6;2
HGGES;4;6;3
HGASK;4;6;3
HGMUR;4;6;3
HGCLE;4;6;3
CC1872MPPS;4;6;2
BV050PUR;4;6;2
BV050ADV;4;6;2
BV050DEL;4;6;2
BV050ALL;4;6;2
SOPNHA;4;6;1
SOPNAS;4;6;1
SOPNBU;4;6;1
CMPPS;4;6;2
I39021;4;6;1
BIJOU;4;6;2
LUBJ100;4;6;2
LU40100;4;6;2
CCVMPPS;4;6;2
CCVWPPS;4;6;1
I47500;4;6;2
D0053-2200PCHA;4;6;1
D0053-22100PROM;4;6;1
D0053-22100PPAS;4;6;1
I18050;4;6;1
65037654;4;6;2
65090991;4;6;2
CCLMPPS;4;6;2
CCLWPPS;4;6;1
I47040;4;6;2
CDGPW100;4;6;1
65084891;4;6;2
65084889;4;6;2
65084892;4;6;2
AF000;4;6;2
AF001;4;6;1
AF102;4;6;2
760272;4;6;2
763907;4;6;2
760326;4;6;2
760302;4;6;2
760296;4;6;2
972101;4;6;1
972102;4;6;1
972103;4;6;1
972104;4;6;1
AF104;4;6;2
763297;4;6;2
SOEFFT;4;6;1
AZY50WH;4;6;3
AZY50BL;4;6;3
AZY50PI;4;6;3
AZY50YE;4;6;3
AZY50WE;4;6;3
AZY50GR;4;6;3
RPVP50ME;4;6;1
AF002;4;6;1
AF003;4;6;1
AF004;4;6;1
AF100;4;6;2
AF101;4;6;2
AF103;4;6;2
CCPPSSMCLV;4;6;2
CCPPSSWCLV;4;6;1
890000;4;6;1
93111;4;6;1
610000;4;6;1
650000;4;6;1
28425;4;6;1
27425;4;6;1
30425;4;6;1
MB7654;4;6;2
13425;4;6;2
31425;4;6;1
GC001;4;6;1
GC001L;4;6;1
CDGBLK;4;6;2
6033;4;6;2
I19520;4;6;1
I48510;4;6;2
HGSKA;4;6;3
LU42100;4;6;2
LU43100;4;6;2
LU44100;4;6;2
CC1872MPPS;4;6;2
CCXWPPS;4;6;2
BV050EXO;4;6;2
BV050SED;4;6;2
SOEFJA;4;6;1
SOEFNU;4;6;1
SOEFOU;4;6;1
SOEFAS;4;6;1
SOEFBU;4;6;1
SOEFFA;4;6;1
SOEFKA;4;6;1
SOPNJA;4;6;1
CWMPPS;4;6;1
I42010;4;6;1
I42020;4;6;1
AVGN50;4;6;2
PLAYRED;4;6;2
PLAYGREEN;4;6;2
HGBLA;4;6;3
6091170;4;6;2
I19021;4;6;2
I11025;4;6;2
I15012;4;6;1
I15022;4;6;1
8BET100;4;6;2
CCN1WP050;4;6;1
D005322100PDNA;4;6;1
BVBC100BS;4;6;1
AZGC50BL;4;6;3
AZGC50GR;4;6;3
AZGC50PI;4;6;3
AZGC50WE;4;6;3
AZGC50WH;4;6;3
AZGC50YE;4;6;3
DPBHP30;4;6;1
DPPMP30;4;6;1
DPSHP30;4;6;1
DPWAP30;4;6;1
RPVP50AL;4;6;1
RPVP50EK;4;6;1
RPVP50SA;4;6;1
RPVP50AD;4;6;1
RPVP50SH;4;6;1
I48550;4;6;1
EBP1003;4;6;2
EBP1004;4;6;2
