store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;6S9UC38LM218C0036BLANC;;Habilitado;Not Visible Individually;118430;TUNICA ODALISQUE MANGAS FLUIDAS;TUNICA ODALISQUE MANGAS FLUIDAS;;;IVA AL 21%;1;1;16;;PV16C;ALAIA;36;BLANC;1184302;;;SEASONAL;161;6S9UC38LM218C00;;F;01/01/99;/media/import/fotosweb/alaia/161/alaia_161-006_0.jpg;;;ODALISQUE SLEEVES TUNIC;68% Viscose, 22% Silk, 8% Polyamide, 2% Spandex/Elastane;;/media/import/fotosweb/alaia/161/alaia_161-006_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-006_2.jpg;;;F;FR;4;1396.69;;;;1.00;1;11/01/16;10/02/16;1;;;-704806549
admin;base;0;simple;Default;;;6S9UC38LM218C0038BLANC;;Habilitado;Not Visible Individually;118430;TUNICA ODALISQUE MANGAS FLUIDAS;TUNICA ODALISQUE MANGAS FLUIDAS;;;IVA AL 21%;1;1;16;;PV16C;ALAIA;38;BLANC;;;;SEASONAL;161;6S9UC38LM218C00;;F;01/01/99;/media/import/fotosweb/alaia/161/alaia_161-006_0.jpg;;;ODALISQUE SLEEVES TUNIC;68% Viscose, 22% Silk, 8% Polyamide, 2% Spandex/Elastane;;/media/import/fotosweb/alaia/161/alaia_161-006_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-006_2.jpg;;;F;FR;4;1396.69;;;;.00;1;;;1;;;-674826074
admin;base;1;configurable;Default;talla,color;1,1,16;6S9UC38LM218C00;6S9UC38LM218C0036BLANC,6S9UC38LM218C0038BLANC;Habilitado;Catálogo, Búsqueda;;TUNICA ODALISQUE MANGAS FLUIDAS;TUNICA ODALISQUE MANGAS FLUIDAS;;;IVA AL 21%;1;1;16;;PV16C;ALAIA;;;;;;SEASONAL;161;6S9UC38LM218C00;;;;/media/import/fotosweb/alaia/161/alaia_161-006_2.jpg;;;ODALISQUE SLEEVES TUNIC;68% Viscose, 22% Silk, 8% Polyamide, 2% Spandex/Elastane;;/media/import/fotosweb/alaia/161/alaia_161-006_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-006_2.jpg;;;;FR;;1396.69;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,16;6S9UC38LM218C00;6S9UC38LM218C0036BLANC,6S9UC38LM218C0038BLANC;Habilitado;Catálogo, Búsqueda;;TUNICA ODALISQUE MANGAS FLUIDAS;TUNICA ODALISQUE MANGAS FLUIDAS;;;IVA AL 21%;1;1;16;;PV16C;ALAIA;;;;;;SEASONAL;161;6S9UC38LM218C00;;;;/media/import/fotosweb/alaia/161/alaia_161-006_1.jpg;;;ODALISQUE SLEEVES TUNIC;68% Viscose, 22% Silk, 8% Polyamide, 2% Spandex/Elastane;;/media/import/fotosweb/alaia/161/alaia_161-006_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-006_2.jpg;;;;FR;;1396.69;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,16;6S9UC38LM218C00;6S9UC38LM218C0036BLANC,6S9UC38LM218C0038BLANC;Habilitado;Catálogo, Búsqueda;;TUNICA ODALISQUE MANGAS FLUIDAS;TUNICA ODALISQUE MANGAS FLUIDAS;;;IVA AL 21%;1;1;16;;PV16C;ALAIA;;;;;;SEASONAL;161;6S9UC38LM218C00;;;;/media/import/fotosweb/alaia/161/alaia_161-006_0.jpg;;;ODALISQUE SLEEVES TUNIC;68% Viscose, 22% Silk, 8% Polyamide, 2% Spandex/Elastane;;/media/import/fotosweb/alaia/161/alaia_161-006_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-006_2.jpg;;;;FR;;1396.69;;;;;1;;;1;;;
admin;base;0;simple;Default;;;6S9RF17RM212C0436BLANCMARIN;;Habilitado;Not Visible Individually;118456;VESTIDO VIENNE BICOLOR MANGA CORTA;VESTIDO VIENNE BICOLOR MANGA CORTA;;;IVA AL 21%;1;1;6;;PV16C;ALAIA;36;BLANCMARIN;1184563;;;SEASONAL;161;6S9RF17RM212C04;;F;01/01/99;/media/import/fotosweb/alaia/161/alaia_161-007_0.jpg;;;TWO-TONE VIENNE SHORT SLEEVE DRESS;74% Viscose, 24% Polyester, 2% Polyamide;;/media/import/fotosweb/alaia/161/alaia_161-007_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-007_2.jpg;;;F;FR;4;3223.14;;;;1.00;1;11/01/16;10/02/16;1;;;1024976924
admin;base;0;simple;Default;;;6S9RF17RM212C0438BLANCMARIN;;Habilitado;Not Visible Individually;118456;VESTIDO VIENNE BICOLOR MANGA CORTA;VESTIDO VIENNE BICOLOR MANGA CORTA;;;IVA AL 21%;1;1;6;;PV16C;ALAIA;38;BLANCMARIN;;;;SEASONAL;161;6S9RF17RM212C04;;F;01/01/99;/media/import/fotosweb/alaia/161/alaia_161-007_0.jpg;;;TWO-TONE VIENNE SHORT SLEEVE DRESS;74% Viscose, 24% Polyester, 2% Polyamide;;/media/import/fotosweb/alaia/161/alaia_161-007_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-007_2.jpg;;;F;FR;4;3223.14;;;;.00;1;;;1;;;-551381072
admin;base;0;simple;Default;;;6S9RF17RM212C0440BLANCMARIN;;Habilitado;Not Visible Individually;118456;VESTIDO VIENNE BICOLOR MANGA CORTA;VESTIDO VIENNE BICOLOR MANGA CORTA;;;IVA AL 21%;1;1;6;;PV16C;ALAIA;40;BLANCMARIN;1184561;;;SEASONAL;161;6S9RF17RM212C04;;F;01/01/99;/media/import/fotosweb/alaia/161/alaia_161-007_0.jpg;;;TWO-TONE VIENNE SHORT SLEEVE DRESS;74% Viscose, 24% Polyester, 2% Polyamide;;/media/import/fotosweb/alaia/161/alaia_161-007_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-007_2.jpg;;;F;FR;4;3223.14;;;;1.00;1;11/01/16;10/02/16;1;;;1029807646
admin;base;1;configurable;Default;talla,color;1,1,6;6S9RF17RM212C04;6S9RF17RM212C0436BLANCMARIN,6S9RF17RM212C0438BLANCMARIN,6S9RF17RM212C0440BLANCMARIN;Habilitado;Catálogo, Búsqueda;;VESTIDO VIENNE BICOLOR MANGA CORTA;VESTIDO VIENNE BICOLOR MANGA CORTA;;;IVA AL 21%;1;1;6;;PV16C;ALAIA;;;;;;SEASONAL;161;6S9RF17RM212C04;;;;/media/import/fotosweb/alaia/161/alaia_161-007_2.jpg;;;TWO-TONE VIENNE SHORT SLEEVE DRESS;74% Viscose, 24% Polyester, 2% Polyamide;;/media/import/fotosweb/alaia/161/alaia_161-007_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-007_2.jpg;;;;FR;;3223.14;;;;;1;;;1;;;
admin;base;1;configurable;Default;talla,color;1,1,6;6S9RF17RM212C04;6S9RF17RM212C0436BLANCMARIN,6S9RF17RM212C0438BLANCMARIN,6S9RF17RM212C0440BLANCMARIN;Habilitado;Catálogo, Búsqueda;;VESTIDO VIENNE BICOLOR MANGA CORTA;VESTIDO VIENNE BICOLOR MANGA CORTA;;;IVA AL 21%;1;1;6;;PV16C;ALAIA;;;;;;SEASONAL;161;6S9RF17RM212C04;;;;/media/import/fotosweb/alaia/161/alaia_161-007_1.jpg;;;TWO-TONE VIENNE SHORT SLEEVE DRESS;74% Viscose, 24% Polyester, 2% Polyamide;;/media/import/fotosweb/alaia/161/alaia_161-007_1.jpg;/media/import/fotosweb/alaia/161/alaia_161-007_2.jpg;;;;FR;;3223.14;;;;;1;;;1;;;
