store;website;sku;price;special_from_date;special_to_date;special_price
admin;base;00002JL5851;89.26;18/01/15;31/12/50;62.81
admin;base;00002JL5852;89.26;18/01/15;31/12/50;62.81
admin;base;000120507619742;98.35;30/12/99;30/12/99;.00
admin;base;000150004960764;144.63;30/12/99;30/12/99;.00
admin;base;000200004968921;161.16;30/12/99;30/12/99;.00
admin;base;00020100124774;237.19;18/01/16;31/12/50;119.01
admin;base;00020400123774;109.09;18/01/16;31/12/50;54.55
admin;base;00020500124774;392.56;18/01/16;31/12/50;196.69
admin;base;00051500133701;232.23;15/06/15;31/12/50;116.53
admin;base;00110200130737;275.21;15/06/15;31/12/50;138.02
admin;base;001180*;11.57;30/12/99;30/12/99;.00
admin;base;001241*;11.57;30/12/99;30/12/99;.00
admin;base;00162JM5281;85.12;18/01/15;31/12/50;60.33
admin;base;00162JM7361;89.26;18/01/15;31/12/50;62.81
admin;base;00182A38471;236.36;18/01/15;31/12/50;166.12
admin;base;00182A40031;263.64;18/01/15;31/12/50;185.12
admin;base;00182JL9665;214.05;18/01/15;31/12/50;150.41
admin;base;00182N5411;263.64;18/01/15;31/12/50;185.12
admin;base;00182N5431;280.99;18/01/15;31/12/50;196.69
admin;base;00182N5971;214.05;18/01/15;31/12/50;150.41
admin;base;002030007622778;128.93;18/01/16;31/12/50;64.46
admin;base;002030007622931;128.93;18/01/16;31/12/50;64.46
admin;base;002160004957999;78.51;30/12/99;30/12/99;.00
admin;base;00219003510004;181.82;18/01/16;31/12/50;145.45
admin;base;00219003510987;181.82;18/01/16;31/12/50;145.45
admin;base;00219003510999;181.82;18/01/16;31/12/50;145.45
admin;base;002490507619742;71.90;30/12/99;30/12/99;.00
admin;base;002560504733742;98.35;30/12/99;30/12/99;.00
admin;base;002560504733999;98.35;30/12/99;30/12/99;.00
admin;base;003110004960764;95.04;30/12/99;30/12/99;.00
admin;base;003250004968921;104.96;30/12/99;30/12/99;.00
admin;base;0037027000;140.50;;;
admin;base;0038147027;140.50;;;
admin;base;0039148000;140.50;;;
admin;base;0040027000;140.50;;;
admin;base;004450007533779;212.40;30/12/99;30/12/99;.00
admin;base;005260004960764;115.70;30/12/99;30/12/99;.00
admin;base;005490002292747;103.31;30/12/99;30/12/99;.00
admin;base;00616A35101;165.29;18/01/16;31/12/50;82.64
