store;website;has_options;type;attribute_set;config_attributes;category_ids;sku;associated;status;visibility;codarticulo;name;description;short_description;codalternativo;tax_class_id;departamento;seccion;familia;subfamilia;temporada;manufacturer;talla;color;codbarras;norma;tacon;composicion;tipo;refproveedor;descatalogado;visibleweb;fechamodificado;rutaimagen;direccioninternet;documentoasociado;campo_uno;campo_dos;campo_tres;campo_cuatro;campo_cinco;campo_seis;campo_siete;campo_ocho;campo_nueve;idtarifav;price;special_from_date;special_to_date;special_price;qty;is_in_stock;news_from_date;news_to_date;weight;stock_price;special_stockprice;CHECKSUM
admin;base;0;simple;Default;;;V5522110SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;10;SEAGLASS/H;1047749;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1650452872
admin;base;0;simple;Default;;;V5522110.5SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;10.5;SEAGLASS/H;1047748;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1423453178
admin;base;0;simple;Default;;;V5522111SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;11;SEAGLASS/H;1047747;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1650387078
admin;base;0;simple;Default;;;V552217SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;7;SEAGLASS/H;1047746;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1633615232
admin;base;0;simple;Default;;;V552217.5SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;7.5;SEAGLASS/H;1047745;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1439444212
admin;base;0;simple;Default;;;V552218SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;8;SEAGLASS/H;1047744;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1632760450
admin;base;0;simple;Default;;;V552218.5SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;8.5;SEAGLASS/H;1047743;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1522740466
admin;base;0;simple;Default;;;V552219SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;9;SEAGLASS/H;1047742;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1632695172
admin;base;0;simple;Default;;;V552219.5SEAGLASS/H;;Habilitado;Not Visible Individually;104774;SNEAKER GL6000 MENTA;SNEAKER GL6000 MENTA;;;IVA AL 21%;2;3;1;;PV14C;REEBOK;9.5;SEAGLASS/H;1047741;;;;141;V55221;;F;01/01/99;/media/import/fotosweb/reebok/141/sneakergl6000menta.jpg;;;GL6000 MINT SNEAKERS;SU 100%RUBBER - LI 100%TEXTIL - O 100%SUEDE;;/media/import/fotosweb/reebok/141/sneakergl6000menta1.jpg;/media/import/fotosweb/reebok/141/sneakergl6000menta2.jpg;;;F;US;4;66.12;20/06/14;31/12/50;39.67;.00;1;07/05/14;06/06/14;1;66.12;19.83;1539452144
admin;base;0;simple;Default;;;V6051910STEEL/BLUE;;Habilitado;Not Visible Individually;104775;SNEAKER PUMP RUNNING DUAL;SNEAKER PUMP RUNNING DUAL;;-1;IVA AL 21%;2;3;1;;PV14C;REEBOK;10;STEEL/BLUE;1047759;;;;141;V60519;;F;01/01/99;/media/import/fotosweb/reebok/141/sneaker_pump.jpg;;;DUAL RUNNING PUMP SNEAKERS;TEXTILE - OTHER MATERIAL;;/media/import/fotosweb/reebok/141/sneaker_pump1.jpg;/media/import/fotosweb/reebok/141/sneaker_pump2.jpg;;SLOT 53;F;US;4;99.17;20/06/14;31/12/50;59.50;.00;1;16/01/14;15/02/14;1;99.17;29.75;2061408527
