sku;status;visibility;price;special_from_date;special_to_date;special_price;qty
GAWH17408506BLACK;Habilitado;Not Visible Individually;361.16;09/01/15;31/12/50;180.99;.00
GAWH17423657BLUE;Habilitado;Not Visible Individually;361.16;09/01/15;31/12/50;180.99;.00
GAWH17427619DARKBR;Habilitado;Not Visible Individually;361.16;09/01/15;31/12/50;180.99;.00
GAWH17428506BLACK;Habilitado;Not Visible Individually;361.16;09/01/15;31/12/50;180.99;.00
GAWH17443657BLUE;Habilitado;Not Visible Individually;361.16;09/01/15;31/12/50;180.99;.00
GAWH17447619DARKBR;Habilitado;Not Visible Individually;361.16;09/01/15;31/12/50;180.99;.00
GAWH17448506BLACK;Habilitado;Not Visible Individually;361.16;09/01/15;31/12/50;180.99;.00
GB13BLGUNICABROWN;Habilitado;Not Visible Individually;453.72;04/11/13;31/12/50;302.48;.00
GBA4001A9ERUNICAUNICO;Habilitado;Not Visible Individually;148.76;30/12/99;30/12/99;.00;3.00
GBA4002AERUNICAUNICO;Habilitado;Not Visible Individually;148.76;30/12/99;30/12/99;.00;1.00
GBA4004AERUNICAUNICO;Habilitado;Not Visible Individually;148.76;30/12/99;30/12/99;.00;2.00
GC070122401100MWHITE;Habilitado;Not Visible Individually;139.67;30/12/99;30/12/99;.00;1.00
GC070122401100SWHITE;Habilitado;Not Visible Individually;139.67;30/12/99;30/12/99;.00;3.00
GC070122401100XSWHITE;Habilitado;Not Visible Individually;139.67;30/12/99;30/12/99;.00;1.00
GC070722401100MWHITE;Habilitado;Not Visible Individually;107.44;30/12/99;30/12/99;.00;.00
GC070722401100SWHITE;Habilitado;Not Visible Individually;107.44;30/12/99;30/12/99;.00;.00
GC070722401100XSWHITE;Habilitado;Not Visible Individually;107.44;30/12/99;30/12/99;.00;.00
GC071122439858MMLGREYMELAN;Habilitado;Not Visible Individually;130.58;30/12/99;30/12/99;.00;1.00
GC071122439858MSLGREYMELAN;Habilitado;Not Visible Individually;130.58;30/12/99;30/12/99;.00;.00
GC071122439858MXSLGREYMELAN;Habilitado;Not Visible Individually;130.58;30/12/99;30/12/99;.00;.00
GC084422401100MWHITE;Habilitado;Not Visible Individually;118.18;30/12/99;30/12/99;.00;4.00
GC084422401100SWHITE;Habilitado;Not Visible Individually;118.18;30/12/99;30/12/99;.00;4.00
GC0977224271002XLWHITE;Habilitado;Not Visible Individually;141.32;30/12/99;30/12/99;.00;.00
GC097722427100LWHITE;Habilitado;Not Visible Individually;141.32;30/12/99;30/12/99;.00;.00
GC097722427100MWHITE;Habilitado;Not Visible Individually;141.32;30/12/99;30/12/99;.00;1.00
GC097722427100SWHITE;Habilitado;Not Visible Individually;141.32;30/12/99;30/12/99;.00;.00
GC097722427100XLWHITE;Habilitado;Not Visible Individually;141.32;30/12/99;30/12/99;.00;.00
GC0979224271002XLWHITE;Habilitado;Not Visible Individually;252.07;30/12/99;30/12/99;.00;.00
GC097922427100LWHITE;Habilitado;Not Visible Individually;252.07;30/12/99;30/12/99;.00;2.00
