sku;price;special_from_date;special_to_date;special_price
DFX1022A081..;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081..;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081.UNICA;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081.UNICA;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081.UNICO;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081.UNICO;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081;9690.91;07/08/13;31/12/50;4845.45
DFX1022A081;9690.91;07/08/13;31/12/50;4845.45
BAS2011A000UNICAUNIOC;1889.26;07/08/13;31/12/50;1611.57
BAS2011A000UNICAUNIOC;1889.26;07/08/13;31/12/50;1611.57
BAS2011A000;1889.26;07/08/13;31/12/50;1611.57
BAS2011A000;1889.26;07/08/13;31/12/50;1611.57
BAS2011A000;1889.26;07/08/13;31/12/50;1611.57
DAX4011A000UNICAUNICO;8657.85;07/08/13;31/12/50;4328.93
DAX4011A000UNICAUNICO;8657.85;07/08/13;31/12/50;4328.93
DAX4011A000;8657.85;07/08/13;31/12/50;4328.93
DAX4011A000;8657.85;07/08/13;31/12/50;4328.93
DAX4011A000;8657.85;07/08/13;31/12/50;4328.93
I19021UNICAUNICO;81.82;30/12/99;30/12/99;.00
I19021;81.82;30/12/99;30/12/99;.00
I19021;81.82;30/12/99;30/12/99;.00
I19021;81.82;30/12/99;30/12/99;.00
I89020UNICAUNICO;62.81;30/12/99;30/12/99;.00
I89020;62.81;30/12/99;30/12/99;.00
I89020;62.81;30/12/99;30/12/99;.00
I89020;62.81;30/12/99;30/12/99;.00
I18010UNICAUNICO;53.72;30/12/99;30/12/99;.00
I18010;53.72;30/12/99;30/12/99;.00
I18010;53.72;30/12/99;30/12/99;.00
I18010;53.72;30/12/99;30/12/99;.00
I18020UNICAUNICO;79.34;30/12/99;30/12/99;.00
I18020;79.34;30/12/99;30/12/99;.00
I18020;79.34;30/12/99;30/12/99;.00
I18020;79.34;30/12/99;30/12/99;.00
I15010UNICAUNICO;51.24;30/12/99;30/12/99;.00
I15010;51.24;30/12/99;30/12/99;.00
I15010;51.24;30/12/99;30/12/99;.00
I15010;51.24;30/12/99;30/12/99;.00
I15020UNICAUNICO;85.12;30/12/99;30/12/99;.00
I15020;85.12;30/12/99;30/12/99;.00
I15020;85.12;30/12/99;30/12/99;.00
I15020;85.12;30/12/99;30/12/99;.00
I47020UNICAUNICO;57.02;30/12/99;30/12/99;.00
I47020;57.02;30/12/99;30/12/99;.00
I47020;57.02;30/12/99;30/12/99;.00
I47020;57.02;30/12/99;30/12/99;.00
I15012UNICAUNICO;48.76;30/12/99;30/12/99;.00
I15012;48.76;30/12/99;30/12/99;.00
