Buy Now,Comprar Ahora
Remove This Item,Eliminar Este Artículo
Are you sure you would like to remove this item from the compare products?,¿Estás seguro de querer eliminar este artículo del comparador de productos?
Compare,Comparar
Are you sure you would like to remove all products from your comparison?,¿Estás seguro de querer eliminar todos los productos de tu comparación?
Clear All,Limpiar todo
You have no items to compare.,No dispone de artículos para comparar.
Related Products,Productos Relacionados
Check items to add to the cart or,Comprobar artículos para añadir a la bolsa o
select all,seleccionar todo
Add to Cart,Añadir a la Bolsa
Out of stock,Fuera de Stock
OUT OF STOCK,FUERA DE STOCK
Out of Stock,Fuera de Stock
unselect all,deseleccionar todo
Set Ascending Direction,Establecer Dirección Ascendente
Set Descending Direction,Establecer Dirección Descendente
View,Visualizar
Show,Mostrar
Sort By,Ordenar Por
View as,Visualizar como
per page,por página
You may also be interested in the following product(s),También te pueden interesar los siguientes producto(s)
There are no products matching the selection.,No hay productos que coincidan con esta selección.
Add to Wishlist,Añadir a Wishlist
Add to Compare,Añadir a Comparador
Excl. Tax:,Impuestos Excl.
Incl. Tax:,Impuestos Incl.
Regular Price:,Precio Venta
Special Price:,Precio Especial
As low as:,Tan bajo como:
Starting at:,Desde:
Email to a Friend,Mandar a un amigo
BUY,COMPRAR
Additional Information,Información Adicional
Details,Detalles
More Views,Más Visualizaciones
This is a required field,Campo obligatorio
Field is not complete,Campo no completado
Change,Cambio
Delete,Borrar
Maximum number of characters:,Número máximo de caracteres:
* Required Fields,* Campos Requeridos
 Price:, Precio:
each,cada uno
and,y
save,guardar
Click for price,Clic para precio
Availability:,Disponibilidad:
In stock,Disponible
Product Name,Nombre del Producto
Price,Precio
Qty,Uds
No options of this product are available.,No hay opciones disponibles de este producto
Availability 1:,Disponibilidad 1:
New Products,Productos Nuevos
Search,Búsqueda
Type and hit enter,Teclear y pulsar enter
See price before order confirmation.,Ver precio antes de confirmar pedido.
Excl. Tax,Impuestos Excl.
Total,Total
Incl. Tax,Impuestos Incl.
Total incl. tax,Total impuestos incl.
ok,ok
Edit item,Editar Artículo
Are you sure you would like to remove this item from the shopping cart?,¿Estás seguro de querer eliminar este artículo de la bolsa?
Remove Item,Eliminar Artículo
Recently added item(s),Artículo(s) añadido(s) recientemente
Close,Cerrar
ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER,SE MOSTRARÁ EL TOTAL DEL PEDIDO ANTES DE CONFIRMAR PEDIDO
Cart Subtotal:,Subtotal Bolsa:
Checkout,Checkout
View Shopping Cart,Ver Bolsa
You have no items in your shopping cart.,No hay artículos en el bolsa
Cart,Bolsa
My Cart,Mi Bolsa
Shopping Cart,Bolsa
Move to Wishlist,Mover a Wishlist
Unit Price,Precio Unidad
Subtotal,Subtotal
Continue Shopping,Continuar Comprando
Update Shopping Cart,Actualizar Bolsa
Clear Shopping Cart,Vaciar Bolsa
Select a billing address from your address book or enter a new address.,Seleccionar dirección de facturación de la agenda de direcciones o introducir dirección nueva.
Company,Empresa
Email Address,Dirección de Email
Address,Dirección
Street Address,Dirección postal
VAT Number,CIF
City,Ciudad
State/Province,Estado/Provincia
"Please select region, state or province","Por favor selecciona región, estado o provincia"
Zip/Postal Code,Código Postal
Country,País
Telephone,Teléfono
Fax,Fax
Password,Contraseña
Confirm Password,Confirmar Contraseña
Save in address book,Guardar dirección en agenda
Ship to this address,Enviar a esta dirección
Ship to different address,Enviar a otra dirección
Continue,Continuar
Loading next step...,Cargando siguiente paso...
Select State/Province...,Seleccionar Estado/Provincia...
An error occurred in the process of payment,Se ha producido un error durante el proceso de pago
Order #,Pedido #
Proceed to Checkout,Proceder a Checkout
Checkout as a Guest or Register,Comprar como Invitado o Registrar
Register to Create an Account,Registrar para Crear una Cuenta
Register with us for future convenience:,Registra con nosotros para tu comodidad
Register and save time!,Registra y ahorra tiempo!
Fast and easy check out,Checkout rápido y sencillo
Easy access to your order history and status,Acceso fácil a historial y estado del pedido
Checkout as Guest,Comprar como Invitado
Register,Registrarse
Login,Iniciar Sesión
Already registered?,¿Estás ya registrado?
Please log in below:,Por favor inicia sesión abajo
Forgot your password?,¿Has olvidado tu contraseña?
Card Verification Number Visual Reference,Referencia Visual Verificación Número de Tarjeta
Back,Volver
Your Checkout Progress,Tu Progreso de Checkout
Select a shipping address from your address book or enter a new address.,Seleccionar dirección de envío de la agenda de direcciones o introducir dirección nueva.
Use Billing Address,Usar Dirección de Facturación
Edit,Editar
Select Your Currency,Selecciona tu Moneda
Language:,Idioma:
Your Language:,Tu Idioma:
Your Language,Tu Idioma
Be the first to review this product,Sé el primero en opinar sobre este producto
Credit Card Information,Información de Tarjeta
Credit Card Type,Tipo de Tarjeta
--Please Select--,--Por Favor Selecciona--
Credit Card Number,Número de Tarjeta
Expiration Date,Fecha de Caducidad
Card Verification Number,Número Verificación Tarjeta
What is this?,¿Qué es esto?
You will be required to enter your payment details before you place an order.,Se requerirá completar los datos de pago antes de crear el pedido.
This product is also part of bundle(s),Este producto es también parte de un lote(s)
As low as,Tan bajo como
From,Desde
To,Hasta
Price as configured,Precio según configurado
None,Ninguno
Qty:,Uds:
Choose an selection...,Elige una opción...
Gift Message,Mensaje de Regalo
From:,Desde:
To:,Hasta:
Message:,Mensaje:
N/A,N/A
Total Incl. Tax,Total impuestos incl.
Ordered,Pedido
Shipped,Enviado
Canceled,Cancelado
Refunded,Reembolsado
Please type the letters below,Por favor teclea las letras de abajo
Reload captcha,Recargar captcha
Currently Shopping by:,Actualmente Comprando por:
Previous,Previo
Shop By,Comprar Por
Shopping Options,Opciones de Compra
Actual Price,Precio Actual
Browse By,Navegar Por
Category,Categoría
Compare Products,Comparar Productos
Print This Page,Imprimir Esta Página
Close Window,Cerrar Ventana
Please wait...,Por Favor Espera...
Prev,Prev
Next,Siguiente
Learn More,Aprender Más
What's this?,¿Qué es esto?
Double click on above image to view full picture,Haga doble click en imagen para ver imagen completa
Zoom Out,Reducir
Zoom In,Ampliar
Old Price:,Precio Antiguo:
Choose an Option...,Elegir Opción...
Quick Overview,Vista Rápida
Price is not available,Precio no disponible
Catalog Advanced Search,Búsqueda Avanzada Catálogo
Search Settings,Opciones de Búsqueda
No items were found using the following search criteria.,No se encontraron artículos con este criterio de búsqueda.
Modify your search,Modificar tu búsqueda
Don't see what you're looking for?,¿No encuentras lo que buscas?
Search:,Búsqueda:
Search entire store here...,Buscar en toda la tienda...
Subscribe to Feed,Suscribir a Actualizaciones
Your search returns no results.,No hay resultados de tu búsqueda.
Popular Search Terms,Términos de Búsqueda Populares
There are no search terms available.,No hay términos de búsqueda disponibles.
Verification Failed,Verificación Fallida
The card has failed verification with the issuer bank.,La tarjeta ha fallado la verificación con el banco emisor.
Order cannot be placed.,El pedido no puede ser realizado.
Verification cannot be processed,La verificación no puede ser procesada.
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Información de pago incorrecta o limite de tiempo expirado. Por favor, inténtalo de nuevo."
Card Verification,Verificación de Tarjeta
Please verify the card with the issuer bank:,Por favor verifica la tarjeta con el banco emisor:
To ensure the security of your transactions,Para asegurar la seguridad de tus transacciones
Verified by Visa,Verificado por Visa
MasterCard SecureCode,MasterCard SecureCode
Discount Codes,Códigos Promocionales
