"Add Google website verification meta tag","إضافة علامة وصفية للتحقق من موقع الويب من Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","تمت إضافة علامة وصفية إلى HTML في المواقع الواردة أدناه. تسمح هذه الخطوة لـ Google بالتحقق من ملكية النطاق على مواقعك."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","يرجى ربط حسابك في Magento بحسابك في Merchant Center للبدء باستيراد بيانات منتجاتك عبر واجهة برمجة التطبيقات التابعة للمتجر. وبعد ربط حسابي Magento وMerchant Center، ستظهر في Merchant Center أي تحديثات تُدخلها على معلومات المتجر في Magento."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","أولاً، انقر على "%s" أدناه. سيتم إنشاء حساب جديد لواجهة برمجة التطبيقات في Magento تلقائيًا، وسيتم إرسال المعلومات المرتبطة بمتجرك وبيانات الاعتماد إلى Merchant Center من خلال اتصال آمن. إذا لم يكن لديك حساب في Merchant Center، فاتبع مطالبات الاشتراك لإنشاء حساب جديد. ملاحظة: في حال عدم إنشاء رابط، سيتم حذف معلومات حسابك في واجهة برمجة التطبيقات بعد 60 يومًا."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","يساعد %sGoogle Shopping%s الأنشطة التجارية في الاستفادة من فهم اهتمامات العملاء الأساسية لكي تتمكّن من عرض إعلانات المنتجات للأشخاص المناسبين وفي الأوقات الأكثر ملاءمة. استخدم هذه الإضافة لتحميل بيانات منتجاتك ومتجرك إلى Google Merchant Center وإتاحتها في Google Shopping وخدمات Google الأخرى، ما يساعدك في الوصول إلى ملايين العملاء الجدد الذين يبحثون عن المنتجات التي تبيعها."
"Launch","فتح"
"Learn More","مزيد من المعلومات"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","استرداد معلومات المتجر الكاملة"
"Retrieve basic shop information","استرداد معلومات المتجر الأساسية"
"Retrieve product information","استرداد معلومات المنتج"
