"Add Google website verification meta tag","Google vebsayt doğrulama meta teqini əlavə edin"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Siyahıdakı saytlardakı HTML-ə meta teq əlavə edildi. Bu addım saytlarınızdakı domen sahibliyini doğrulamağa imkan verir."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","PrestaShop hesabınızı Tacir Mərkəzi ilə əlaqələndirin ki, məhsul datanızı dükan API-si vasitəsilə import edə biləsiniz. PrestaShop və Tacir Mərkəzi hesablarınızı əlaqələndirəndən sonra, PrestaShop'da güncəllənmiş istənilən məlumat Tacir Mərkəzində də güncəllənəcək."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.",""%s" klikləməklə başlayın. Yeni Magento API hesabı avtomatik yaradılacaq və dükan məlumatlarınız Tacir Mərkəzinə güvənli bağlantı araçılığı ilə təqdim ediləcək. Hələ də Tacir Mərkəzi hesabınız yoxdursa, yeni hesab yaradın. Qeyd: Link yaradılmasa API məlumatınız 60 gündən sonra silinəcək."
"Google Shopping","Google Şoppinq"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Şoppinq%s düzgün müştərilərə düzgün qiymətlərlə müraciət etmək imkanı verir. Dükan və məhsul datasını Google Tacir Mərkəzinə yükləmək üçün bu modulu istifadə edin, məhsullarınızı Google Şoppinq və digər Google xidmətlərinə açıq edin ki, milyonlarla potensial müştərilər Sizi tapa bilsin."
"Launch","Launch"
"Learn More","Ətraflı Məlumat"
"Google Shopping Connect","Google Şopping Bağlantı"
"Retrieve shop information","Dükan Məlumatlarını Əldə edin"
"Retrieve basic shop information","Təməl dükan məlumatını əldə edin"
"Retrieve product information","Məhsul məlumatını əldə edin"
