"Add Google website verification meta tag","Google ওয়েবসাইট যাচাইকরণ মেটাট্যাগ যোগ করুন"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","নীচে তালিকাভুক্ত সাইটগুলিতে HTML এ একটি মেটা ট্যাগ যোগ করা হয়েছে। এই পদক্ষেপটি Googleকে আপনার সাইটগুলিতে ডোমেনের মালিকানা যাচাই করার সুবিধা দেয়।"
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","স্টোর API এর মাধ্যমে আপনার পণ্য ডেটা আমদানি করা শুরু করতে আপনার Magento অ্যাকাউন্টকে ব্যবসা কেন্দ্রে সংযোগ করুন। আপনি নিজের Magento অ্যাকাউন্টের সাথে ব্যবসা কেন্দ্র অ্যাকাউন্ট লিঙ্ক করার পরে আপনার Magento স্টোরে আপডেট হয়েছে এমন যে কোনো স্টোর তথ্য ব্যবসা কেন্দ্রেও আপডেট হবে।"
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","নীচে দেওয়া "%s" ক্লিক করে শুরু করুন। একটি নতুন Magento API অ্যাকাউন্ট স্বয়ংক্রিয় ভাবে তৈরি হবে এবং আপনার স্টোর তথ্য এবং শংসাপত্র একটি নিরাপদ সংযোগের মাধ্যমে ব্যবসা কেন্দ্রে জমা দেওয়া হবে। যদি আপনার কাছে আগে থেকে কোনো ব্যবসা কেন্দ্র অ্যাকাউন্ট না থাকে তবে নতুন অ্যাকাউন্ট বানাতে সাইন আপের প্রম্পটগুলি অনুসরণ করুন। দ্রষ্টব্য: যদি কোনো লিঙ্ক তৈরি করা না হয় তবে আপনার API তথ্য ৬০ দিন পরে মুছে দেওয়া হবে।"
"Google Shopping","Google কেনাকাটা"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","গ্রাহকেরা যখন কোনো নির্দিষ্ট পণ্যের খোঁজখবর চালাচ্ছেন তখন %sGoogle কেনাকাটা%s তাদের সামনে ঠিক সেই পণ্যটি বিজ্ঞাপনের মাধ্যমে তুলে ধরে ব্যবসাগুলিকে তাদের পণ্য গ্রাহকদের কাছে বিক্রয় করতে সহায়তা করে। এই এক্সটেনশন ব্যবহার করে Google Merchant Center এ আপনার স্টোর এবং পণ্য ডেটা আপলোড করুন এবং Google কেনাকাটা এবং অন্যান্য Google পরিষেবায় সেইগুলি উপলব্ধ করান। তাতে, আপনি যে পণ্যগুলি বিক্রয় করছেন ঠিক সেই সমস্ত পণ্যের বিষয়ে অনুসন্ধান করা লক্ষ লক্ষ নতুন গ্রাহকদের কাছে পৌঁছে যেতে পারবেন।"
"Launch","শুরু করুন"
"Learn More","আরো জানুন"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","দোকানের তথ্য পুনরুদ্ধার করুন"
"Retrieve basic shop information","দোকানের প্রাথমিক তথ্য পুনরুদ্ধার করুন"
"Retrieve product information","পণ্যের তথ্য পুনরুদ্ধার করুন"
