"Add Google website verification meta tag","Dodaj meta oznaku provjere web lokacije Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Meta oznaka je dodana u HTML na lokacijama navedenim u nastavku. Ovo omogućava da Google provjeri vlasništvo domene na vašim lokacijama."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Povežite Magento račun sa Centrom za trgovce da počnete s uvozom informacija o proizvodu kroz API prodavnice. Nakon što povežete Magento račun sa računom Centra za trgovce, sve informacije o prodavnici koje se ažuriraju u Magento prodavnici bit će ažurirane i u Centru za trgovce."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Počnite sa klikanjem "%s" u nastavku. Novi Magento API račun automatski će se generirati, i informacije o prodavnici i akreditivi će se poslati u Centar za trgovce putem sigurne veze. Ako nemate račun Centra za trgovce, slijedite upite za prijavu da kreirate novi račun. Napomena: ako veza nije kreirana, API informacije će se izbrisati nakon 60 dana."
"Google Shopping","Google kupovina"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle kupovina%s pomaže preduzećima da upoznaju namjere potrošača kako bi im u najboljem trenutku mogli dati relevantne oglase za proizvode. Upotrijebite ovaj nastavak za slanje informacija o prodavnici i proizvodima u Google centar za trgovce kako bi bili dostupni u usluzi Google kupovina i drugim Googleovim uslugama. To će vam omogućiti da doprijete do miliona novih potrošača koji traže ono što vi prodajete."
"Launch","Pokreni"
"Learn More","Saznajte više"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Preuzmi informacije o prodavnici"
"Retrieve basic shop information","Preuzmi osnovne informacije o prodavnici"
"Retrieve product information","Preuzmi informacije o proizvodu"
