"Add Google website verification meta tag","Afegeix la metaetiqueta de verificació del lloc web de Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","S'ha afegit una metaetiqueta a l'HTML dels llocs que s'indiquen a continuació. Aquest pas permet que Google verifiqui la propietat del domini dels teus llocs."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Connecta el teu compte de Magento a Merchant Center per començar a importar les teves dades de producte a través de l'API de la botiga. Un cop hagis enllaçat els comptes, qualsevol informació que modifiquis a la teva botiga de Magento també s'actualitzarà a Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Comença fent clic a %s a continuació. Es generarà un nou compte d'API de Magento automàticament i la informació i les credencials de la teva botiga s'enviaran a Merchant Center mitjançant una connexió segura. Si encara no tens un compte de Merchant Center, segueix les instruccions de registre per crear-ne un. Nota: si no crees un enllaç, la informació de l'API se suprimirà en un termini de 60 dies."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s ajuda les empreses a aprofitar la intenció de compra del client per arribar a les persones adequades amb anuncis de producte més rellevants i en el moment més oportú. Utilitza aquesta extensió per penjar les dades de la teva botiga i dels teus productes a Google Merchant Center i permet que milions de clients nous interessats en els teus productes hi puguin accedir a través de Google Shopping i altres serveis de Google."
"Launch","Inicia"
"Learn More","Més informació"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Recupera la informació de la compra"
"Retrieve basic shop information","Recupera la informació bàsica de la compra"
"Retrieve product information","Recupera la informació del producte"
