"Add Google website verification meta tag","Ychwanegwch tag meta Google i ddilysu gwefannau"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Mae tag meta wedi ei ychwanegu at y HTML ar y safleoedd a restrir isod. Mae'r cam hwn yn gadael i Google ddilysu perchnogaeth parth ar eich safleoedd."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Cysylltwch eich cyfrif Magento i Merchant Center i ddechrau mewnforio data eich cynnyrch drwy'r siop API. Ar ôl i chi gysylltu eich cyfrifon Magento a Center Merchant, bydd unrhyw wybodaeth ynghylch y siop sy'n cael ei diweddaru yn eich siop Magento hefyd yn cael ei diweddaru yn Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Dechrewch arni drwy glicio "%s" isod. Bydd cyfrif API Magento newydd yn cael ei gynhyrchu'n awtomatig a bydd gwybodaeth a chymwysterau eich siop yn cael eu cyflwyno i Merchant Center drwy gysylltiad diogel. Os nad oes gennych gyfrif Merchant Center, dilynwch yr awgrymiadau ymuno i greu cyfirf newydd. Cofiwch: Os nad yw cyswllt yn cael ei greu, bydd eich gwybodaeth API yn cael ei ddileu ar ôl 60 diwrnod."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","Mae %s Google Shopping%s yn helpu busnesau i fanteisio ar bŵer bwriad cwsmeriaid i gyrraedd y bobl iawn gyda hysbysebion ynghylch cynnyrch perthnasol pan fydd yn cyfrif fwyaf. Defnyddiwch yr estyniad hwn i lwytho gwybpodaeth ynghylch eich siop a'ch cynnyrch i Google Merchant Center a sicrhau ei fod ar gael ar Google Shopping a gwasanaethau eraill Google a fydd yn eich galluogi i gyrraedd miliynau o gwsmeriaid newydd sy'n chwilio am yr hyn rydych yn ei werthu.b"
"Launch","Lansio"
"Learn More","Dysgwch ragor"
"Google Shopping Connect","Cyswllt Google Siopa"
"Retrieve shop information","Adalw gwybodaeth am y siop"
"Retrieve basic shop information","Adalw gwybodaeth sylfaenol ynghylch y siop"
"Retrieve product information","Adalw Gwybodaeth ynghylch cynnyrch"
