"Add Google website verification meta tag","Tilføj bekræftelsesmetatag på Google-websites"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Det er føjet et metatag til HTML'en på de websites, der er angivet nedenfor. Dette trin giver Google mulighed for at bekræfte domæneejerskab på dine websites."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Knyt din Magento-konto til Merchant Center, så du kan begynde at importere dine produktdata gennem butikkens API. Når du har linket din Magento-konto til din Merchant Center-konto, vil butiksoplysninger, der bliver opdateret i din Magento-butik, også blive opdateret i Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Kom godt i gang ved at klikke på "%s" herunder. En ny Magento API-konto bliver genereret automatisk, og dine butiks- og loginoplysninger bliver indsendt til Merchant Center via en sikker forbindelse. Følg anvisningerne om tilmelding for at oprette en Merchant Center-konto, hvis du ikke allerede har en. Bemærk! Hvis der ikke oprettes et kontolink, vil dine API-oplysninger blive slettet efter 60 dage."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s hjælper virksomheder med at forstå kundernes behov og på denne måde nå ud til de rigtige mennesker med relevante produktannoncer, når det betyder mest. Brug denne udvidelse til at uploade dine butiks- og produktdata til Google Merchant Center og gøre dem tilgængelige for Google Shopping og andre Google-tjenester. Derved kan du nå ud til millioner af nye kunder, der søger efter det, du sælger."
"Launch","Åbn"
"Learn More","Få flere oplysninger"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Hent butiksoplysninger"
"Retrieve basic shop information","Hent de grundlæggende butiksoplysninger"
"Retrieve product information","Hent produktoplysninger"
