"Add Google website verification meta tag","Bestätigungs-Meta-Tag von Google auf der Website hinzufügen"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Auf den unten aufgeführten Websites wurde dem HTML-Text ein Meta-Tag hinzugefügt. Auf diese Weise kann Google die Domain-Inhaberschaft auf Ihren Websites bestätigen."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Verknüpfen Sie Ihr Magento-Konto mit dem Merchant Center, um mit dem Import Ihrer Produktdaten über die Store API zu beginnen. Nach der Verknüpfung Ihrer Magento- und Merchant Center-Konten werden alle Informationen, die Sie in Ihr Magento-Geschäft hochladen, automatisch auch im Merchant Center aktualisiert."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Klicken Sie zunächst unten auf "%s". Es wird automatisch ein neues Magento-API-Konto erstellt und alle Informationen und Anmeldedaten aus Ihrem Geschäft werden über eine sichere Verbindung an das Merchant Center übermittelt. Wenn Sie noch kein Merchant Center-Konto haben, folgen Sie den Aufforderungen bei der Anmeldung, um ein neues Konto zu erstellen. Hinweis: Wenn Sie keine Verknüpfung herstellen, werden Ihre API-Informationen nach 60 Tagen gelöscht."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s hilft Unternehmen dabei, den richtigen Nutzern zum richtigen Zeitpunkt relevante Produktanzeigen zu präsentieren. Mit dieser Erweiterung können Sie Angaben zu Ihrem Geschäft sowie Produktdaten in das Google Merchant Center hochladen und für Google Shopping und andere Google-Dienste nutzen. Auf diese Art erreichen Sie Millionen neuer Kunden, die nach den Produkten suchen, die Sie verkaufen."
"Launch","Öffnen"
"Learn More","Weitere Informationen"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Händlerinformationen abrufen"
"Retrieve basic shop information","Grundlegende Händlerinformationen abrufen"
"Retrieve product information","Produktinformationen abrufen"
