"choose", "bitte wählen"
"Salutation", "Anrede"
"Salutation_Male", "Herr"
"Salutation_Female", "Frau"
"Salutation_", ""
"Prefix", "Präfix"
"First Name", "Vorname"
"Last Name", "Nachname"
"Suffix", "Suffix"
"Date of Birth", "Geburtsdatum"
"Email", "E-Mail Adresse"
"Gender", "Geschlecht"
"Mr", "Herr"
"Ms/Mrs", "Frau"


"Show Gender", "Geschlecht abfragen"
"Show Prefix", "Präfix abfragen"
"Show Firstname", "Vorname abfragen"
"Show Lastname", "Nachname abfragen"
"Show Suffix", "Suffix abfragen"
"Show Date of Birth", "Geburtsdatum abfragen"
"Override Customer Data", "Kundendaten überschreiben"
"Fallback to Customer Data", "Fallback zu Kundendaten"
"Enable Popup", "Popup aktivieren"
