"Survey","Survey"
"Surveys","Surveys"
"Configuration","Configuration"
"Survey Settings","Survey Settings"
"Save settings","Save settings"
"The settings have been saved.","The settings have been saved."
"Enable user check for multiple answers","Enable user check for multiple answers"
"Cookie Lifetime","Cookie Lifetime"
"Insert 0 for infinite lifetime","Insert 0 for infinite lifetime"
"Survey already taken","Survey already taken"
"Results graphic settings","Results graphic settings"
"Graphic Type","Graphic Type"
"PDF font","PDF font"
"FreeSerif","FreeSerif"
"FreeSans","FreeSans"
"DejaVuSans","DejaVuSans"
"Helvetica","Helvetica"
"Manage Categories","Manage Categories"
"This category does not exist","This category does not exist"
"New Category","New Category"
"Edit Category","Edit Category"
"Category was successfully saved","Category was successfully saved"
"Category was successfully deleted","Category was successfully deleted"
"Unable to find a Category to delete","Unable to find a Category to delete"
"Add New Category","Add New Category"
"Category ID","Category ID"
"Category Name","Category Name"
"Action","Action"
"Edit","Edit"
"Save Category","Save Category"
"Save and continue edit","Save and continue edit"
"Delete Category","Delete Category"
"Edit Category '%s'","Edit Category '%s'"
"Category Details","Category Details"
"Category Status","Category Status"
"Category Description","Category Description"
"This survey does not exist","This survey does not exist"
"Edit Survey","Edit Survey"
"Survey was successfully saved","Survey was successfully saved"
"Survey was successfully deleted","Survey was successfully deleted"
"Unable to find a Survey to delete","Unable to find a Survey to delete"
"Manage Surveys","Manage Surveys"
"Add New Survey","Add New Survey"
"Survey ID", "Survey ID"
"Survey Name", "Survey Name"
"Survey category","Survey category"
"Multipage","Multipage"
"Save survey","Save survey"
"Survey details","Survey details"
"Survey name","Survey name"
"Survey status","Survey status"
"Survey description","Survey description"
"You already finished this survey","You already finished this survey"
"End of the survey - Thank you for your time.","End of the survey - Thank you for your time."
"New Survey","New Survey"
"Edit Survey '%s'","Edit Survey '%s'"
"Manage Questions","Manage Questions"
"Questions","Questions"
"Add New Question","Add New Question"
"New Question","New Question"
"Edit Question","Edit Question"
"Edit Question #%s","Edit Question #%s"
"Save question","Save question"
"Delete question","Delete question"
"This question does not exist","This question does not exist"
"Question was successfully saved","Question was successfully saved"
"Question was successfully deleted","Question was successfully deleted"
"Unable to find a Question to delete","Unable to find a Question to delete"
"PickOne","PickOne"
"PickMany","PickMany"
"ShortAnswer","ShortAnswer"
"Ranking","Ranking"
"Question type","Question type"
"Question Text","Question Text"
"Question details","Question details"
"Question Status","Question Status"
"Position","Position"
"Question options","Question options"
"Add New Option","Add New Option"
"Remove","Remove"
"Options","Options"
"Option","Option"
"Ranks","Ranks"
"Rank","Rank"
"Add New Rank","Add New Rank"
"Please, provide a question options","Please, provide a question options"
"Please, provide a question ranks","Please, provide a question ranks"
"There are no options to display for selected question type","There are no options to display for selected question type"
"Please, select Question type to load options","Please, select Question type to load options"
"There are no Survey categories to display.","There are no Survey categories to display."
"The requested Survey category could not be found!","The requested Survey category could not be found!"
"Back to the Survey main page","Back to the Survey main page"
"Survey's list","Survey's list"
"This survey not available now","This survey not available now"
"There are no surveys to display.","There are no surveys to display."
"The requested survey could not be found!","The requested survey could not be found!"
"Start","Start"
"Next","Next"
"Prev","Prev"
"- Select rank -","- Select rank -"
"View Results","View Results"
"Date","Date"
"Reports","Reports"
"Report","Report"
"Please apply 'Survey Name' filter","Please apply 'Survey Name' filter"
"Survey Results","Survey Results"
"Survey Results - %s","Survey Results - %s"
"Select answers for report","Select answers for report"
"Survey Report","Survey Report"
"Report","Report"
"Export to PDF","Export to PDF"
"Survey Information","Survey Information"
"Name: ","Name:"
"Description: ","Description:"
"Survey performed on: ","Survey performed on:"
"Submit","Submit"
"Survey Category Link","Survey Category Link"
"Link to a Specified Category","Link to a Specified Category"
"Category","Category"
"Select Category...","Select Category..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, the Category Name will be used","If empty, the Category Name will be used"
"Anchor Custom Title","Anchor Custom Title"
"Template","Template"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Survey Link","Survey Link"
"Link to a Specified Survey","Link to a Specified Survey"
"Select Survey...","Select Survey..."
"If empty, the Survey Name will be used","If empty, the Survey Name will be used"
"Survey Link Block Template","Survey Link Block Template"
"Survey Link Inline Template","Survey Link Inline Template"
"Survey Page Link","Survey Page Link"
"Link to a Survey main page","Link to a Survey main page"
"Survey Page Link Block Template","Survey Page Link Block Template"
"Survey Page Link Inline Template","Survey Page Link Inline Template"
"License","License"
"Your license have been saved.","Your license have been saved."
"Your license code is invalid","Your license code is invalid"
"Show/Hide answers","Show/Hide answers"
"See appendix #%s","See appendix #%s"
"Appendix #%s","Appendix #%s"
"Start on","Start on"
"Only for registered","Only for registered"
"My Surveys","My Surveys"
"Customer My Account Manage Surveys","Customer My Account Manage Surveys"
"Passed","Passed"
"Survey name","Survey name"
"You have not passed any survey.","You have not passed any survey."
"Back","Back"
"View","View"
"Edit","Edit"
"Customer options","Customer options"
"Allow customers edit taken survey","Allow customers edit taken survey"
"Allow customers view survey result","Allow customers view survey result"
"URL key","URL key"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"The URL key was changed","The URL key was changed"
"This URL key already exists, so it was stored in the form like: %s","This URL key already exists, so it was stored in the form like: %s"
"Survey URL Prefix","Survey URL Prefix"
"Session has expired","Session has expired"
"Back","Back"
"Metadata Information","Metadata Information"
"The product has been duplicated.","The product has been duplicated."
"Export results to csv file","Export results to csv file"
