"%s has been added to your wishlist.","%s has been added to your wishlist."

"The requested quantity is not available.","The requested quantity is not available."
"The minimum quantity allowed for purchase is ","The minimum quantity allowed for purchase is "
"The maximum quantity allowed for purchase is ","The maximum quantity allowed for purchase is "
"Update Cart","Update Cart"
"Empty Cart","Empty Cart"
"Are you sure you would like to remove all the items from the shopping cart?","Are you sure you would like to remove all the items from the shopping cart?"
"Don\'t have an account yet? Click here to <a href="%s">create an account</a>.","Don\'t have an account yet? Click here to <a href="%s">create an account</a>."
"Go to Shopping Cart","Go to Shopping Cart"
"Go to Wishlist","Go to Wishlist"
"Select your options","Select your options"
"Drag a product to the cart, it\'s fun!","Drag a product to the cart, it\'s fun!"
