"Add Google website verification meta tag","Añadir la metaetiqueta de verificación del sitio web de Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Se ha añadido una metaetiqueta al archivo HTML de los sitios web que aparecen a continuación. Esto permite que Google pueda verificar la propiedad de los dominios de sus sitios web."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Asocie su cuenta de Magento a Merchant Center para empezar a importar sus datos de producto mediante la API de la tienda. Cuando haya asociado ambas cuentas, la información sobre la tienda que actualice en Magento también se actualizará en Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Para empezar, haga clic en "%s" más abajo. Se generará automáticamente una cuenta de API de Magento, y sus credenciales y la información de su tienda se enviarán a Merchant Center a través de una conexión segura. Si no tiene una cuenta de Merchant Center, siga las indicaciones del proceso de registro para crear una nueva. Nota: Si no se crea un enlace, la información de la API se eliminará pasados 60 días."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s ayuda a las empresas a aprovechar la intención de compra del consumidor para llegar a las personas adecuadas con los anuncios de productos más relevantes y en el momento más oportuno. Utilice esta extensión para subir sus datos de tienda y de producto a Google Merchant Center y hacer que estén disponibles en Google Shopping y en otros servicios de Google. De esta manera, llegará a millones de clientes nuevos que buscan lo que vende."
"Launch","Iniciar"
"Learn More","Más información"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Recuperar información de la tienda"
"Retrieve basic shop information","Recuperar información básica de la tienda"
"Retrieve product information","Recuperar información del producto"
