"Add Google website verification meta tag","Agregar metaetiqueta de verificación de sitio web de Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Se agregó una metaetiqueta al código HTML de los sitios que aparecen a continuación. Este paso le permite a Google verificar la propiedad del dominio de sus sitios."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Conecte su cuenta de Magento a Merchant Center para comenzar a importar sus datos de productos mediante la API de la tienda. Una vez que vincule estas cuentas, toda la información que se actualice en su tienda de Magento también se actualizará en Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Para comenzar, haga clic en "%s" a continuación. Se generará automáticamente una nueva cuenta de API de Magento, y la información de su tienda y sus credenciales se enviarán a Merchant Center mediante una conexión segura. Si todavía no tiene una cuenta de Merchant Center, siga las indicaciones de registro para crear una cuenta nueva. Nota: Si no vincula las cuentas, la información de la API se borrará en sesenta días."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s ayuda a las empresas a aprovechar el poder de la intención de los clientes para llegar a las personas adecuadas con anuncios de productos relevantes en el momento preciso. Use esta extensión para subir los datos de productos y de su tienda a Google Merchant Center, así como para ponerlos a disposición de Google Shopping y otros servicios de Google, lo que le permitirá llegar a millones de clientes nuevos que buscan los productos que vende."
"Launch","Lanzamiento"
"Learn More","Más información"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Recuperar la información de la tienda"
"Retrieve basic shop information","Recuperar la información básica de la tienda"
"Retrieve product information","Recuperar la información del producto"
