"Add Google website verification meta tag","Lisa Google'i veebisaidi kinnitamise metasilt"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","All loetletud veebisaitide HTML-koodi on lisatud metasilt. See võimaldab Google'il kinnitada teie saitide domeenikuuluvust."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Ühendage oma Magento konto Merchant Centeriga, et alustada tooteandmete importimist poe API kaudu. Pärast Magento ja Merchant Centeri kontode linkimist kajastuvad Magento poe teabes tehtavad muudatused ka Merchant Centeris."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Alustamiseks klõpsake alloleval nupul „%s”. Luuakse uus Magento API konto ning teie poe teave ja sisselogimisandmed edastatakse turvalise kanali kaudu Merchant Centerisse. Kui teil ei ole veel Merchant Centeri kontot, järgige uue konto loomiseks registreerumisjuhiseid. Tähelepanu: kui te ei loo linki, kustutatakse teie API teave 60 päeva pärast."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s aitab ettevõtetel kasutada klientide endi huvisid, näidates õigetele inimestele õigel ajal õigete toodete reklaame. Selles laiendis saate oma poe ja toodete andmed Google Merchant Centerisse üles laadida ning teha need kättesaadavaks Google Shoppingus ja teistes Google'i teenustes. Nii jõuate miljonite uute klientideni, kellele teie tooted huvi pakuvad."
"Launch","Ava"
"Learn More","Lisateave"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Hangi poeteave"
"Retrieve basic shop information","Hangi põhiline poeteave"
"Retrieve product information","Hangi tooteteave"
