"Add Google website verification meta tag","افزودن متاتگ راستی‌آزمایی وب‌سایت Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","متاتگی به HTML در سایت‌های فهرست‌شده در زیر اضافه شد. در این مرحله Google مالکیت دامنه را در سایت‌های شما به تأیید می‌رساند."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","حساب Magento خود را به Merchant Center مرتبط کنید تا وارد کردن داده‌های محصولتان را ازطریق API (رابط برنامه‌نویسی) فروشگاه شروع کنید. پس از اینکه حساب‌های Magento و Merchant Center خود را مرتبط کردید، همه اطلاعات فروشگاهی که در فروشگاه Magento شما به‌روز شده در Merchant Center نیز به‌روز می‌شود."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","با کلیک روی «%s» در زیر، شروع به کار کنید. حساب Magento API جدیدی به‌صورت خودکار ایجاد می‌شود و اطلاعات فروشگاه و اعتبارنامه‌های شما ازطریق اتصالی ایمن به Merchant Center ارسال می‌شود. اگر حساب Merchant Center ندارید، برای ایجاد حساب جدید فرمان‌های ثبت‌نام را دنبال کنید. توجه: اگر پیوندی ایجاد نشود، اطلاعات رابط برنامه‌نویسی شما پس از ۶۰ روز حذف خواهد شد."
"Google Shopping","خرید Google"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","خرید %sGoogle%s به کسب و کارها کمک می‌کند از نیروی خواسته مشتری بهره بگیرند تا در مناسب‌ترین زمان با آگهی‌های محصولات مرتبط، به افراد مناسب دست یابند. از این افزونه برای بارگذاری داده‌های فروشگاه و محصولتان در Google Merchant Center استفاده کنید و آن را برای «خرید Google» و سرویس‌های دیگر Google دردسترس قرار دهید، با این کار می‌توانید به میلیون‌ها مشتری جدید دسترسی پیدا کنید که به‌دنبال چیزی هستند که می‌فروشید."
"Launch","راه‌اندازی"
"Learn More","بیشتر بدانید"
"Google Shopping Connect","اتصالِ خرید Google"
"Retrieve shop information","بازیابی اطلاعات فروشگاه"
"Retrieve basic shop information","بازیابی اطلاعات اصلی فروشگاه"
"Retrieve product information","بازیابی اطلاعات محصول"
