"Add Google website verification meta tag","Lisää Googlen verkkosivustojen vahvistamisen sisällönkuvauskenttä"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Sisällönkuvauskenttä on lisätty alla lueteltujen sivustojen HTML-koodiin. Sen avulla Google voi vahvistaa sivustojesi verkkotunnusten omistajuuden."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Kun liität Magento-tilisi Kauppiasportaaliin, voit siirtää tuotetietoja kaupan sovellusliittymän kautta. Kun Magenton ja Kauppiasportaalin tilit on linkitetty, kaikki Magentoon päivitetyt kaupan tiedot päivitetään myös Kauppiasportaaliin."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Aloita valitsemalla alta %s. Sinulle luodaan automaattisesti uusi Magento-sovellusliittymätili, ja kauppasi tiedot ja kirjautumistietosi lähetetään Kauppiasportaaliin suojatun yhteyden kautta. Jos sinulla ei ole Kauppiasportaalin tiliä, luo tili annettujen ohjeiden avulla. Huom. Jos tilejä ei linkitetä, sovellusliittymätiedot poistetaan 60 päivän kuluttua."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s auttaa yrityksiä vastaamaan asiakkaiden tarpeisiin ja näyttämään tuotemainoksia oikeista tuotteista oikeille ihmisille oikeaan aikaan. Tällä laajennuksella voit ladata kaupan tiedot ja tuotetiedot Google Kauppiasportaaliin ja saada tiedot näkyviin Google Shoppingissa ja muissa Google-palveluissa. Näin tavoitat jopa miljoonia uusia asiakkaita, jotka ovat kiinnostuneita tarjoamistasi tuoteryhmistä."
"Launch","Avaa"
"Learn More","Lisätietoja"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Nouda kaupan tiedot"
"Retrieve basic shop information","Nouda kaupan perustiedot"
"Retrieve product information","Nouda tuotteen tiedot"
