"Add Google website verification meta tag","Maglagay ng meta tag para sa verification ng website sa Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","May nailagay nang meta tag sa HTML sa mga site na nakalista sa ibaba. Nagbibigay-daan ang hakbang na ito sa Google na ma-verify ang pagmamay-ari ng domain sa iyong mga site."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Ikonekta ang iyong Magento account sa Merchant Center upang masimulan ang pag-import sa data ng iyong produkto sa pamamagitan ng API ng store. Pagkatapos mong ma-link ang iyong Magento at Merchant Center account, ang anumang impormasyon ng store na na-update sa iyong Magento store ay ia-update din sa Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Simulan sa pag-click sa "%s" sa ibaba. May bagong Magento API account na awtomatikong bubuuin at isusumite ang impormasyon ng iyong store at mga kredensyal sa Merchant Center sa pamamagitan ng isang secure na koneksyon. Kung wala ka pang Merchant Center account, sundin ang mga prompt sa pag-sign up upang makagawa ng bagong account. Tandaan: Kung walang ginawang link, made-delete ang impormasyon ng iyong API makalipas ang 60 araw."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","Nakatutulong ang %sGoogle Shopping%s sa mga negosyo na magamit ang kapangyarihan ng hangarin ng customer na maabot ang mga tamang tao gamit ang mga nauugnay na ad ng produkto kapag pinakanaaangkop ito. Gamitin ang extension na ito upang makapag-upload ng data ng iyong store at produkto sa Google Merchant Center at gawin itong available sa Google Shopping at iba pang serbisyo ng Google, na nagbibigay-kakayahan sa iyo na maabot ang milyun-milyong bagong customer na naghahanap ng mga ibinebenta mo."
"Launch","Buksan"
"Learn More","Matuto Nang Higit Pa"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Kunin ang impormasyon ng shop"
"Retrieve basic shop information","Kunin ang pangunahing impormasyon ng shop"
"Retrieve product information","Kunin ang impormasyon ng produkto"
