"Add Google website verification meta tag","Ajouter la métabalise de vérification des sites Web de Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Une métabalise a été ajoutée au code HTML des sites énumérés ci-dessous. Cela permet à Google de vérifier la propriété des domaines de vos sites."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Associez votre compte Magento à Google Merchant Center pour commencer à importer vos données de produit à l'aide de l'API de magasin. Après avoir associé vos comptes Magento et Google Merchant Center, toute information sur le magasin mise à jour dans Magento sera également mise à jour dans Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Mettez-vous en route en cliquant sur « %s » ci-dessous. Une nouvelle API Magento sera automatiquement générée et l'information sur votre magasin ainsi que vos coordonnées seront transmises à Google Merchant Center par l'entremise d'une connexion sécurisée. Si vous n'avez pas déjà un compte Google Merchant Center, suivez les indications du processus d'inscription pour créer un nouveau compte. Remarque : Si aucun lien n'est créé, votre information d'API sera supprimée après 60 jours."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s aide les entreprises à mettre à profit l'intention des clients afin de présenter les annonces de produits les plus pertinentes aux bonnes personnes lorsque cela compte le plus. Utilisez cette extension pour téléverser vos données de magasin et de produit sur Google Merchant Center et les rendre disponibles sur Google Shopping et d'autres services Google, ce qui vous permettra de joindre des millions de clients qui recherchent ce que vous vendez."
"Launch","Lancer"
"Learn More","En savoir plus"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Récupérer les données sur le magasin"
"Retrieve basic shop information","Récupérer les données de base sur le magasin"
"Retrieve product information","Récupérer les données sur le produit"
