"Add Google website verification meta tag","Ajouter la balise Meta de vérification du site Web de Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Une balise Meta a été ajoutée au code HTML des sites indiqués ci-dessous. Cette opération permet à Google de valider la propriété du domaine de vos sites."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Connectez votre compte Magento à Merchant Center pour commencer à importer vos données produit via l'API Google Store. Une fois les deux comptes associés, toutes les informations relatives à votre magasin mises à jour via Magento seront également modifiées dans Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Pour commencer, cliquez sur "%s" ci-dessous. Un compte API Magento sera généré automatiquement et les identifiants et informations relatives à votre magasin seront transmis à Merchant Center via une connexion sécurisée. Si vous ne disposez pas d'un compte Merchant Center, suivez les instructions d'inscription affichées à l'écran pour en créer un. Remarque : si aucun lien n'est créé, vos informations API seront supprimées après 60 jours."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s aide les entreprises à exploiter au mieux l'intention des utilisateurs pour toucher les bons acheteurs au bon moment avec des annonces produit pertinentes. Utilisez cette extension pour importer les données relatives à votre magasin et vos produits sur Google Merchant Center, afin de les rendre disponibles sur Google Shopping et d'autres services Google. Vous pourrez ainsi toucher des millions de nouveaux clients qui recherchent les produits que vous vendez."
"Launch","Lancer"
"Learn More","En savoir plus"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Récupérer les informations du magasin"
"Retrieve basic shop information","Récupérer les informations de base du magasin"
"Retrieve product information","Récupérer les informations du produit"
