"Add Google website verification meta tag","Engadir metaetiqueta de verificación do sitio web de Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Engadiuse unha metaetiqueta ao código HTML dos sitios que se indican a continuación. Esta operación permite que Google verifique a propiedade do dominio nos teus sitios."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Conecta a túa conta de Magento con Merchant Center para comezar a importar os datos dos teus produtos a través da API da tenda. En canto ligues as túas contas de Magento e de Merchant Center, toda a información da tenda que se actualice na túa tenda Magento tamén se actualizará en Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Comeza facendo clic en "%s" a continuación. Xerarase unha nova conta de API de Magento automaticamente e a información e as credenciais da túa tenda enviaranse a Merchant Center a través dunha conexión segura. Sigue as indicacións para rexistrarte e crear unha conta de Merchant Center. Ten en conta o seguinte: se non se crea unha ligazón, a información da túa API eliminarase unha vez transcorridos 60 días."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s axuda ás empresas a aproveitar a intención dos clientes de chegar á xente axeitada con anuncios de produtos relevantes no momento oportuno. Utiliza esta extensión para cargar os datos da tenda e dos produtos en Google Merchant Center e permitir que estean dispoñibles para Google Shopping e outros servizos de Google, o cal che permitirá chegar a millóns de clientes novos que están buscando o que vendes."
"Launch","Iniciar"
"Learn More","Obter máis información"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Recuperar información da tenda"
"Retrieve basic shop information","Recuperar información básica da tenda"
"Retrieve product information","Recuperar información do produto"
