"Add Google website verification meta tag","Google વેબસાઇટ ચકાસણી મેટા ટૅગ ઉમેરો"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","નીચે સૂચિબદ્ધ સાઇટ્સ પર HTML માં એક મેટા ટૅગ ઉમેરવામાં આવ્યો છે. આ પગલું Google ને તમારી સાઇટ્સ પર ડોમેનની માલિકી ચકાસવા દે છે."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","સ્ટોર API મારફતે તમારો ઉત્પાદન ડેટા આયાત કરવાનું શરૂ કરવા માટે તમારા Magento એકાઉન્ટને વેપારી કેન્દ્ર સાથે કનેક્ટ કરો. તમે તમારા Magento અને વેપારી કેન્દ્ર એકાઉન્ટ્સને લિંક કરશો, તે પછી તમારા Magento સ્ટોરમાં અપડેટ કરવામાં આવે તે કોઈપણ માહિતી વેપારી કેન્દ્રમાં પણ અપડેટ થશે."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","નીચેના "%s" ને ક્લિક કરીને પ્રારંભ કરો. એક નવું Magento API એકાઉન્ટ આપમેળે જનરેટ થશે અને તમારી સ્ટોર માહિતી અને ઓળખપત્રોને સુરક્ષિત કનેક્શન મારફતે વેપારી કેન્દ્રમાં સબમિટ કરવામાં આવશે. જો તમારી પાસે પહેલેથી કોઈ વેપારી કેન્દ્ર એકાઉન્ટ ન હોય, તો નવું એકાઉન્ટ બનાવવા માટેના સાઇન અપ સંકેતો અનુસરો. ધ્યાન રાખો: જો કોઈ લિંક બનાવવામાં આવી ન હોય, તો તમારી API માહિતી 60 દિવસ પછી કાઢી નાખવામાં આવશે."
"Google Shopping","Google શૉપિંગ"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle શૉપિંગ%s વ્યવસાયિકોને સંબંધિત ઉત્પાદનોની જાહેરાતો સાથે યોગ્ય લોકો સુધી પહોંચવા માટે ગ્રાહકનો ઇરાદો જાણવામાં સહાય કરે છે, જ્યારે તે તમારા માટે સૌથી અગત્યનું હોય છે. તમારો સ્ટોર અને ઉત્પાદન ડેટા Google Merchant Center પર અપલોડ કરવા માટે આ વિસ્તારનો ઉપયોગ કરો અને તેને Google શૉપિંગ અને અન્ય Google સેવાઓ પર ઉપલબ્ધ કરાવો, જે તમે શું વેચો છો તે શોધનારા લાખો નવા ગ્રાહકો સુધી પહોંચવામાં તમારી સહાય કરે છે."
"Launch","લોંચ કરો"
"Learn More","વધુ જાણો"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","દુકાનની માહિતી પુનઃપ્રાપ્ત કરો"
"Retrieve basic shop information","દુકાનની મૂળભૂત માહિતી પુનઃપ્રાપ્ત કરો"
"Retrieve product information","ઉત્પાદનની માહિતી પુનઃપ્રાપ્ત કરો"
