"Add Google website verification meta tag","Google वेबसाइट सत्यापन मेटा टैग जोड़ें"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","नीचे सूचीबद्ध साइटों के HTML में एक मेटा टैग जोड़ दिया गया है. मेटा टैग जोड़ने का यह कार्य Google को आपकी साइटों पर डोमेन स्वामित्व सत्यापित करने की सुविधा देता है."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","स्टोर API के माध्यम से अपना उत्पाद डेटा आयात करना शुरू करने के लिए, अपना Magento खाता Merchant Center से कनेक्ट करें. अपना Magento और Merchant Center खाता लिंक करने के बाद, आपके Magento स्टोर में अपडेट की गई सभी स्टोर जानकारी Merchant Center में भी अपडेट हो जाएगी."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","नीचे दिए गए "%s" पर क्लिक करके प्रारंभ करें. एक नया Magento API खाता अपने आप जेनरेट हो जाएगा और एक सुरक्षित कनेक्शन के माध्यम से आपकी स्टोर जानकारी और क्रेडेंशियल Merchant Center में सबमिट किए जाएंगे. यदि आपके पास पहले से कोई Merchant Center खाता नहीं है, तो नया खाता बनाने के लिए साइन अप संकेतों का पालन करें. नोट: यदि कोई लिंक नहीं बनाया जाता है, तो आपकी API जानकारी 60 दिनों के बाद हटा दी जाएगी."
"Google Shopping","Google शॉपिंग"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle शॉपिंग%s उपयुक्त उत्पाद विज्ञापनों के साथ सही लोगों तक पहुंचने के लिए ग्राहकों के इरादे से बेहतर ढंग से जुड़ने में त‍ब व्यवसायियों की सहायता करता है, जब उन्हें उसकी सबसे अधिक आवश्‍यकता होती है. इस एक्सटेंशन का उपयोग अपने स्टोर और उत्पाद डेटा को Google Merchant Center में अपलोड करने और उसे Google शॉपिंग और अन्य Google सेवाओं में उपलब्ध कराने के लिए करें, जिससे कि आप उन लाखों नए ग्राहकों तक पहुंच सकें जो उन वस्तुओं की खोज में हैं जो आप बेचते हैं."
"Launch","लॉन्च करें"
"Learn More","अधिक जानें"
"Google Shopping Connect","Google शॉपिंग कनेक्ट"
"Retrieve shop information","शॉप की जानकारी फिर से प्राप्त करें"
"Retrieve basic shop information","शॉप की मूलभूत जानकारी फिर से प्राप्त करें"
"Retrieve product information","उत्पाद की जानकारी फिर से प्राप्त करें"
