"Add Google website verification meta tag","Google webhelyellenőrzési metacímke hozzáadása"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Az alább felsorolt webhelyeknél metacímke került hozzáadásra a HTML-hez. Ez lehetővé teszi a Google számára a domain tulajdonjogának ellenőrzését az Ön webhelyeinél."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Kapcsolja össze Magento-fiókját Merchant Centerrel, és kezdje el a termékadatok importálását az üzlet API-ján keresztül. Miután összekapcsolta Magento- és Merchant Center-fiókját, a Magento üzletben frissített üzletadatok a Merchant Centerben is frissítésre kerülnek."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Először kattintson az alábbi „%s” gombra. Automatikusan új Magento API-fiók jön létre, és az üzletinformációk, akárcsak a hitelesítési adatok biztonságos kapcsolaton keresztül elküldésre kerülnek a Merchant Centerbe. Ha még nincs Merchant Center-fiókja, új fiók létrehozásához hajtsa végre a regisztrációs utasításokat. Megjegyzés: Ha nem hoz létre linket, API-adatai 60 nap után törlődnek."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","A %sGoogle Shopping%s segítségével a vállalkozások az ügyfél szándékára alapozva a megfelelő személyeket érhetik el a megfelelő termékhirdetésekkel, a megfelelő időben. A bővítmény használatával az üzlet és a termékek adatai feltölthetők a Google Merchant Centerbe, és elérhetővé tehetők a Google Shopping és egyéb Google-szolgáltatások számára, így több millió új ügyfél kereshet rá az értékesített termékekre."
"Launch","Indítás"
"Learn More","További információ"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Üzletinformációk lekérése"
"Retrieve basic shop information","Alapvető üzletinformációk lekérése"
"Retrieve product information","Termékadatok lekérése"
