"Add Google website verification meta tag","Tambahkan tag meta verifikasi situs web Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Tag meta telah ditambahkan ke HTML pada situs yang tercantum di bawah. Langkah ini memungkinkan Google memverifikasi kepemilikan domain di situs Anda."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Hubungkan akun Magento Anda ke Merchant Center untuk mulai mengimpor data produk Anda melalui API toko. Setelah akun Magento dan Merchant Center ditautkan, informasi toko yang diperbarui di toko Magento Anda juga akan diperbarui di Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Mulailah dengan mengeklik "%s" di bawah ini. Akun API Magento baru akan dibuat secara otomatis dan informasi toko serta kredensial Anda akan dikirimkan ke Merchant Center melalui koneksi aman. Jika Anda belum memiliki akun Merchant Center, ikuti petunjuk pendaftaran untuk membuat akun baru. Catatan: Jika tautan tidak dibuat, informasi API Anda akan dihapus setelah 60 hari."
"Google Shopping","Google Belanja"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Belanja%s membantu bisnis mencari tahu maksud pelanggan untuk menjangkau orang yang tepat dengan iklan produk yang relevan pada waktu yang tepat. Gunakan ekstensi ini untuk mengunggah data toko dan produk Anda ke Google Merchant Center serta membuatnya tersedia di Google Belanja dan layanan Google lainnya. Dengan begitu, Anda dapat menjangkau jutaan pelanggan baru yang mencari apa yang Anda jual."
"Launch","Luncurkan"
"Learn More","Pelajari Lebih Lanjut"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Dapatkan informasi toko"
"Retrieve basic shop information","Dapatkan informasi toko yang mendasar"
"Retrieve product information","Dapatkan informasi produk"
