"Add Google website verification meta tag","Bæta við lýsimerki með staðfestingu frá Google á vefsvæði"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Lýsimerki hefur verið bætt við HTML á vefsvæðum sem tilgreind eru að neðan. Með þessu getur Google staðfest eignarhald á léni á vefsvæðum þínum."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Tengdu Magento reikning þinn við viðskiptamiðstöðina til að flytja inn vörugögn gegnum forritaskil verslunar. Þegar þú hefur lokið við að tengja Magento reikning þinn og reikning þinn í viðskiptamiðstöðinni munu allar upplýsingar sem þú uppfærir í Magento verslun þinni einnig verða uppfærðar í viðskiptamiðstöðinni."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Byrjaðu með því að smella á „%s“ hér að neðan. Nýr Magento forritaskilareikningur verður þá myndaður sjálfkrafa og verslunarupplýsingar og skilríki þín verða send í viðskiptamiðstöðina gegnum örugga tengingu. Ef þú hefur ekki reikning í viðskiptamiðstöðinni skaltu fylgja nýskráningarleiðbeiningum og búa til nýjan reikning. Athugaðu: Ef tenging er ekki mynduð mun forritaskilaupplýsingum þínum verða eytt eftir 60 daga."
"Google Shopping","Google verslun"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle verslun%s hjálpar fyrirtækjum að nýta sér ætlun viðskiptavina til að ná til rétta fólksins með viðeigandi vöruauglýsingum þegar slíkt skiptir mestu máli. Notaðu viðbótina til að hlaða upp gögnum um verslunina þína og vörugögnum í Google Merchant Center og gera þau aðgengileg í Google verslun og öðrum þjónustum Google. Þannig geturðu náð til milljóna nýrra viðskiptavina sem leita að því sem þú ert að selja."
"Launch","Ræsa"
"Learn More","Frekari upplýsingar"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Sækja upplýsingar um verslun"
"Retrieve basic shop information","Sækja grunnupplýsingar um verslun"
"Retrieve product information","Sækja upplýsingar um vöru"
