"Survey","Questionario"
"Surveys","Questionari"
"Configuration","Configurazioni"
"Survey Settings","Impostazioni questionari"
"Save settings","Salva le impostazioni"
"The settings have been saved.","Le impostazioni sono salvate."
"Enable user check for multiple answers","Abilita utente per risposte multiple"
"Cookie Lifetime","Cookie Lifetime"
"Insert 0 for infinite lifetime","Insert 0 for infinite lifetime"
"Survey already taken","Questionario completato"
"Results graphic settings","Impostazioni dei risultati grafici"
"Graphic Type","Tipo di grafico"
"PDF font","PDF font"
"FreeSerif","FreeSerif"
"FreeSans","FreeSans"
"DejaVuSans","DejaVuSans"
"Helvetica","Helvetica"
"Manage Categories","Gestisci categorie"
"This category does not exist","Questa categoria non esiste"
"New Category","Nuova categoria"
"Edit Category","Modifica categoria"
"Category was successfully saved","Categoria salvata con successo"
"Category was successfully deleted","Categoria eliminata con successo"
"Unable to find a Category to delete","Imposssibile trovare la categoria da eliminare"
"Add New Category","Aggiungi una nuova categoria"
"Category ID","Id categoria"
"Category Name","Nome categoria"
"Action","Azione"
"Edit","Modifica"
"Save Category","Salva categoria"
"Save and continue edit","Salva e continua a modificare"
"Delete Category","Elimina categoria"
"Edit Category '%s'","Edita la categoria '%s'"
"Category Details","Dettaglio categoria"
"Category Status","Stato categoria"
"Category Description","Descrizione categoria"
"This survey does not exist","Il questionario non esiste"
"Edit Survey","Modifica questionario"
"Survey was successfully saved","Questionario salvato con successo"
"Survey was successfully deleted","Questionario eliminato con successo"
"Unable to find a Survey to delete","Non trovo il questionario da eliminare"
"Manage Surveys","Gestisci questionari"
"Add New Survey","Aggiungi nuovo questionario"
"Survey ID", "Id questionario"
"Survey Name", "Nome questionario"
"Survey category","Categoria questionario"
"Multipage","Multipage"
"Save survey","Salva questionario"
"Survey details","Dettaglio questionario"
"Survey name","Nome questionario"
"Survey status","Stato questionario"
"Survey description","Descrizione questionario"
"You already finished this survey","Hai gi&agrave; completato il questionario"
"End of the survey - Thank you for your time.","Fine del questionario. Grazie per il tuo tempo."
"New Survey","Nuovo questionario"
"Edit Survey '%s'","Modifica questionario '%s'"
"Manage Questions","Gestisci domande"
"Questions","Domande"
"Add New Question","Aggiungi Nuova domanda"
"New Question","Nuova domanda"
"Edit Question","Modifica domanda"
"Edit Question #%s","Modifica domanda #%s"
"Save question","Salva domanda"
"Delete question","Elimina domanda"
"This question does not exist","Questa domanda non esiste"
"Question was successfully saved","Domanda salvata con successo"
"Question was successfully deleted","Domanda eliminata con successo"
"Unable to find a Question to delete","Impossibile trovare la domanda da eliminare"
"PickOne","Risposta singola"
"PickMany","Risposta multipla"
"ShortAnswer","Risposta breve"
"Ranking","Punteggio"
"Question type","Tipo di domanda"
"Question Text","Testo della domanda"
"Question details","Dettaglio domanda"
"Question Status","Status domanda"
"Position","Posizione"
"Question options","Opzioni domanda"
"Add New Option","Aggiungi nuova opzione"
"Remove","Rimuovi"
"Options","Opzioni"
"Option","Option"
"Ranks","Punteggi"
"Rank","Punteggio"
"Add New Rank","Aggiungi nuovo punteggio"
"Please, provide a question options","Per favore aggiungi opzioni alla domanda"
"Please, provide a question ranks","Per favore inserisci un punteggio alla domanda"
"There are no options to display for selected question type","Non ci sono opzioni da visualizzare per il tipo di domanda selezionata"
"Please, select Question type to load options","Seleziona il tipo di domanda per la quale caricare le opzioni"
"There are no Survey categories to display.","Non ci sono questionari da visualizzare."
"The requested Survey category could not be found!","La categoria richiesta non esiste!"
"Back to the Survey main page","Torna alla pagina principale"
"Survey's list","Lista questionari"
"This survey not available now","Questo questionario non &egrave; disponibile al momento"
"There are no surveys to display.","Non ci sono questionari da visualizzare."
"The requested survey could not be found!","Il questionario richiesto non esite!"
"Start","Inizio"
"Next","Succ"
"Prev","Prec"
"- Select rank -","- Seleziona punteggio -"
"View Results","Visualizza risultati"
"Date","Data"
"Reports","Reports"
"Report","Report"
"Please apply 'Survey Name' filter","Inserisci 'Nome questionario' nel filtro"
"Survey Results","Risultati questionario"
"Survey Results - %s","Risultati questionario - %s"
"Select answers for report","Seleziona una risposta per il report"
"Survey Report","Report questionario"
"Report","Report"
"Export to PDF","Esporta in PDF"
"Survey Information","Informazioni questionario"
"Name: ","Nome:"
"Description: ","Descrizione:"
"Survey performed on: ","Questionario completato il:"
"Submit","Invia"
"Survey Category Link","Link alla categoria questionario"
"Link to a Specified Category","Link a una categoria specifica"
"Category","Categoria"
"Select Category...","Seleziona categoria..."
"Anchor Custom Text","Testo personalizzato per ancora"
"If empty, the Category Name will be used","Se vuoto viene utilizzato il nome della categoria"
"Anchor Custom Title","Testo personalizzato per ancora"
"Template","Template"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Survey Link","Survey Link"
"Link to a Specified Survey","Connetti a un questionario specifico"
"Select Survey...","Seleziona il questionario..."
"If empty, the Survey Name will be used","Vuoto viene utilizzato il nome del questionario"
"Survey Link Block Template","Link al template block del questionario"
"Survey Link Inline Template","Link al template inline del questionario"
"Survey Page Link","Link alla pagina questionario"
"Link to a Survey main page","Link alla pagina principale del questionario"
"Survey Page Link Block Template","Link al Blocco di tempalte del questionario"
"Survey Page Link Inline Template","Link al template inline del questionario"
"License","Licenza"
"Your license have been saved.","La tua licenza è stata salvata."
"Your license code is invalid","Il codice licenza non è valido"
"Show/Hide answers","Visualizza/Nascondi risposte"
"See appendix #%s","Guarda appendice #%s"
"Appendix #%s","Appendice #%s"
"Start on","Inizia il "
"Only for registered","Solo per registrati"
"My Surveys","Questionari completati"
"Customer My Account Manage Surveys","Gestione questionari dal profilo utente"
"Passed","Completato"
"Survey name","Nome questionario"
"You have not passed any survey.","Non hai superato nessun questionario."
"Back","Indietro"
"View","Visualizza"
"Edit","Modifica"
"Customer options","Opzioni cliente"
"Allow customers edit taken survey","Consenti modifiche utente sui questionari completati"
"Allow customers view survey result","Consenti la visualizzazione dei risultati "
"URL key","URL key"
