"Add Google website verification meta tag","Google のウェブサイト確認メタタグを追加する"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","以下のサイトの HTML にメタタグが追加されました。この処理により、Google がお客様のサイトのドメイン所有権を確認できるようになります。"
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Magento アカウントと Merchant Center の間でリンクを設定すると、ショップの API によって商品データがインポートされるようになり、Magento のショップで更新した情報は Merchant Center でも自動的に更新されます。"
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","開始するには、下の [%s] ボタンをクリックします。新しい Magento API アカウントが自動的に作成され、ショップ情報と認証情報が Merchant Center にセキュリティ保護された接続で送信されます。Merchant Center アカウントをお持ちでない場合は、画面の指示に従って新しいアカウントを作成してください。注: リンクを設定しない場合、API の情報は 60 日後に削除されます。"
"Google Shopping","Google ショッピング"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle ショッピング%sを使うと、検索を行うユーザーの意図を読み取って、最も適切なタイミングで最も関連性の高い広告を表示させることができます。この拡張機能で Google Merchant Center にショップと商品のデータをアップロードして Google ショッピングをはじめとする Google の各種サービスで利用できるようにして、あなたのショップで扱っている商品を検索する多数のユーザーに広告を提示しましょう。"
"Launch","起動"
"Learn More","詳細"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","ショップ情報を取得する"
"Retrieve basic shop information","ショップの基本情報を取得する"
"Retrieve product information","商品情報を取得する"
