"Add Google website verification meta tag","Google ვებსაიტის დადასტურების მეტა-თეგის დამატება"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","HTML-ს დაემატა მეტა-თეგი ქვემოთ ჩამოთვლილ საიტებზე. ეს ნაბიჯი საშუალებას აძლევს Google-ს, დაადასტუროს დომენის მფლობელობა თქვენს საიტებზე."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","დააკავშირეთ თქვენი Magento ანგარიში Merchant Center-თან, რათა დაიწყოთ თქვენი პროდუქტის მონაცემების იმპორტი მაღაზიის API-ს მეშვეობით. როდესაც თქვენს Magento და Merchant Center ანგარიშებს დააკავშირებთ, თქვენს Magento მაღაზიაში განახლებული მაღაზიის ნებისმიერი ინფორმაცია ასევე განახლდება Merchant Center-ში."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","დაიწყეთ ქვემოთ მოცემულ „%s“-ზე დაწკაპუნებით. Magento API-ს ახალი ანგარიში ავტომატურად გენერირდება და თქვენი მაღაზიის ინფორმაცია და ავტორიზაციის მონაცემები გაიგზავნება Merchant Center-ში დაცული კავშირის მეშვეობით. თუ უკვე არ გაქვთ Merchant Center-ის ანგარიში, შეასრულეთ რეგისტრაციის მითითებები ახალი ანგარიშის შესაქმნელად. შენიშვნა: თუ ბმული არ შეიქმნა, თქვენი API ინფორმაცია წაიშლება 60 დღეში."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s ეხმარება ბიზნესებს, ფეხი აუწყონ კლიენტების განზრახვას, რათა დაუკავშირდნენ ხალხს შესაბამისი პროდუქტების რეკლამებით ყველაზე შესაფერის მომენტში. გამოიყენეთ ეს გაფართოება თქვენი მაღაზიისა და პროდუქტების მონაცემების ასატვირთად Google Merchant Center-ში და ხელმისაწვდომი გახადეთ ისინი Google Shopping-ისა და სხვა Google სერვისებისთვის. შედეგად, ხელმისაწვდომი გახდებით მილიონობით ახალი კლიენტისათვის, რომლებიც ეძებენ იმას, რასაც თქვენ ყიდით."
"Launch","გაშვება"
"Learn More","შეიტყვეთ მეტი"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","მაღაზიის ინფორმაციის მოძიება"
"Retrieve basic shop information","მაღაზიის ძირითადი ინფორმაციის მოძიება"
"Retrieve product information","პროდუქტის ინფორმაციის მოძიება"
