"Add Google website verification meta tag","Google 웹사이트 확인 메타 태그 추가"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","아래에 나와 있는 사이트의 HTML에 메타 태그가 추가되었습니다. 이 단계를 통해 Google에서 사이트의 도메인 소유권을 확인할 수 있습니다."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Magento 계정을 판매자 센터에 연결하여 매장 API를 통해 제품 데이터 가져오기를 시작하세요. Magento 계정과 판매자 센터 계정이 연결되면 Magento 매장에서 업데이트되는 모든 매장 정보가 판매자 센터에서도 업데이트됩니다."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","시작하려면 아래 '%s' 버튼을 클릭하세요. 그러면 새 Magento API 계정이 자동으로 생성되고 매장 정보 및 사용자 인증 정보가 보안 연결을 통해 판매자 센터로 전송됩니다. 아직 판매자 센터 계정이 없는 경우 가입 안내에 따라 새 계정을 만드세요. 참고: 60일 내에 계정을 연결하지 않으면 API 정보가 삭제됩니다."
"Google Shopping","Google 쇼핑"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle 쇼핑%s으로 고객의 의도를 정확히 파악하고 가장 중요한 순간을 포착하여 제품 광고의 효과를 극대화할 수 있습니다. 이 확장 프로그램을 사용하여 매장 및 제품 데이터를 Google 판매자 센터에 업로드하고 Google 쇼핑 등의 Google 서비스에 제공하면 매장에서 판매하는 제품을 검색하는 수백만 신규 고객에게 도달할 수 있습니다."
"Launch","실행"
"Learn More","자세히 알아보기"
"Google Shopping Connect","Google 쇼핑 연결"
"Retrieve shop information","매장 정보 가져오기"
"Retrieve basic shop information","기본 매장 정보 가져오기"
"Retrieve product information","제품 정보 가져오기"
