"Add Google website verification meta tag","Pridėti „Google“ svetainės patvirtinimo metažymą"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Metažyma pridėta prie toliau nurodytų svetainių HTML kodo. Šis veiksmas leidžia „Google“ patvirtinti nuosavybės teisę į jūsų svetainių domenus."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","„Magento“ paskyrą susieję su „Merchant Center“ pradėkite importuoti produktų duomenis per „Google Store“ API. Susiejus „Magento“ ir „Merchant Center“ paskyras, visa atnaujinama parduotuvės „Magento“ informacija bus atnaujinta ir „Merchant Center“."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Pradėkite spustelėdami toliau esantį mygtuką „%s“. Bus automatiškai sugeneruota nauja „Magento“ API paskyra ir jūsų parduotuvės informacija bei prisijungimo duomenys saugiu ryšiu bus perduoti „Merchant Center“. Jei dar neturite „Merchant Center“ paskyros, vadovaudamiesi prisiregistravimo instrukcijomis sukurkite ją. Pastaba: jei nuorodos nesukursite, jūsų API informacija bus ištrinta po 60 dienų."
"Google Shopping","„Google“ apsipirkimas"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%s„Google“ apsipirkimo%s sistema įmonėms padeda pasinaudoti kliento noru pasiekti tinkamus žmones, naudojant atitinkamus produktų skelbimus, kai to reikia labiausiai. Naudodami šį modulį įkėlę parduotuvės ir produktų duomenis į platformą „Google Merchant Center“ ir leidę juos naudoti „Google“ apsipirkime bei kitose „Google“ paslaugose, pasieksite daugybę naujų klientų, ieškančių to, ką parduodate."
"Launch","Pradėti"
"Learn More","Sužinokite daugiau"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Gauti parduotuvės informaciją"
"Retrieve basic shop information","Gauti pagrindinę parduotuvės informaciją"
"Retrieve product information","Gauti produkto informaciją"
