"Add Google website verification meta tag","Pievienot Google vietnes verifikācijas metatagu"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Metatags ir pievienots HTML tālāk norādītajās vietnēs. Šādā veidā uzņēmums Google var jūsu vietnēs pārbaudīt īpašumtiesības uz domēnu."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Lai sāktu importēt produktu datus, izmantojot Google Store API, saistiet savu Magento kontu ar Tirgotāju centru. Pēc Magento un Tirgotāju centra kontu saistīšanas visa veikala informācija, kas tiks atjaunināta jūsu Magento veikalā, tiks atjaunināta arī Tirgotāju centrā."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Sāciet darbu, tālāk noklikšķinot uz pogas %s. Automātiski tiks izveidots jauns Magento API konts, un jūsu veikala informācija un akreditācijas dati tiks iesniegti Tirgotāju centrā, izmantojot drošu savienojumu. Ja jums vēl nav Tirgotāju centra konta, izpildiet reģistrācijas norādījumus, lai izveidotu jaunu kontu. Piezīme: ja neizveidosit saiti, jūsu API informācija tiks dzēsta pēc 60 dienām."
"Google Shopping","Google pirkumi"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","Pakalpojums %sGoogle pirkumi%s palīdz uzņēmumiem izmantot klienta nolūku, lai  sasniegtu īstos klientus ar atbilstošām produktu reklāmām pašos svarīgākajos brīžos. Izmantojiet šo paplašinājumu, lai augšupielādētu sava veikala un produktu datus Google tirgotāju centrā un padarītu tos pieejamus pakalpojumā Google pirkumi un citos Google pakalpojumos, ļaujot sasniegt miljoniem jaunu klientu, kuri meklē to, ko pārdodat."
"Launch","Palaist"
"Learn More","Uzzināt vairāk"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Izgūt informāciju par veikalu"
"Retrieve basic shop information","Izgūt pamatinformāciju par veikalu"
"Retrieve product information","Izgūt informāciju par produktu"
