"Add Google website verification meta tag","Google-н вэб хуудсын баталгаажуулах мета шошгыг нэмэх"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Мета шошгыг доор жагсаасан сайтуудын HTML дээр нэмлээ. Энэ алхам нь таны сайтуудын домэйны эзэмшлийг Google-с баталгаажуулах боломж олгоно."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Magento бүртгэлээ Худалдаачны төвтэй холбож дэлгүүрийн API ашиглаж бүтээгдэхүүнийхээ мэдээллийг импортолж эхэлнэ үү. Өөрийн Magento болон Худалдаачны төвийн бүртгэлүүдийг холбосны дараа таны Magento-н дэлгүүр дээрх дэлгүүрийн шинэчлэгдсэн мэдээлэл нь Худалдааны төв дээр мөн шинэчлэгдэх болно."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.",""%s" доор товшиж эхэлнэ үү. Шинэ Magento API бүртгэлийг автоматаар үүсгэх ба таны дэлгүүрийн мэдээлэл болон нэвтрэх мэдээлэл Худалдаачны төв рүү аюулгүй холболтоор илгээгдэнэ. Хэрэв танд Худалдаачны төвийн бүртгэл байхгүй бол бүртгэлийн маягт бүхий цонхыг ашиглан шинэ бүртгэл үүсгэнэ үү. Жич: Холбоосыг үүсгээгүй бол таны API мэдээлэл 60 хоногийн дараа устана."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s нь бизнесүүдэд холбоотой бүтээгдэхүүний зарын тусламжтай зөв хүмүүст хүрэхэд тусалдаг. Таны борлуулж байгаа зүйлийг хайж буй сая сая шинэ хэрэглэгчдэд хүрэх боломжийг олгох энэ өргөтгөлийг ашиглан дэлгүүр болон бүтээгдэхүүний мэдээллээ Google-н Худалдааны төв дээр байршуулж, Google Shopping болон бусад Google-н үйлчилгээн дээр тавина уу."
"Launch","Эхлэх"
"Learn More","Дэлгэрэнгүй үзэх"
"Google Shopping Connect","Google-н дэлгүүрт холбогдох"
"Retrieve shop information","Дэлгүүрийн мэдээлэл авах"
"Retrieve basic shop information","Үндсэн дэлгүүрийн мэдээлэл авах"
"Retrieve product information","Бүтээгдэхүүний мэдээлэл авах"
