"Add Google website verification meta tag","Metatag van Google voor websiteverificatie toevoegen"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Een metatag is toegevoegd aan de HTML-code van de onderstaande sites. Hierdoor kan Google de eigendom van uw domein verifiëren op uw sites."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Koppel uw Magento-account aan Merchant Center om uw productgegevens te importeren via de Google Store API. Nadat u uw Magento- en Merchant Center-accounts heeft gelinkt, worden de gegevens die u updatet in uw Magento-winkel ook geüpdatet in Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Klik hieronder op '%s' om te beginnen. Er wordt dan automatisch een nieuw Magento API-account gegenereerd en uw winkelinformatie en inloggegevens worden via een beveiligde verbinding naar Merchant Center verzonden. Volg de instructies om een Merchant Center-account te maken als u dit nog niet heeft. Opmerking: Als u geen nieuw account maakt, wordt uw API-informatie na 60 dagen verwijderd."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","%sGoogle Shopping%s biedt bedrijven inzicht in hun klanten, zodat ze op het juiste moment de juiste mensen kunnen benaderen met relevante productadvertenties. Gebruik deze extensie om uw winkel- en productgegevens te uploaden naar Google Merchant Center en deze beschikbaar te maken voor Google Shopping en andere Google-services, zodat uw aanbod miljoenen nieuwe klanten kan bereiken."
"Launch","Openen"
"Learn More","Meer informatie"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Winkelinformatie ophalen"
"Retrieve basic shop information","Algemene winkelinformatie ophalen"
"Retrieve product information","Productinformatie ophalen"
