"Add Google website verification meta tag","Legg til Google-metataggen for bekreftelse av nettsteder"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Det er blitt lagt til en HTML-metatag på nettstedene oppgitt nedenfor, slik at Google kan bekrefte domeneeierskapet på nettstedene dine."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Koble Magento-kontoen din til Merchant Center for å begynne å importere produktinformasjonen din via butikk-API-et. Når du har knyttet sammen Magento- og Merchant Center-kontoen din, blir all butikkinformasjonen som oppdateres i Magento-butikken, også oppdatert i Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Kom i gang ved å klikke på «%s» nedenfor. En ny Magento API-konto genereres automatisk, og butikkinformasjonen og -legitimasjonen din sendes til Merchant Center via en sikker tilkobling. Hvis du ikke allerede har en Merchant Center-konto, kan du følge instruksjonene for registrering av en ny konto. Hvis det ikke opprettes en tilknytning, slettes API-informasjonen din etter 60 dager."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","Med %sGoogle Shopping%s er det enklere for bedrifter å bruke kundenes kjøpsintensjoner til å nå ut til de rette personene med relevante produktannonser til rett tid. Bruk denne utvidelsen til å laste opp butikk- og produktinformasjonen din til Google Merchant Center og gjøre den tilgjengelig på Google Shopping og andre Google-tjenester. På denne måten kan du nå ut til millioner av nye kunder som søker etter det du selger."
"Launch","Start"
"Learn More","Finn ut mer"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Hent butikkinformasjonen"
"Retrieve basic shop information","Hent den grunnleggende butikkinformasjonen"
"Retrieve product information","Hent produktinformasjonen"
