"Add Google website verification meta tag","Adicionar metatag de verificação do website do Google"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Uma metatag foi adicionada ao HTML nos sites listados abaixo. Esta etapa permite que o Google verifique a propriedade do domínio nos seus sites."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Conecte sua conta do Magento ao Merchant Center para importar seus dados do produto pela API da loja. Após vincular suas contas do Magento e do Merchant Center, as informações da loja que forem atualizadas no Magento também serão atualizadas no Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","O primeiro passo é clicar em "%s" abaixo. Uma nova conta da Magento API será criada automaticamente, e as informações e credenciais da loja serão enviadas ao Merchant Center por uma conexão segura. Se você ainda não tiver uma conta do Merchant Center, siga as instruções de inscrição para criar uma. Observação: Se as contas não forem vinculadas, suas informações da API serão excluídas após 60 dias."
"Google Shopping","Google Shopping"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","O %sGoogle Shopping%s ajuda empresas a aproveitarem a intenção de compra do cliente para alcançar as pessoas certas por meio de anúncios de produtos relevantes, na hora certa. Use essa extensão para fazer o upload dos dados do produto e da loja no Google Merchant Center. Depois, disponibilize-os no Google Shopping e em outros serviços do Google para que milhões de novos clientes encontrem seu produto."
"Launch","Iniciar"
"Learn More","Saiba mais"
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Recuperar informações da loja"
"Retrieve basic shop information","Recuperar informações básicas da loja"
"Retrieve product information","Recuperar informações do produto"
