"Add Google website verification meta tag","Добавить метатег Google для подтверждения права собственности на сайт"
"A meta tag has been added to the HTML on the sites listed below. This step lets Google verify domain ownership on your sites.","Метатег был добавлен в HTML-код перечисленных ниже сайтов. Теперь мы сможем проверить, принадлежит ли вам их домены."
"Connect your Magento account to Merchant Center to begin importing your product data through the store API. After you’ve linked your Magento and Merchant Center accounts, any store information that’s updated in your Magento store will also be updated in Merchant Center.","Если вы свяжете аккаунты Magento и Google Merchant, сведения о товарах начнут импортироваться через ваш API. С этого момента аккаунты будут синхронизированы: все ваши изменения в Magento станут отражаться в Merchant Center."
"Get started by clicking %s below. A new Magento API account will be automatically generated and your store information and credentials will be submitted to Merchant Center through a secure connection. If you don't already have a Merchant Center account, follow the sign up prompts to create a new account. Note: If a link is not created, your API information will be deleted after 60 days.","Нажмите кнопку"%s". Как только вы это сделаете, будет создан аккаунт Magento API и начнется безопасная передача учетных данных и информации о вашем магазине в Merchant Center. Если у вас нет аккаунта в Google Merchant Center, следуйте указаниям на экране, чтобы создать его. Примечание. Если вы не свяжете аккаунты, то через 60 дней данные API будут удалены."
"Google Shopping","Google Покупки"
"%sGoogle Shopping%s helps businesses tap into the power of customer intent to reach the right people with relevant products ads when it matters the most. Use this extension to upload your store and product data to Google Merchant Center and make it available to Google Shopping and other Google services, allowing you to reach millions of new customers searching for what you sell.","Хотите, чтобы ваши товары предлагались потребителям именно тогда, когда те готовы совершить покупку? Воспользуйтесь этим расширением. Оно нужно, чтобы загрузить сведения о товарах и магазине в Google Merchant Center. Как только вы это сделаете, объявления с вашей продукцией начнут появляться в %sGoogle Покупках%s и других сервисах Google, которыми ежедневно пользуются миллионы людей."
"Launch","Открыть"
"Learn More","Подробнее..."
"Google Shopping Connect","Google Shopping Connect"
"Retrieve shop information","Собирать информацию о магазине"
"Retrieve basic shop information","Собирать основную информацию о магазине"
"Retrieve product information","Собирать информацию о товарах"
